addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Skomakaregatan 2, 211 34 Malmö",Espresso House,Malmö,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.60451,13.00077, Espresso House Skomakaregatan MAL,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '09:00-19:00', 'Sun': '09:00-19:00'}}",0765219101,211 34,101,,https://fi.espressohouse.com/en/find-us/skomakaregatan-mal
"Företagsvägen 10, 227 61 Lund",Espresso House,Lund,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.71437,13.1596, Espresso House Nova (Vid Lagerhaus),"{'opening_hours': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}}",0765219106,227 61,106,,https://fi.espressohouse.com/en/find-us/nova-(vid-lagerhaus)
"Nils Ericson platsen 2, 411 07 Göteborg",Espresso House,Göteborg,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",57.708974,11.97278, Espresso House Göteborg C - STORA,"{'opening_hours': {'Mon': '05:15-22:00', 'Tue': '05:15-22:00', 'Wed': '05:15-22:00', 'Thu': '05:15-22:00', 'Fri': '05:15-22:00', 'Sat': '06:00-21:30', 'Sun': '07:00-21:30'}}",0765219107,411 07,107,,https://fi.espressohouse.com/en/find-us/göteborg-c---stora
"Malmborgsgatan 6, 211 38 Malmö",Espresso House,Malmö,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.603228,13.003544, Espresso House Hansa MAL,"{'opening_hours': {'Mon': '07:00-19:00', 'Tue': '07:00-19:00', 'Wed': '07:00-19:00', 'Thu': '07:00-19:00', 'Fri': '07:00-19:00', 'Sat': '09:00-19:00', 'Sun': '10:00-18:00'}}",0765219110,211 38,110,,https://fi.espressohouse.com/en/find-us/hansa-mal
"Vasagatan 22, 411 24 Göteborg",Espresso House,Göteborg,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",57.69836,11.96644, Espresso House Vasagatan GÖT,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",0765219113,411 24,113,,https://fi.espressohouse.com/en/find-us/vasagatan-göt
"Per Albin Hanssons väg 40, 214 32 Malmö",Espresso House,Malmö,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.579991,13.003574, Espresso House Mobilia Södra Huset,"{'opening_hours': {'Mon': '07:00-20:00', 'Tue': '07:00-20:00', 'Wed': '07:00-20:00', 'Thu': '07:00-20:00', 'Fri': '07:00-20:00', 'Sat': '07:00-18:00', 'Sun': '07:00-18:00'}}",0765219114,214 32,114,,https://fi.espressohouse.com/en/find-us/mobilia-södra-huset
"Sundspromenaden 19, 211 19 Malmö",Espresso House,Malmö,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.61063,12.973, Espresso House Västra Hamnen,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '08:00-20:00'}}",0765219117,211 19,117,,https://fi.espressohouse.com/en/find-us/västra-hamnen
"Kajpromenaden 16, 252 67 Helsingborg",Espresso House,Helsingborg,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",56.04976,12.68652, Espresso House Kajpromenaden HEL,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '09:00-20:00', 'Sun': '09:00-20:00'}}",0765219118,252 67,118,,https://fi.espressohouse.com/en/find-us/kajpromenaden-hel
"Prästvägen Fyllebro, 30263 Halmstad",Espresso House,Halmstad,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",56.65575,12.90998, Espresso House Hallarna HAL,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}}",0765219119,30263,119,,https://fi.espressohouse.com/en/find-us/hallarna-hal
"Nornegatan 1, 21586 Malmö",Espresso House,Malmö,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.55347,12.993548, Espresso House Ilva,"{'opening_hours': {'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}}",0765219122,21586,122,,https://fi.espressohouse.com/en/find-us/ilva
"Köpmansgatan 10, 302 42 Halmstad",Espresso House,Halmstad,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",56.67565,12.85802, Espresso House Köpmansgatan HAL,"{'opening_hours': {'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-18:00', 'Fri': '09:30-18:00', 'Sat': '10:00-17:00', 'Sun': '00:00-00:00'}}",0765219123,302 42,123,,https://fi.espressohouse.com/en/find-us/köpmansgatan-hal
"Knut den Stores Torg 1, 222 21 Lund",Espresso House,Lund,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.70523,13.18782, Espresso House Lund C LUND,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '08:00-21:00', 'Sun': '08:00-21:00'}}",0765219126,222 21,126,,https://fi.espressohouse.com/en/find-us/lund-c-lund
"Utrikeshallen, 438 92 Härryda",Espresso House,Härryda,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",57.668562,12.295034, Espresso House Landvetter Utr. Airside - Vid stora duty free (Efter säkerhetskontrollen),"{'opening_hours': {'Mon': '04:30-21:00', 'Tue': '04:30-21:00', 'Wed': '04:30-21:00', 'Thu': '04:30-21:00', 'Fri': '04:30-22:00', 'Sat': '04:30-21:00', 'Sun': '04:30-21:00'}}",0765219127,438 92,127,,https://fi.espressohouse.com/en/find-us/landvetter-utr.-airside---vid-stora-duty-free-(efter-säkerhetskontrollen)
"Kronetorpsvägen 2, 232 37 Arlöv",Espresso House,Arlöv,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.63953,13.08372, Espresso House Burlöv Center MAL,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}}",0765219130,232 37,130,,https://fi.espressohouse.com/en/find-us/burlöv-center-mal
"Skeppsbron 1, 211 20 Malmö",Espresso House,Malmö,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",55.60892,12.99957, Espresso House Malmö C - Entréhall ,"{'opening_hours': {'Mon': '05:30-20:00', 'Tue': '05:30-20:00', 'Wed': '05:30-20:00', 'Thu': '05:30-20:00', 'Fri': '05:30-20:00', 'Sat': '07:00-20:00', 'Sun': '07:00-20:00'}}",0765-219134,211 20,134,,https://fi.espressohouse.com/en/find-us/malmö-c---entréhall-
"Västerlånggatan 57, 111 29 Stockholm",Espresso House,Stockholm,Sweden,"{'brand': 'Espresso House', 'fascia': 'Espresso House', 'category': 'Food & Beverage', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",59.32403,18.07065, Espresso House Västerlånggatan STO,"{'opening_hours': {'Mon': '07:00-19:00', 'Tue': '07:00-19:00', 'Wed': '07:00-19:00', 'Thu': '07:00-19:00', 'Fri': '07:00-20:00', 'Sat': '08:00-20:00', 'Sun': '08:00-19:00'}}",0765219136,111 29,136,,https://fi.espressohouse.com/en/find-us/västerlånggatan-sto
