addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Finnoonlaaksontie 1, 02270 Espoo",Gigantti,Espoo,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.164604,24.704752,Gigantti Espoo Suomenoja,"{'opening_hours': {'Mon': '11:00-18:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-18:00'}}",,02270,4080,,https://www.gigantti.fi//store/gigantti-espoo-suomenoja
"Pehr Sommarin katu 14, 10600 Raseborg",Gigantti,Raseborg,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",59.98216734,23.45699109,Gigantti Tammisaari,"{'opening_hours': {'Mon': None, 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '10:00-15:00'}}",,10600,4201,,https://www.gigantti.fi//store/gigantti-tammisaari
"Aleksis Kivenkatu 7, 32200 Loimaa",Gigantti,Loimaa,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.85663488,23.04398151,Gigantti Loimaa,"{'opening_hours': {'Mon': '11:00-15:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-16:00'}}",,32200,4202,,https://www.gigantti.fi//store/gigantti-loimaa
"Yrittäjänkatu 4, 50130 Mikkeli",Gigantti,Mikkeli,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",61.67997,27.25388,Gigantti Mikkeli,"{'opening_hours': {'Mon': '11:00-16:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-16:00'}}",,50130,4203,,https://www.gigantti.fi//store/gigantti-mikkeli
"Relanderinkatu 30, 78200 Varkaus",Gigantti,Varkaus,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.31432875,27.86893052,Gigantti Varkaus,"{'opening_hours': {'Mon': None, 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '9:00-16:00'}}",,78200,4204,,https://www.gigantti.fi//store/gigantti-varkaus
"Niittykatu 3, 67100 Kokkola",Gigantti,Kokkola,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",63.83811,23.10321,Gigantti Kokkola,"{'opening_hours': {'Mon': None, 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-16:00'}}",,67100,4210,,https://www.gigantti.fi//store/gigantti-kokkola
"Pohjolankatu 21, 74120 Iisalmi",Gigantti,Iisalmi,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",63.56517,27.18542,Gigantti Iisalmi,"{'opening_hours': {'Mon': None, 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '10:00-15:00'}}",,74120,4222,,https://www.gigantti.fi//store/gigantti-iisalmi
"Torikatu 6, 76100 Pieksämäki",Gigantti,Pieksämäki,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.29895237,27.15586816,Gigantti Pieksämäki,"{'opening_hours': {'Mon': None, 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '9:00-14:00'}}",,76100,4205,,https://www.gigantti.fi//store/gigantti-pieksamaki
"Rengastie 2b, 60120 Seinäjoki",Gigantti,Seinäjoki,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.79945336,22.84557078,Gigantti Seinäjoki,"{'opening_hours': {'Mon': '12:00-16:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-16:00'}}",,60120,4206,,https://www.gigantti.fi//store/gigantti-seinajoki
"Korjaamokuja 3, 08200 Lohja",Gigantti,Lohja,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.22594041,24.02925382,Gigantti Lohja,"{'opening_hours': {'Mon': '11:00-16:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-16:00'}}",,08200,4215,,https://www.gigantti.fi//store/gigantti-lohja
"Ratsumestarinkatu 9, 06500 Porvoo",Gigantti,Porvoo,Finland,"{'brand': 'Gigantti', 'fascia': 'Gigantti', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.38789079,25.60589413,Gigantti Porvoo,"{'opening_hours': {'Mon': '11:00-16:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-16:00'}}",,06500,4218,,https://www.gigantti.fi//store/gigantti-porvoo
