addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Helsinki,K-Citymarket,Helsinki,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.20780092037134,25.145233716504944,K‑Citymarket Helsinki Columbus,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-22:00', 'Sat': '09:00-22:00', 'Sun': '09:00-22:00'}}",,,N195,,https://www.k-ruoka.fi/kauppa/k-citymarket-helsinki-columbus
Helsinki,K-Citymarket,Helsinki,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.20892658595229,25.086029673259056,K‑Citymarket Helsinki Easton,"{'opening_hours': {'Mon': '09:00-24:00', 'Tue': '09:00-24:00', 'Wed': '09:00-24:00', 'Thu': '09:00-24:00', 'Fri': '09:00-24:00', 'Sat': '0:00-24:00', 'Sun': '0:00-24:00'}}",,,N190,,https://www.k-ruoka.fi/kauppa/k-citymarket-helsinki-easton
Forssa,K-Citymarket,Forssa,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.808888744987186,23.628581046719823,K‑Citymarket Forssa,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",,,N100,,https://www.k-ruoka.fi/kauppa/k-citymarket-forssa
Hyvinkää,K-Citymarket,Hyvinkää,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.632569519256414,24.863914433310704,K‑Citymarket Hyvinkää,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,,N183,,https://www.k-ruoka.fi/kauppa/k-citymarket-hyvinkaa
Hämeenlinna,K-Citymarket,Hämeenlinna,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.992213963384934,24.45953415918446,K‑Citymarket Hämeenlinna Hämeensaari,"{'opening_hours': {'Mon': '09:00-24:00', 'Tue': '09:00-24:00', 'Wed': '09:00-24:00', 'Thu': '09:00-24:00', 'Fri': '09:00-24:00', 'Sat': '07:30-24:00', 'Sun': '07:30-24:00'}}",,,N178,,https://www.k-ruoka.fi/kauppa/k-citymarket-hameenlinna-hameensaari
Seinäjoki,K-Citymarket,Seinäjoki,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",62.79301450838587,22.789296584823298,K‑Citymarket Seinäjoki Ideapark,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",,,N192,,https://www.k-ruoka.fi/kauppa/k-citymarket-seinajoki-ideapark
Iisalmi,K-Citymarket,Iisalmi,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",63.55028342222441,27.217821389849984,K‑Citymarket Iisalmi,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00', 'Sun': '09:00-21:00'}}",,,N175,,https://www.k-ruoka.fi/kauppa/k-citymarket-iisalmi
Imatra,K-Citymarket,Imatra,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",61.187982361760255,28.77069630736363,K‑Citymarket Imatra,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",,,N105,,https://www.k-ruoka.fi/kauppa/k-citymarket-imatra
Espoo,K-Citymarket,Espoo,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.161886652000234,24.737112067464817,K‑Citymarket Espoo Iso Omena,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-23:00', 'Sat': '10:00-23:00', 'Sun': '10:00-23:00'}}",,,N106,,https://www.k-ruoka.fi/kauppa/k-citymarket-espoo-iso-omena
Vantaa,K-Citymarket,Vantaa,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.29016424008575,24.96226993072442,K‑Citymarket Vantaa Jumbo,"{'opening_hours': {'Mon': '09:00-24:00', 'Tue': '09:00-24:00', 'Wed': '09:00-24:00', 'Thu': '09:00-24:00', 'Fri': '09:00-24:00', 'Sat': '06:00-24:00', 'Sun': '06:00-24:00'}}",,,N109,,https://www.k-ruoka.fi/kauppa/k-citymarket-vantaa-jumbo
Palokka,K-Citymarket,Palokka,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",62.28750797863789,25.713410510286486,K‑Citymarket Jyväskylä Palokka,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",,,N177,,https://www.k-ruoka.fi/kauppa/k-citymarket-jyvaskyla-palokka
Jämsä,K-Citymarket,Jämsä,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",61.86681500358999,25.199349050728525,K‑Citymarket Jämsä,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-22:00', 'Sat': '09:00-22:00', 'Sun': '09:00-22:00'}}",,,N157,,https://www.k-ruoka.fi/kauppa/k-citymarket-jamsa
Oulu,K-Citymarket,Oulu,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",64.95652281866701,25.526464749237295,K‑Citymarket Oulu Kaakkuri,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-23:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",,,N148,,https://www.k-ruoka.fi/kauppa/k-citymarket-oulu-kaakkuri
Kajaani,K-Citymarket,Kajaani,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",64.22279945492508,27.735550146449892,K‑Citymarket Kajaani,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",,,N112,,https://www.k-ruoka.fi/kauppa/k-citymarket-kajaani
Kankaanpää,K-Citymarket,Kankaanpää,Finland,"{'brand': 'K-Citymarket', 'fascia': 'K-Citymarket', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",61.80699608713398,22.388861666537682,K‑Citymarket Kankaanpää,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",,,N170,,https://www.k-ruoka.fi/kauppa/k-citymarket-kankaanpaa
