addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Kylmälahdentie 13,Lidl,Jyväskylä,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.21794,25.71949,Lidl Jyväskylä - Keljo,"{'opening_hours': {'Tue': '08:00-22:00', 'Wed': '08:00-21:00', 'Thu': '09:00-21:00', 'Fri': '08:00-22:00', 'Sat': '08:00-22:00'}}",,40500,100,,https://www.lidl.fi/s/fi-FI/myymaelaet/jyväskylä/kylmälahdentie-13/
Pihlajakatu 2,Lidl,Forssa,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.80788,23.62021,Lidl Forssa,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-20:00', 'Thu': '10:00-20:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,30420,101,,https://www.lidl.fi/s/fi-FI/myymaelaet/forssa/pihlajakatu-2/
Lautakunnankatu 7,Lidl,Kaarina,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.40828,22.36367,Lidl Kaarina - Keskusta,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '10:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,20780,103,,https://www.lidl.fi/s/fi-FI/myymaelaet/kaarina/lautakunnankatu-7/
Myllytie 3,Lidl,Kempele,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",64.90428,25.54307,Lidl Kempele,"{'opening_hours': {'Tue': '08:00-22:00', 'Wed': '08:00-21:00', 'Thu': '10:00-21:00', 'Fri': '08:00-22:00', 'Sat': '08:00-22:00'}}",,90450,104,,https://www.lidl.fi/s/fi-FI/myymaelaet/kempele/myllytie-3/
Myllymäenkatu 36,Lidl,Lappeenranta,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",61.04175,28.21792,Lidl Lappeenranta - Myllymäki,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-20:00', 'Thu': '10:00-20:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,53550,105,,https://www.lidl.fi/s/fi-FI/myymaelaet/lappeenranta/myllymäenkatu-36/
Kaartotie 1,Lidl,Pirkkala,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",61.46925,23.71243,Lidl Pirkkala,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '09:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,33950,106,,https://www.lidl.fi/s/fi-FI/myymaelaet/pirkkala/kaartotie-1/
Kuhnamontie 5a,Lidl,Äänekoski,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.59893,25.72555,Lidl Äänekoski,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-20:00', 'Thu': '10:00-20:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,44100,107,,https://www.lidl.fi/s/fi-FI/myymaelaet/äänekoski/kuhnamontie-5a/
Täikönkatu 4,Lidl,Kemi,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",65.7398,24.56756,Lidl Kemi,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-20:00', 'Thu': '10:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,94100,108,,https://www.lidl.fi/s/fi-FI/myymaelaet/kemi/täikönkatu-4/
Laturinkatu 1,Lidl,Kouvola,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.86852,26.67041,Lidl Kouvola - Kellomäki,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '09:00-20:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,45130,109,,https://www.lidl.fi/s/fi-FI/myymaelaet/kouvola/laturinkatu-1/
Karankatu 15,Lidl,Riihimäki,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.74736,24.77967,Lidl Riihimäki - Petsamo,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-20:00', 'Thu': '10:00-20:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,11120,111,,https://www.lidl.fi/s/fi-FI/myymaelaet/riihimäki/karankatu-15/
Petosentie 4,Lidl,Kuopio,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.84011,27.64889,Lidl Kuopio - Petonen,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-20:00', 'Thu': '10:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,70820,112,,https://www.lidl.fi/s/fi-FI/myymaelaet/kuopio/petosentie-4/
Nuijamiestentie 2,Lidl,Nokia,Finland,"{'brand': 'Lidl', 'fascia': 'Lidl', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",61.46617,23.50641,Lidl Nokia,"{'opening_hours': {'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '09:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,37120,113,,https://www.lidl.fi/s/fi-FI/myymaelaet/nokia/nuijamiestentie-2/
