addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Helsinginkatu 1, 00500 Helsinki",s-market,Helsinki,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.187823,24.960009,S-market Vaasanhalli,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",0107663050,00500,536750904,,https://www.s-kaupat.fi/myymala/s-market-vaasanhalli/536750904/
"Kronvikintie 4, 65410 Sundom",s-market,Sundom,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",63.04082,21.554021,S-market Sundom,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '09:00-21:00'}}",0207808170,65410,639200443,,https://www.s-kaupat.fi/myymala/s-market-sundom/639200443/
"Maakotkantie 19, 01450 Vantaa",s-market,Vantaa,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.348615,25.075797,S-market Korso,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '09:00-23:00'}}",0107661700,01450,613760065,,https://www.s-kaupat.fi/myymala/s-market-korso/613760065/
"Lossitie 3, 72600 Keitele",s-market,Keitele,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",63.179366,26.341887,S-market Keitele,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '09:00-21:00'}}",0469239025,72600,685839037,,https://www.s-kaupat.fi/myymala/s-market-keitele/685839037/
"Aleksanterinkatu 19-21, 15110 Lahti",s-market,Lahti,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",60.982839,25.659154,S-market Sokos Lahti,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-18:00', 'Sun': '10:00-18:00'}}",0444710515,15110,590783601,,https://www.s-kaupat.fi/myymala/s-market-sokos-lahti/590783601/
"Keuruuntie 9, 42700 Keuruu",s-market,Keuruu,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.258365,24.708064,S-market Keuruu,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '09:00-22:00'}}",0107674430,42700,511779373,,https://www.s-kaupat.fi/myymala/s-market-keuruu/511779373/
"Reisjärventie 17, 85900 Reisjärvi",s-market,Reisjärvi,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",63.604488,24.940063,S-market Reisjärvi,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '11:00-19:00'}}",0207807731,85900,502086267,,https://www.s-kaupat.fi/myymala/s-market-reisjarvi/502086267/
"Härkikuja 4, 39100 Hämeenkyrö",s-market,Hämeenkyrö,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",61.638778,23.19721,S-market Hämeenkyrö,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '09:00-22:00'}}",0107671150,39100,500935010,,https://www.s-kaupat.fi/myymala/s-market-hameenkyro/500935010/
"Keskuskatu 4, 86300 Oulainen",s-market,Oulainen,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",64.268401,24.817218,S-market Oulainen,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '09:00-22:00'}}",0207807751,86300,503134249,,https://www.s-kaupat.fi/myymala/s-market-oulainen/503134249/
"Karikontie 2, 41900 Petäjävesi",s-market,Petäjävesi,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-22', 'lat_lon_source': 'Third Party'}",62.251835,25.192731,S-market Petäjävesi,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '09:00-22:00'}}",0107674380,41900,697940229,,https://www.s-kaupat.fi/myymala/s-market-petajavesi/697940229/
