addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Karikontie 2, 41900 Petäjävesi",s-market,Petäjävesi,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",62.251835,25.192731,S-market Petäjävesi,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '09:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '09:00-22:00'}}",0107674380,41900,697940229,,https://www.s-kaupat.fi/myymala/s-market-petajavesi/697940229
"Kissakuusentie 1, 72100 Karttula",s-market,Karttula,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",62.89497801897648,26.972499716286393,S-market Karttula,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '09:00-21:00'}}",0469239046,72100,726512252,,https://www.s-kaupat.fi/myymala/s-market-karttula/726512252
"Lepsämäntie 2, 01800 Klaukkala",s-market,Klaukkala,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",60.381378,24.748752,S-market Klaukkala,"{'opening_hours': {'Mon': '06:30-00:00', 'Tue': '06:30-00:00', 'Wed': '06:30-00:00', 'Thu': '06:30-00:00', 'Fri': '06:30-00:00', 'Sat': '06:30-00:00', 'Sun': '09:00-00:00'}}",0107662500,01800,726334895,,https://www.s-kaupat.fi/myymala/s-market-klaukkala/726334895
"Kärnäntie 6, 62600 Lappajärvi",s-market,Lappajärvi,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",63.21108,23.622611,S-market Lappajärvi,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '09:00-21:00'}}",0207807180,62600,720571660,,https://www.s-kaupat.fi/myymala/s-market-lappajarvi/720571660
"Laajankankaankatu 2, 87500 Kajaani",s-market,Kajaani,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",64.205733,27.740259,S-market Laajankangas,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '10:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '10:00-21:00'}}",0107636530,87500,535583744,,https://www.s-kaupat.fi/myymala/s-market-laajankangas/535583744
"Ämmänkatu 2, 89600 Suomussalmi",s-market,Suomussalmi,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",64.883274,28.915087,S-market Suomussalmi,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '10:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '10:00-21:00'}}",0107636600,89600,502098510,,https://www.s-kaupat.fi/myymala/s-market-suomussalmi/502098510
"Spindeltie 2, 26200 Rauma",s-market,Rauma,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",61.148862,21.493085,S-market Kehätie,"{'opening_hours': {'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '08:00-22:00', 'Fri': '06:00-22:00', 'Sat': '07:00-22:00', 'Sun': '08:00-22:00'}}",028330780,26200,685845190,,https://www.s-kaupat.fi/myymala/s-market-kehatie/685845190
"Itsenäisyydenkatu 19, 53300 Lappeenranta",s-market,Lappeenranta,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",61.069325,28.261049,S-market Lauritsala,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '09:00-22:00'}}",0107620530,53300,584197610,,https://www.s-kaupat.fi/myymala/s-market-lauritsala/584197610
"Puolangantie 9, 88300 Paltamo",s-market,Paltamo,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",64.40649208240595,27.839241852052517,S-market Paltamo,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '10:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00', 'Sun': '10:00-21:00'}}",0107636650,88300,502097462,,https://www.s-kaupat.fi/myymala/s-market-paltamo/502097462
"Tervakukkatie 2, 90580 Oulu",s-market,Oulu,Finland,"{'brand': 's-market', 'fascia': 's-market', 'category': 'Retail', 'edit_date': '2025-05-31', 'lat_lon_source': 'Third Party'}",65.0680407,25.4150949,S-Market Rajakylä,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '09:00-23:00'}}",+358447886555,90580,726425628,,https://www.s-kaupat.fi/myymala/s-market-rajakyla/726425628
