addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Rue du Bois de l'Île - ZAC de Tournon,Brico Depot,TOURNON,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",45.638424,6.330154,ALBERTVILLE,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",04 79 31 52 00,73460,1951,,https://www.bricodepot.fr/catalogue/depot/albertville/1951/
"ZA des Montagnes - 385, rue de l'Entrait",Brico Depot,ANGOULEME - CHAMPNIERS,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",45.6884765625,0.181960582733154,ANGOULEME - CHAMPNIERS,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '9:00 - 17:00'}}",05 45 93 93 70,16430,1912,,https://www.bricodepot.fr/catalogue/depot/angouleme-champniers/1912/
RN 66 - Lieu-Dit Les Chesnez,Brico Depot,PERRIGNY - AUXERRE,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",47.818115234375,3.55860137939453,AUXERRE,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",03 86 18 09 29,89000,1789,,https://www.bricodepot.fr/catalogue/depot/auxerre/1789/
ZI du Sousson,Brico Depot,PAVIE,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",43.616667,0.6,AUCH,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",0542540060,32550,1936,,https://www.bricodepot.fr/catalogue/depot/auch/1936/
ZI Les Longs Champs,Brico Depot,BEAURAINS - ARRAS,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",50.2674560546875,2.79994964599609,ARRAS,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",03 21 15 26 30,62217,1743,,https://www.bricodepot.fr/catalogue/depot/arras/1743/
ZAC Nord - Rue Gutenberg,Brico Depot,BIGANOS,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",44.64306640625,-0.954565048217773,ARCACHON - BIGANOS,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",05 57 70 88 88,33380,1795,,https://www.bricodepot.fr/catalogue/depot/arcachon-biganos/1795/
CCial Carrefour - Avenue Henri Matisse,Brico Depot,AULNOY LEZ VALENCIENNES,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",50.33447265625,3.51467132568359,AULNOY LEZ VALENCIENNES,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",03 27 46 66 66,59300,1709,,https://www.bricodepot.fr/catalogue/depot/aulnoy-lez-valenciennes/1709/
124 route de Taninges,Brico Depot,ANNEMASSE,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",46.1864013671875,6.27406311035156,ANNEMASSE - VETRAZ   MONTHOUX,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",04 50 31 83 60,74100,1904,,https://www.bricodepot.fr/catalogue/depot/annemasse-vetraz-monthoux/1904/
ZA de la Millardière  -  RD 323,Brico Depot,ANGERS - SAINT SYLVAIN D ANJOU,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",47.518310546875,-0.473784446716309,ANGERS - ST SYLVAIN D ANJOU,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '9:00 - 17:00'}}",02 41 18 06 60,49480,1779,,https://www.bricodepot.fr/catalogue/depot/angers-st-sylvain-d-anjou/1779/
ZI Le Coudray - RN 138 - Route du Mans,Brico Depot,ALENCON - ARCONNAY,France,"{'brand': 'Brico Depot', 'fascia': 'Brico Depot', 'category': 'Retail', 'edit_date': '20250314', 'lat_lon_source': 'website'}",48.4049072265625,0.0908088684082031,ALENCON - ARCONNAY,"{'opening_hours': {'lun': '7:00 - 19:30', 'mar': '7:00 - 19:30', 'mer': '7:00 - 19:30', 'jeu': '7:00 - 19:30', 'ven': '7:00 - 19:30', 'sam': '7:00 - 19:30', 'dim': '8:00 - 13:00'}}",02 33 28 25 00,72610,1787,,https://www.bricodepot.fr/catalogue/depot/alencon-arconnay/1787/
