addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Rue du Bois de l'Île - ZAC de Tournon,Brico Depot,TOURNON,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",45.638424,6.330154,ALBERTVILLE,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 8h - 13h'}",04 79 31 52 00,73460,1951,,https://www.bricodepot.fr/catalogue/depot/albertville/1951/
Ccial Galacte,Brico Depot,GAILLAC,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",43.90673828125,1.91276931762695,GAILLAC,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 8h - 13h'}",05 63 81 09 40,81600,1761,,https://www.bricodepot.fr/catalogue/depot/gaillac/1761/
ZAC de la Porte Verte - Rue de Tarbes Prolongé,Brico Depot,ESSEY LES NANCY,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",48.7080078125,6.24665832519531,ESSEY LES NANCY,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 8h - 13h'}",03 83 29 92 95,54270,1764,,https://www.bricodepot.fr/catalogue/depot/essey-les-nancy/1764/
ZI Secteur Sablière - CS 50313 - 3 rue de la Sablière,Brico Depot,HAGUENAU,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",48.828125,7.75196838378906,HAGUENAU - SCHWEIGHOUSE SUR MODER,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' Fermé'}",03 88 05 02 50,67507,1914,,https://www.bricodepot.fr/catalogue/depot/haguenau-schweighouse-sur-moder/1914/
ZAC des Terres Saint Jean,Brico Depot,EPINAL,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",48.187744140625,6.47383117675781,EPINAL,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 8h - 13h'}",03 29 29 01 50,88000,1924,,https://www.bricodepot.fr/catalogue/depot/epinal/1924/
ZI Carrefour Europe - Lieu dit Langgraben,Brico Depot,FORBACH,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",49.178466796875,6.87709045410156,FORBACH,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' Fermé'}",03 87 84 79 10,57600,1738,,https://www.bricodepot.fr/catalogue/depot/forbach/1738/
ZI des Ciroliers - Rue Clément Ader,Brico Depot,STE GENEVIEVE DES BOIS,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",48.6196769,2.3564165,FLEURY MEROGIS - STE GENEVIEVE DES BOIS,"{'Lundi': ' 6h30 - 20h00', 'Mardi': ' 6h30 - 20h00', 'Mercredi': ' 6h30 - 20h00', 'Jeudi': ' 6h30 - 20h00', 'Vendredi': ' 6h30 - 20h00', 'Samedi': ' 6h30 - 20h00', 'Dimanche': ' 9h - 19h'}",01 69 72 37 50,91700,1786,,https://www.bricodepot.fr/catalogue/depot/fleury-merogis-ste-genevieve-des-bois/1786/
ZAC des Fenôts,Brico Depot,DREUX,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",48.74302091026424,1.3448370872802116,DREUX,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 8h - 13h'}",02 37 62 99 60,28100,1941,,https://www.bricodepot.fr/catalogue/depot/dreux/1941/
Lieu dit Puy Grenier,Brico Depot,DISSAY,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",46.7073974609375,0.406695365905762,DISSAY,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 9h - 17h'}",05 49 62 92 76,86130,1717,,https://www.bricodepot.fr/catalogue/depot/dissay/1717/
Route de Dechy - Croix de Cantin,Brico Depot,FERIN - DOUAI,France,"{'brand': 'Brico Depot', 'fascia': '', 'category': '', 'edit_date': <method 'date' of 'datetime.datetime' objects>, 'lat_lon_source': 'website'}",50.337890625,3.09534454345703,DOUAI,"{'Lundi': ' 7h - 19h30', 'Mardi': ' 7h - 19h30', 'Mercredi': ' 7h - 19h30', 'Jeudi': ' 7h - 19h30', 'Vendredi': ' 7h - 19h30', 'Samedi': ' 7h - 19h30', 'Dimanche': ' 8h - 13h'}",03 27 95 75 75,59169,1744,,https://www.bricodepot.fr/catalogue/depot/douai/1744/
