addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
36 rue Bonnabaud,Mr Bricolage,Clermont-Ferrand,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",45.774017,3.0796547,Mr.Bricolage Clermont Ferrand,"{'opening_hours': {'Mon': '09:30 - 12:30  &  14:00 - 19:00', 'Tue': '09:30 - 12:30  &  14:00 - 19:00', 'Wed': '09:30 - 12:30  &  14:00 - 19:00', 'Thu': '09:30 - 12:30  &  14:00 - 19:00', 'Fri': '09:30 - 12:30  &  14:00 - 19:00', 'Sat': '09:30 - 19:00'}}",+33 9 86 31 13 80,63000,432,,https://magasin.mr-bricolage.fr/432-mr-bricolage-clermont-ferrand
Zac De Merlemont,Mr Bricolage,ALLONNE,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",49.407368,2.12078,Mr.Bricolage Allonne - Beauvais,"{'opening_hours': {'Mon': '08:30 - 19:00', 'Tue': '08:30 - 19:00', 'Wed': '08:30 - 19:00', 'Thu': '08:30 - 19:00', 'Fri': '08:30 - 19:00', 'Sat': '08:30 - 19:00', 'Sun': '09:00 - 12:30'}}",+33 3 44 14 36 36,60000,8,,https://magasin.mr-bricolage.fr/8-mr-bricolage-allonne-beauvais
Ec Côte De Granit Rose,Mr Bricolage,Trégastel,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.823347,-3.495871,Mr.Bricolage Tregastel,"{'opening_hours': {'Mon': '09:00 - 12:30  &  14:00 - 19:00', 'Tue': '09:00 - 12:30  &  14:00 - 19:00', 'Wed': '09:00 - 12:30  &  14:00 - 19:00', 'Thu': '09:00 - 12:30  &  14:00 - 19:00', 'Fri': '09:00 - 12:30  &  14:00 - 19:00', 'Sat': '09:00 - 12:30  &  14:00 - 19:00', 'Sun': '10:00 - 12:00'}}",+33 2 96 23 86 46,22730,240,,https://magasin.mr-bricolage.fr/240-mr-bricolage-tregastel
1 Rue Du 22 Novembre,Mr Bricolage,Strasbourg,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.5831104,7.7406566,Mr.Bricolage Strasbourg,"{'opening_hours': {'Mon': '09:00 - 19:00', 'Tue': '09:00 - 19:00', 'Wed': '09:00 - 19:00', 'Thu': '09:00 - 19:00', 'Fri': '09:00 - 19:00', 'Sat': '09:00 - 19:00'}}",+33 3 88 10 40 97,67000,229,,https://magasin.mr-bricolage.fr/229-mr-bricolage-strasbourg
8 rue de Mourvèdre,Mr Bricolage,CLERMONT HERAULT,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",43.615287885709,3.4540068891464,Mr.Bricolage Clermont l'Hérault,"{'opening_hours': {'Mon': '08:30 - 19:00', 'Tue': '08:30 - 19:00', 'Wed': '08:30 - 19:00', 'Thu': '08:30 - 19:00', 'Fri': '08:30 - 19:00', 'Sat': '08:30 - 19:00', 'Sun': '09:00 - 12:30'}}",+33 4 67 88 46 90,34800,283,,https://magasin.mr-bricolage.fr/283-mr-bricolage-clermont-l-herault
Avenue du Général de Gaulle,Mr Bricolage,LODEVE,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",43.7277931,3.3241274,Mr.Bricolage Lodève,"{'opening_hours': {'Mon': '08:30 - 12:30  &  14:00 - 19:00', 'Tue': '08:30 - 12:30  &  14:00 - 19:00', 'Wed': '08:30 - 12:30  &  14:00 - 19:00', 'Thu': '08:30 - 12:30  &  14:00 - 19:00', 'Fri': '08:30 - 12:30  &  14:00 - 19:00', 'Sat': '08:30 - 19:00'}}",+33 4 67 44 37 54,34700,282,,https://magasin.mr-bricolage.fr/282-mr-bricolage-lodeve
Za Du Keramperu,Mr Bricolage,CONCARNEAU,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",47.89365,-3.9158,Mr.Bricolage Concarneau,"{'opening_hours': {'Mon': '09:00 - 19:00', 'Tue': '09:00 - 19:00', 'Wed': '09:00 - 19:00', 'Thu': '09:00 - 19:00', 'Fri': '09:00 - 19:00', 'Sat': '09:00 - 19:00'}}",+33 2 98 50 14 14,29900,68,,https://magasin.mr-bricolage.fr/68-mr-bricolage-concarneau
"114, rue d’Alésia",Mr Bricolage,Paris,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.8297206,2.3221606,Mr.Bricolage Paris 14 - Alesia,"{'opening_hours': {'Mon': '09:15 - 19:15', 'Tue': '09:15 - 19:15', 'Wed': '09:15 - 19:15', 'Thu': '09:15 - 19:15', 'Fri': '09:15 - 19:15', 'Sat': '09:15 - 19:15'}}",+33 1 40 52 09 33,75014,421,,https://magasin.mr-bricolage.fr/421-mr-bricolage-paris-14-alesia
Zac De La Sauvagère 1313 Route De Frans,Mr Bricolage,VILLEFRANCHE SUR SAONE 2,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",45.985192,4.737941,Mr.Bricolage Villefranche Sur Saone,"{'opening_hours': {'Mon': '09:00 - 19:00', 'Tue': '09:00 - 19:00', 'Wed': '09:00 - 19:00', 'Thu': '09:00 - 19:00', 'Fri': '09:00 - 19:00', 'Sat': '09:00 - 19:00', 'Sun': '09:00 - 12:30'}}",+33 4 37 55 54 53,69400,246,,https://magasin.mr-bricolage.fr/246-mr-bricolage-villefranche-sur-saone
2323 Route du Fayet,Mr Bricolage,DOMANCY,FR,"{'brand': 'Mr Bricolage', 'fascia': 'Mr Bricolage', 'category': 'Retail', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",45.9043453,6.6865255,Mr.Bricolage Domancy,"{'opening_hours': {'Mon': '08:30 - 19:00', 'Tue': '08:30 - 19:00', 'Wed': '08:30 - 19:00', 'Thu': '08:30 - 19:00', 'Fri': '08:30 - 19:00', 'Sat': '08:30 - 19:00', 'Sun': '09:00 - 12:30'}}",+33 4 50 90 87 71,74700,362,,https://magasin.mr-bricolage.fr/362-mr-bricolage-domancy
