addr_full,brand,city,country,extras,lat,lon,name,phone,ref,postcode,website
17 avenue Philéas Fogg - Pôle Jules Verne,But,GLISY,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.864799444030000000,2.379527931213400000,But Amiens,,003,80440,https://www.but.fr/magasins/003/But-Amiens.html
1 rue Pierre et Marie Curie,But,BEAUVAIS,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.408195606114000000,2.115049668786600000,But Beauvais,,004,60000,https://www.but.fr/magasins/004/But-Beauvais.html
Zone Actipolis,But,FOUQUIERES LES BETHUNE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.514679768756000000,2.623335289983500000,But Bethune,,005,62232,https://www.but.fr/magasins/005/But-Bethune.html
RN1,But,ISQUES,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.674073127931000000,1.655151221102000000,But Boulogne sur mer,,006,62360,https://www.but.fr/magasins/006/But-Boulogne-sur-mer.html
Zone d'activité des Cailloux - 383 rue Danton -,But,CALAIS,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.939000000000000000,1.847000000000000000,But Calais,,007,62100,https://www.but.fr/magasins/007/But-Calais.html
Rue des canadiens Les Vertus,But,ST AUBIN SUR SCIE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.896000000000000000,1.077000000000000000,But Dieppe,,009,76550,https://www.but.fr/magasins/009/But-Dieppe.html
Centre Carrefour – RN13 Route de Paris Les Longs Buissons,But,GUICHAINVILLE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.017000000000000000,1.150000000000000000,But Evreux,,010,27930,https://www.but.fr/magasins/010/But-Evreux.html
ZA La Marlière,But,FOURMIES,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.023086163212000000,4.034187754631000000,But Fourmies,,011,59610,https://www.but.fr/magasins/011/But-Fourmies.html
11 rue Louis Bleriot Zone commerciale Vendin 2,But,VENDIN LE VEIL,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.463937355984000000,2.826879937852300000,But Lens,,012,62880,https://www.but.fr/magasins/012/But-Lens.html
484 boulevard de l'europe zac de la carbonniere 3,But,BARENTIN,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.527000000000000000,0.967000000000000000,But Rouen - Barentin,,015,76360,https://www.but.fr/magasins/015/But-Rouen-Barentin.html
Parc d'activités Eco-clos aux antes - centre commercial CarrefourA13,But,TOURVILLE LA RIVIèRE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.328245502182000000,1.092790222168000000,But Rouen - Tourville,,016,76410,https://www.but.fr/magasins/016/But-Rouen-Tourville.html
Z.A.C. Les marlettes Forum de Picardie,But,FAYET,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.860220272752000000,3.255673091796900000,But St Quentin,,017,02100,https://www.but.fr/magasins/017/But-St-Quentin.html
RN 30,But,LA SENTINELLE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.345213898646000000,3.481118499475100000,But Valenciennes,,018,59174,https://www.but.fr/magasins/018/But-Valenciennes.html
