addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"128 b, rue lépine",Castorama,Viriat,France,"{'brand': 'Castorama', 'fascia': 'Castorama Bourg-en-Bresse', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",46.22397,5.20402,Castorama Bourg-en-Bresse,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 74 45 61 61,01440,1468,Bourg-en-bresse,https://www.castorama.fr/store/1468
Parc d affaires route du Paisy,Castorama,DARDILLY,France,"{'brand': 'Castorama', 'fascia': 'Castorama Dardilly', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.80558,4.76457,Castorama Dardilly,"{'opening_hours': {'lun': '07:00 - 20:00', 'mar': '07:00 - 20:00', 'mer': '07:00 - 20:00', 'jeu': '07:00 - 20:00', 'ven': '07:00 - 20:00', 'sam': '07:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 78 35 69 68,69570,1424,Dardilly,https://www.castorama.fr/store/1424
Z.a.c. de champ roman,Castorama,ST MARTIN D'HERES,France,"{'brand': 'Castorama', 'fascia': 'Castorama Grenoble', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.1842739,5.773737399999959,Castorama Grenoble,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 76 42 22 18,38400,1466,Grenoble,https://www.castorama.fr/store/1466
Le champ du roy rond point de vancia,Castorama,RILLIEUX LA PAPE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Rillieux-La-Pape', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.82837,4.90765,Castorama Rillieux-La-Pape,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 78 97 30 30,69140,1427,Rillieux-La-Pape,https://www.castorama.fr/store/1427
Aéroport de lyon bron case 06,Castorama,BRON,France,"{'brand': 'Castorama', 'fascia': 'Castorama Bron', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.72839,4.93743,Castorama Bron,"{'opening_hours': {'lun': '07:00 - 20:00', 'mar': '07:00 - 20:00', 'mer': '07:00 - 20:00', 'jeu': '07:00 - 20:00', 'ven': '07:00 - 20:00', 'sam': '07:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 72 15 24 24,69675,1437,Bron,https://www.castorama.fr/store/1437
Zi landiers nord rue des marais,Castorama,CHAMBERY,France,"{'brand': 'Castorama', 'fascia': 'Castorama Chambéry', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.61432,5.88973,Castorama Chambéry,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '08:30 - 12:30'}}",04 79 68 55 55,73000,1469,Chambéry,https://www.castorama.fr/store/1469
Zone de la bouvarde,Castorama,METZ-TESSY (ANNECY),France,"{'brand': 'Castorama', 'fascia': 'Castorama Metz Tessy', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.93405,6.12152,Castorama Metz Tessy,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': ''}}",04 50 27 26 20,74370,1465,Metz Tessy,https://www.castorama.fr/store/1465
Centre commercial carrefour,Castorama,GIVORS,France,"{'brand': 'Castorama', 'fascia': 'Castorama Givors', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.5837175026602,4.751267706600174,Castorama Givors,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 13:00'}}",04 72 49 23 90,69700,1414,Givors,https://www.castorama.fr/store/1414
Avenue du Roussillon,Castorama,AUBIERE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Clermont-Ferrand', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.75544897649784,3.1268553915405164,Castorama Clermont-Ferrand,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 73 28 68 28,63170,1436,Clermont-Ferrand,https://www.castorama.fr/store/1436
Route de Bénodet,Castorama,QUIMPER,France,"{'brand': 'Castorama', 'fascia': 'Castorama Quimper', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",47.9646,-4.08335,Castorama Quimper,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 17:00'}}",02 98 90 79 98,29000,1498,Quimper,https://www.castorama.fr/store/1498
140 rue du temple de blosne,Castorama,ST JACQUES DE LA LANDE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Rennes-St Jacques', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",48.08748,-1.70601,Castorama Rennes-St Jacques,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '10:00 - 18:00'}}",02 99 35 36 37,35136,1432,Rennes-St Jacques,https://www.castorama.fr/store/1432
Rue denis papin zac de la maladière,Castorama,BOURGOIN JALLIEU,France,"{'brand': 'Castorama', 'fascia': 'Castorama Bourgoin-Jallieu', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",45.59019,5.25344,Castorama Bourgoin-Jallieu,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 74 19 18 18,38300,1454,Bourgoin-jallieu,https://www.castorama.fr/store/1454
avenue du phare du grand jardin,Castorama,MELESSE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Cap Malo', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",48.19994,-1.72406,Castorama Cap Malo,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '10:00 - 18:00'}}",02 99 13 00 01,35520,1482,Cap Malo,https://www.castorama.fr/store/1482
C.c. géant route de fréjus,Castorama,MANDELIEU,France,"{'brand': 'Castorama', 'fascia': 'Castorama Mandelieu', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",43.53214,6.93336,Castorama Mandelieu,"{'opening_hours': {'lun': '08:30 - 20:00', 'mar': '08:30 - 20:00', 'mer': '08:30 - 20:00', 'jeu': '08:30 - 20:00', 'ven': '08:30 - 20:00', 'sam': '08:30 - 20:00', 'dim': '09:00 - 13:00'}}",04 92 97 55 55,06210,1434,Mandelieu,https://www.castorama.fr/store/1434
Lieu-dit le rigon c.c. plan de campagne,Castorama,LES PENNES MIRABEAU,France,"{'brand': 'Castorama', 'fascia': 'Castorama Plan de Campagne', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",43.41501,5.35835,Castorama Plan de Campagne,"{'opening_hours': {'lun': '09:00 - 20:00', 'mar': '09:00 - 20:00', 'mer': '09:00 - 20:00', 'jeu': '09:00 - 20:00', 'ven': '09:00 - 20:00', 'sam': '09:00 - 20:00', 'dim': '09:00 - 20:00'}}",04 42 02 07 07,13170,1433,Plan de Campagne,https://www.castorama.fr/store/1433
4 rue René Cassin,Castorama,CHALON SUR SAONE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Chalon-sur-Saône', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",46.77557,4.86434,Castorama Chalon-sur-Saône,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '08:30 - 12:30'}}",03 85 93 86 00,71100,1470,Chalon-sur-Saône,https://www.castorama.fr/store/1470
Avenue de draguignan z.i. toulon est,Castorama,LA GARDE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Toulon La Garde', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",43.13794,6.03281,Castorama Toulon La Garde,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",04 94 00 02 60,83130,1474,Toulon la garde,https://www.castorama.fr/store/1474
Zone commerciale acti sud,Castorama,MARSANNAY-LA-COTE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Dijon', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",47.27813,5.01941,Castorama Dijon,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '10:00 - 17:00'}}",03 80 60 21 21,21160,1510,Dijon,https://www.castorama.fr/store/1510
Centre commercial carrefour,Castorama,VITROLLES,France,"{'brand': 'Castorama', 'fascia': 'Castorama Vitrolles', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",43.43372495854991,5.258503116455131,Castorama Vitrolles,"{'opening_hours': {'lun': '09:00 - 20:00', 'mar': '09:00 - 20:00', 'mer': '09:00 - 20:00', 'jeu': '09:00 - 20:00', 'ven': '09:00 - 20:00', 'sam': '09:00 - 20:00', 'dim': '09:00 - 13:00'}}",04 42 15 56 00,13127,1445,Vitrolles,https://www.castorama.fr/store/1445
ZI de Kergaradec 22 rue André Colin,Castorama,BREST,France,"{'brand': 'Castorama', 'fascia': 'Castorama Brest', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",48.424591331224875,-4.47525956085201,Castorama Brest,"{'opening_hours': {'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}}",02 98 02 67 33,29200,1485,Brest,https://www.castorama.fr/store/1485
3 rue d andré bardon,Castorama,MARSEILLE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Marseille St - Loup', 'category': '', 'edit_date': '20250313', 'lat_lon_source': 'website'}",43.2824449,5.426268199999981,Castorama Marseille St - Loup,"{'opening_hours': {'lun': '07:00 - 20:00', 'mar': '07:00 - 20:00', 'mer': '07:00 - 20:00', 'jeu': '07:00 - 20:00', 'ven': '07:00 - 20:00', 'sam': '07:00 - 20:00', 'dim': '08:00 - 19:00'}}",04 91 35 40 00,13010,1511,Marseille St loup,https://www.castorama.fr/store/1511
