addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"128 b, rue lépine",Castorama,Viriat,France,"{'brand': 'Castorama', 'fascia': 'Castorama Bourg-en-Bresse', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",46.22397,5.20402,Castorama Bourg-en-Bresse,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",04 74 45 61 61,01440,1468,Bourg-en-bresse,https://www.castorama.fr/store/1468
Parc de l estuaire r.n. 15,Castorama,GONFREVILLE L'ORCHER,France,"{'brand': 'Castorama', 'fascia': 'Castorama Le Havre', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",49.51098955453049,0.22673410583502118,Castorama Le Havre,"{'lun': '09:00 - 19:30', 'mar': '09:00 - 19:30', 'mer': '09:00 - 19:30', 'jeu': '09:00 - 19:30', 'ven': '09:00 - 19:30', 'sam': '09:00 - 19:30', 'dim': ''}",02 35 13 00 30,76700,1489,Le Havre,https://www.castorama.fr/store/1489
Avenue de Paris,Castorama,Lormont,France,"{'brand': 'Castorama', 'fascia': 'Castorama Lormont', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",44.883837214416445,-0.5069389952147958,Castorama Lormont,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",05 56 44 33 33,33310,1499,Bordeaux Lormont,https://www.castorama.fr/store/1499
Z.a.c. agen sud avenue de l atlantique,Castorama,AGEN,France,"{'brand': 'Castorama', 'fascia': 'Castorama Agen', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",44.1847,0.61767,Castorama Agen,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",05 53 66 15 32,47000,1415,Agen,https://www.castorama.fr/store/1415
Rond point de girac route de bordeaux,Castorama,ANGOULÊME,France,"{'brand': 'Castorama', 'fascia': 'Castorama Angoulême', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",45.63587,0.12554,Castorama Angoulême,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",05 45 91 38 28,16000,1513,Angoulême,https://www.castorama.fr/store/1513
Zone de jorlis bd du b.a.b. bp 534,Castorama,ANGLET,France,"{'brand': 'Castorama', 'fascia': 'Castorama Anglet', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",43.49843,-1.49486,Castorama Anglet,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",05 59 57 21 21,64600,1417,Anglet,https://www.castorama.fr/store/1417
Avenue des portes de feytiat,Castorama,FEYTIAT,France,"{'brand': 'Castorama', 'fascia': 'Castorama Limoges', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",45.81227,1.29868,Castorama Limoges,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '10:00 - 18:00'}",05 55 06 94 06,87220,1430,Limoges,https://www.castorama.fr/store/1430
Z.a.c. de belle aire,Castorama,AYTRE,France,"{'brand': 'Castorama', 'fascia': 'Castorama La Rochelle', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",46.13381,-1.10003,Castorama La Rochelle,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",05 46 31 12 12,17440,1459,La Rochelle,https://www.castorama.fr/store/1459
29 avenue des martyrs de la liberation,Castorama,MERIGNAC,France,"{'brand': 'Castorama', 'fascia': 'Castorama Mérignac', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",44.8399,-0.67275,Castorama Mérignac,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",0557533740,33700,2537,Mérignac,https://www.castorama.fr/store/2537
A côté d IKEA,Castorama,FLEURY SUR ORNE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Caen Fleury-sur-Orne', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",49.13952,-0.3713000000000193,Castorama Caen Fleury-sur-Orne,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 18:00'}",02 31 78 54 54,14123,1509,Caen Fleury-Sur-Orne,https://www.castorama.fr/store/1509
43 allée du plateau,Castorama,VILLEMOMBLE,France,"{'brand': 'Castorama', 'fascia': 'Castorama Villemomble', 'category': '', 'edit_date': '2025-03-11', 'lat_lon_source': 'website'}",48.87957,2.50346,Castorama Villemomble,"{'lun': '08:00 - 20:00', 'mar': '08:00 - 20:00', 'mer': '08:00 - 20:00', 'jeu': '08:00 - 20:00', 'ven': '08:00 - 20:00', 'sam': '08:00 - 20:00', 'dim': '09:00 - 20:00'}",01 56 63 94 00,93250,1422,Villemomble,https://www.castorama.fr/store/1422
