address,city,country_code,brand,extras,ref,name,phone,latitude,longitude,opening_hours,postcode,website
"47000, ZAC Agen-Sud AGEN",AGEN,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",317,Cultura Agen,05.35.55.60.00,44.181188,0.620896,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",47000,https://www.cultura.com/les-magasins.html
"20167, Centre Commercial Atrium, Lieu-dit Pernicaggio SARROLA-CARCOPINO",SARROLA-CARCOPINO,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",346,Cultura Ajaccio,04 95 23 67 00,41.95304,8.79683,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': 'Closed'}}",20167,https://www.cultura.com/les-magasins.html
"73200, Zone commerciale du Chiriac ALBERTVILLE",ALBERTVILLE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",337,Cultura Albertville,04.80.81.60.20,45.657876,6.368742,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': 'Closed'}}",73200,https://www.cultura.com/les-magasins.html
"80000, 150 Avenue de l'Europe AMIENS",AMIENS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",250,Cultura Amiens,03.22.40.32.10,49.9195,2.30634,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",80000,https://www.cultura.com/les-magasins.html
"49000, Centre commercial Espace ANJOU ANGERS",ANGERS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",348,Cultura Angers-Anjou,02.85.35.60.90,47.46683,-0.521537,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",49000,https://www.cultura.com/les-magasins.html
"49070, CC Atoll Angers BEAUCOUZÉ",BEAUCOUZÉ,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",325,Cultura Angers-Atoll,02.85.35.61.40,47.485996,-0.627567,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",49070,https://www.cultura.com/les-magasins.html
"64600, Avenue Jean Léon Laporte ANGLET",ANGLET,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",292,Cultura Anglet,05.35.45.60.10,43.4867,-1.49887,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': 'Closed'}}",64600,https://www.cultura.com/les-magasins.html
"13400, Centre Commercial Auchan Barnéoud Aubagne",Aubagne,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",196,Cultura Aubagne,04.96.18.20.00,43.2944,5.59582,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",13400,https://www.cultura.com/les-magasins.html
"63170, CC Plein Sud AUBIERE",AUBIERE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",283,Cultura Aubière,04.43.97.07.30,45.7531,3.13027,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",63170,https://www.cultura.com/les-magasins.html
"89000, ZAC des Clairions AUXERRE",AUXERRE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",88,Cultura Auxerre,03.86.18.07.20,47.816407,3.5657,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",89000,https://www.cultura.com/les-magasins.html
