addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Rue Denis Papin,Darty,Bègles,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",44.7950641,-0.5330968,DARTY Bordeaux Bègles,"{'opening_hours': {'Mon': '09:30 - 19:30', 'Tue': '09:30 - 19:30', 'Wed': '09:30 - 19:30', 'Thu': '09:30 - 19:30', 'Fri': '09:30 - 19:30', 'Sat': '09:00 - 19:30'}}",+33 892 01 10 10,33130,23,,https://magasin.darty.com/23-darty-bordeaux-begles
Z.A.C. des Près Parc des expositions,Darty,Andelnans,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",47.6083051,6.8604255,DARTY Belfort,"{'opening_hours': {'Mon': '09:30 - 19:00', 'Tue': '09:30 - 19:00', 'Wed': '09:30 - 19:00', 'Thu': '09:30 - 19:00', 'Fri': '09:30 - 19:00', 'Sat': '09:30 - 19:00'}}",+33 892 01 10 10,90400,24,,https://magasin.darty.com/24-darty-belfort
"25, boulevard de Belleville",Darty,Paris,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.8685527,2.3805366,DARTY Belleville,"{'opening_hours': {'Mon': '10:00 - 19:30', 'Tue': '10:00 - 19:30', 'Wed': '10:00 - 19:30', 'Thu': '10:00 - 19:30', 'Fri': '10:00 - 19:30', 'Sat': '10:00 - 19:30'}}",+33 892 01 10 10,75011,25,,https://magasin.darty.com/25-darty-belleville
"29, rue Neuve Tolbiac",Darty,Paris,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.8313048,2.3776562,DARTY Bibliotheque Nationale de France,"{'opening_hours': {'Mon': '10:00 - 20:00', 'Tue': '10:00 - 20:00', 'Wed': '10:00 - 20:00', 'Thu': '10:00 - 20:00', 'Fri': '10:00 - 20:00', 'Sat': '10:00 - 19:30', 'Sun': '11:00 - 19:00'}}",+33 892 01 10 10,75013,29,,https://magasin.darty.com/29-darty-bibliotheque-nationale-de-france
Z.A.C. de la Pioline Les Milles,Darty,Aix-en-Provence,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",43.5067558,5.4012651,DARTY Aix-En-Provence,"{'opening_hours': {'Mon': '09:30 - 19:30', 'Tue': '09:30 - 19:30', 'Wed': '09:30 - 19:30', 'Thu': '09:30 - 19:30', 'Fri': '09:30 - 19:30', 'Sat': '09:30 - 19:30'}}",+33 892 01 10 10,13290,3,,https://magasin.darty.com/3-darty-aix-en-provence
"364, rue Lavoisier",Darty,Vineuil,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",47.5722305,1.3706394,DARTY Blois,"{'opening_hours': {'Mon': '09:30 - 19:00', 'Tue': '09:30 - 19:00', 'Wed': '09:30 - 19:00', 'Thu': '09:30 - 19:00', 'Fri': '09:30 - 19:00', 'Sat': '09:30 - 19:30'}}",+33 892 01 10 10,41350,30,,https://magasin.darty.com/30-darty-blois
"143, avenue Gallieni",Darty,Bondy,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.9069984,2.4837024,DARTY Bondy,"{'opening_hours': {'Mon': '10:00 - 19:30', 'Tue': '10:00 - 19:30', 'Wed': '10:00 - 19:30', 'Thu': '10:00 - 19:30', 'Fri': '10:00 - 19:30', 'Sat': '10:00 - 19:30', 'Sun': '10:00 - 19:30'}}",+33 892 01 10 10,93140,31,,https://magasin.darty.com/31-darty-bondy
Rue Kérélisa,Darty,Saint-Martin-des-Champs,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.5732033,-3.8561873,DARTY Morlaix,"{'opening_hours': {'Mon': '09:30 - 19:00', 'Tue': '09:30 - 19:00', 'Wed': '09:30 - 19:00', 'Thu': '09:30 - 19:00', 'Fri': '09:30 - 19:00', 'Sat': '09:30 - 19:00'}}",+33 892 01 10 10,29600,324,,https://magasin.darty.com/324-darty-morlaix
"1-3, avenue du Bicentenaire",Darty,Bonneuil-sur-Marne,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.7666037,2.4906162,DARTY Bonneuil,"{'opening_hours': {'Mon': '10:00 - 19:30', 'Tue': '10:00 - 19:30', 'Wed': '10:00 - 19:30', 'Thu': '10:00 - 19:30', 'Fri': '10:00 - 19:30', 'Sat': '10:00 - 19:30', 'Sun': '10:00 - 19:30'}}",+33 892 01 10 10,94380,370,,https://magasin.darty.com/370-darty-bonneuil
7 rue André Colin,Darty,Brest,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.4265114,-4.4680397,DARTY Brest,"{'opening_hours': {'Mon': '09:30 - 19:30', 'Tue': '09:30 - 19:30', 'Wed': '09:30 - 19:30', 'Thu': '09:30 - 19:30', 'Fri': '09:30 - 19:30', 'Sat': '09:30 - 19:30'}}",+33 892 01 10 10,29200,38,,https://magasin.darty.com/38-darty-brest
Zone commerciale le petit Coudray,Darty,Arconnay,FR,"{'brand': 'Darty', 'fascia': 'Darty', 'category': 'Retail', 'edit_date': '2025-03-12', 'lat_lon_source': 'website'}",48.4061573,0.0884437,DARTY Alençon,"{'opening_hours': {'Mon': '10:00 - 19:00', 'Tue': '10:00 - 19:00', 'Wed': '10:00 - 19:00', 'Thu': '10:00 - 19:00', 'Fri': '10:00 - 19:00', 'Sat': '09:30 - 19:00'}}",+33 892 01 10 10,72610,4,,https://magasin.darty.com/4-darty-alencon
