address,brand,city,postcode,country,extras,latitude,longitude,opening_hours,name,phone,ref,state,website
Avenue de la Boutillerie,Decathlon,SEQUEDIN,59320,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",50.6289155,2.9718339,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-20:00', 'Sun': ''}}",Decathlon Englos - Sequedin ,+33320001700,0070000100001,,https://www.decathlon.fr/store-locator
"3 Route du Petit Menin, ZAC du petit Menin",Decathlon,NEUVILLE EN FERRAIN,59960,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",50.7410559626569,3.139125502732867,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Decathlon Neuville en Ferrain - Roncq,+33320280460,0070000200002,,https://www.decathlon.fr/store-locator
1800 Chemin des Terriers Nord,Decathlon,ANTIBES,06600,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.600207,7.076015,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Decathlon Antibes,+33493741020,0070000400004,,https://www.decathlon.fr/store-locator
636 avenue de Draguignan,Decathlon,La Garde,83130,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.1391379,6.032684499999999,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-20:00', 'Sun': ''}}",Toulon La Garde,+33494147950,0070000500005,,https://www.decathlon.fr/store-locator
ZA La Carbonniere,Decathlon,Barentin,76360,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.527580379171,0.96427905753328,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Barentin,+33235920585,0070000600006,,https://www.decathlon.fr/store-locator
Carrefour POMPADOUR,Decathlon,Creteil,94000,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.774977467972,2.4380066772461,"{'opening_hours': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': ''}}",Créteil,+33149804323,0070000800008,,https://www.decathlon.fr/store-locator
ZI les Paluds,Decathlon,AUBAGNE,13400,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.29726687252901,5.593806635581959,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Decathlon - Aubagne,+33442180101,0070001000010,,https://www.decathlon.fr/store-locator
12 mail des copistes,Decathlon,HERBLAY,95220,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.0001986,2.1872624,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': '09:30-20:00'}}",Herblay,+33134506650,0070001100011,,https://www.decathlon.fr/store-locator
"LE PERROLLIER , 21 RUE JEAN MARIE VIANNEY",Decathlon,Ecully,69130,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.79028592716491,4.7777999729858545,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Ecully,+33478333000,0070001200012,,https://www.decathlon.fr/store-locator
"63, route de la torchaise",Decathlon,Vouneuil sous Biard,86580,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",46.559578059992,0.29985826187134,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Poitiers - Vouneuil sous Biard ,+33549501475,0070001300013,,https://www.decathlon.fr/store-locator
Zone Industrielle de la Croix Blanche,Decathlon,Sainte Genevieve des Bois,91700,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.625744451825,2.3438520416642,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': '09:30-19:30'}}",Sainte Genevieve des Bois,+33160153313,0070001400014,,https://www.decathlon.fr/store-locator
"121, boulevard de Valmy",Decathlon,VILLENEUVE D'ASCQ,59650,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",50.61622060000001,3.1275523,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Decathlon Villeneuve d'Ascq ccial V2 - Lille,+33320916103,0070001500015,,https://www.decathlon.fr/store-locator
33 avenue de l'Europe,Decathlon,Velizy,78140,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.782905,2.21939,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': '09:30-19:30'}}",Vélizy,+33134650808,0070001600016,,https://www.decathlon.fr/store-locator
1072 Avenue Georges Méliès,Decathlon,MONTPELLIER,34000,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.6057184401,3.9231993883606,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Montpellier - Odysseum,+33499532424,0070001700017,,https://www.decathlon.fr/store-locator
4 avenue des Palanques,Decathlon,PORTET sur GARONNE,31120,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.533238900898,1.4066804074097,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-20:00', 'Sun': ''}}",Toulouse - Portet sur Garonne,+33561728181,0070001800018,,https://www.decathlon.fr/store-locator
182 Avenue Maréchal Leclerc,Decathlon,Le Pontet,84130,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.972636275833,4.8634241910156,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Avignon Nord - Le Pontet ,+33490030484,0070001900019,,https://www.decathlon.fr/store-locator
Place André Maurois,Decathlon,Strasbourg,67200,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.5913569,7.6936074,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Strasbourg Hautepierre,+330390204720,0070002000020,,https://www.decathlon.fr/store-locator
