addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
5 Place de la Pyramide,Exki,Puteaux,France,"{'brand': 'Exki', 'fascia': 'EXKi 202 Tour Ariane', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.889325,2.243746,Tour Ariane,"{'opening_hour': {'Mon': '8:00- 16:00', 'Tue': '8:00- 16:00', 'Wed': 'None- 16:00', 'Thur': '8:00- 16:00', 'Fri': '8:00- 15:00', 'Sat': '', 'Sun': ''}}",+33 1 87 22 44 12,92800,273,,https://www.exki.com/fr/menu/exki-202-tour-ariane-273
38 Rue du Rambuteau,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 205 Rambuteau', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.861488,2.353073,Rambuteau,"{'opening_hour': {'Mon': '08:30- 20:00', 'Tue': '08:30- 20:00', 'Wed': 'None- 20:00', 'Thur': '08:30- 20:00', 'Fri': '08:30- 20:00', 'Sat': '08:30- 20:00', 'Sun': '11:00- 20:00'}}",+33 1 70 81 02 25,75003,276,,https://www.exki.com/fr/menu/exki-205-rambuteau-276
116 Avenue de France,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 229 Avenue de France', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.8307577,2.3766691,Avenue de France,"{'opening_hour': {'Mon': '08:00- 19:00', 'Tue': '08:00- 19:00', 'Wed': 'None- 19:00', 'Thur': '08:00- 19:00', 'Fri': '08:00- 19:00', 'Sat': '09:00- 19:00', 'Sun': '11:30- 16:30'}}",+33 1 57 27 01 26,75013,279,,https://www.exki.com/fr/menu/exki-229-avenue-de-france-279
8 Avenue Kléber,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 270 Kleber', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.8722106,2.2937045,Kleber,"{'opening_hour': {'Mon': '07:30- 18:00', 'Tue': '07:30- 18:00', 'Wed': 'None- 18:00', 'Thur': '07:30- 18:00', 'Fri': '07:30- 16:00', 'Sat': '', 'Sun': ''}}",N/A,75016,285,,https://www.exki.com/fr/menu/exki-270-kleber-285
193 Rue de Bercy,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 280 Rue de Bercy', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.8439778,2.3726145,Bercy,"{'opening_hour': {'Mon': '07:00- 19:30', 'Tue': '07:00- 19:30', 'Wed': 'None- 19:30', 'Thur': '07:00- 19:30', 'Fri': '07:00- 19:30', 'Sat': '08:00- 18:30', 'Sun': ''}}",+33 1 43 07 64 61,75012,288,,https://www.exki.com/fr/menu/exki-280-rue-de-bercy-288
41 Passage de l'Arche,Exki,Puteaux,France,"{'brand': 'Exki', 'fascia': ""EXKi 282 Passage de l'Arche"", 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.892048,2.23459,Passage de l'Arche,"{'opening_hour': {'Mon': '08:00- 14:30', 'Tue': '08:00- 14:30', 'Wed': 'None- 14:30', 'Thur': '08:00- 14:30', 'Fri': '11:00- 14:30', 'Sat': 'Closed- Closed', 'Sun': 'Closed- Closed'}}",+33 1 47 44 96 36,92800,289,,https://www.exki.com/fr/menu/exki-282-passage-de-l-arche-289
96 Rue Saint Lazare,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 292 Saint-Lazare', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.87602,2.327763,Saint-Lazare,"{'opening_hour': {'Mon': '08:00- 18:30', 'Tue': '08:00- 18:30', 'Wed': 'None- 18:30', 'Thur': '08:00- 18:30', 'Fri': '08:00- 18:30', 'Sat': '11:30- 18:30', 'Sun': ''}}",+33 1 76 38 20 53,75009,291,,https://www.exki.com/fr/menu/exki-292-saint-lazare-291
18 Rue de Dunkerque,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 301 Gare du Nord', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.881824,2.35453,Gare du Nord,"{'opening_hour': {'Mon': '06:00- 21:00', 'Tue': '06:00- 21:00', 'Wed': 'None- 21:00', 'Thur': '06:00- 21:00', 'Fri': '06:00- 21:00', 'Sat': '06:00- 21:00', 'Sun': '06:00- 21:00'}}",N/A,75010,293,,https://www.exki.com/fr/menu/exki-301-gare-du-nord-293
Terminal 1 hall B,Exki,Colombier-Saugnieu,France,"{'brand': 'Exki', 'fascia': 'EXKi 302 Lyon St Exupéry', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",45.718696,5.07941,Lyon Saint-Exupéry,"{'opening_hour': {'Mon': 'Temporarily closed', 'Tue': 'Temporarily closed', 'Wed': 'None', 'Thur': 'Temporarily closed', 'Fri': 'Temporarily closed', 'Sat': 'Temporarily closed', 'Sun': ''}}",N/A,69125,294,,https://www.exki.com/fr/menu/exki-302-lyon-st-exupery-294
Avenue du Maine 44,Exki,Paris,France,"{'brand': 'Exki', 'fascia': 'EXKi 307 Gare de Montparnasse', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.841135,2.320913,307 Gare de Montparnasse,"{'opening_hour': {'Mon': '06:30- 20:00', 'Tue': '06:30- 20:00', 'Wed': 'None- 20:00', 'Thur': '06:30- 20:00', 'Fri': '06:30- 20:30', 'Sat': '07:00- 20:00', 'Sun': '08:00- 20:00'}}",N/A,75015,299,,https://www.exki.com/fr/menu/exki-307-gare-de-montparnasse-299
"Aire de Beaune-Tailly, Autoroute du Soleil",Exki,Marceuil,France,"{'brand': 'Exki', 'fascia': 'EXKi 310 Beaune', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",46.96203,4.837284,"A6, Aire de Merceuil","{'opening_hour': {'Mon': '07:00- 19:00', 'Tue': '07:00- 19:00', 'Wed': 'None- 19:00', 'Thur': '07:00- 19:00', 'Fri': '07:00- 19:00', 'Sat': '07:00- 19:00', 'Sun': '07:00- 19:00'}}",N/A,21190,302,,https://www.exki.com/fr/menu/exki-310-beaune-302
Place Général de Gaulle,Exki,Metz,France,"{'brand': 'Exki', 'fascia': 'EXKi 313 Gare de Metz', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",49.1098703729805,6.1773226767058,EXKi Gare de Metz Porte G,"{'opening_hour': {'Mon': '06:00- 21:00', 'Tue': '06:00- 21:00', 'Wed': 'None- 21:00', 'Thur': '06:00- 21:00', 'Fri': '06:00- 21:00', 'Sat': '06:00- 21:00', 'Sun': '06:00- 21:00'}}",N/A,57000,490,,https://www.exki.com/fr/menu/exki-313-gare-de-metz-490
"Gare SNCF, 13001 Marseille, France",Exki,False,France,"{'brand': 'Exki', 'fascia': 'EXKi 316 Gare Marseille', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",43.3030471801758,5.3804125785828,"SNCF, 13001 Marseille, France","{'opening_hour': {'Mon': '07:00- 20:00', 'Tue': '07:00- 20:00', 'Wed': 'None- 20:00', 'Thur': '07:00- 20:00', 'Fri': '07:00- 20:00', 'Sat': '07:00- 20:00', 'Sun': '07:00- 20:00'}}",+33 6 27 81 38 54,False,63,,https://www.exki.com/fr/menu/exki-316-gare-marseille-63
Orly 4 RPDI Orly,Exki,Orly,France,"{'brand': 'Exki', 'fascia': 'EXKi 317 Orly RPDI', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.7282216716978,2.3712365336252,Orly RPDI Orly,"{'opening_hour': {'Mon': '07:30- 21:00', 'Tue': '07:30- 21:00', 'Wed': 'None- 21:00', 'Thur': '07:30- 21:00', 'Fri': '07:30- 21:00', 'Sat': '07:30- 21:00', 'Sun': '07:30- 21:00'}}",N/A,94546,339,,https://www.exki.com/fr/menu/exki-317-orly-rpdi-339
rue du 8 mai 1945,Exki,Paris,France,"{'brand': 'Exki', 'fascia': ""EXKi 319 Gare de l'Est"", 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.8774379211629,2.3585508764907,EXKi CDPF 012401,"{'opening_hour': {'Mon': '10:00- 17:45', 'Tue': '10:00- 17:45', 'Wed': 'None- 17:45', 'Thur': '10:00- 17:45', 'Fri': '10:00- 17:45', 'Sat': '', 'Sun': ''}}",N/A,75010,501,,https://www.exki.com/fr/menu/exki-319-gare-de-l-est-501
False,Exki,Champs,France,"{'brand': 'Exki', 'fascia': ""EXKi 320 Volcans d'Auvergne"", 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",46.0578355333809,3.1119130726972,EXKi Aire des Volcans d'Auvergne,"{'opening_hour': {'Mon': '07:00- 22:00', 'Tue': '07:00- 22:00', 'Wed': 'None- 22:00', 'Thur': '07:00- 22:00', 'Fri': '07:00- 22:00', 'Sat': '07:00- 22:00', 'Sun': '07:00- 22:00'}}",N/A,63440,500,,https://www.exki.com/fr/menu/exki-320-volcans-d-auvergne-500
Roissy CDG 2F,Exki,Roissy ,France,"{'brand': 'Exki', 'fascia': 'EXKi 331 Roissy CDG 2E K ', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",49.003294,2.576158,Roissy,"{'opening_hour': {'Mon': '\tTemporarily closed', 'Tue': '\tTemporarily closed', 'Wed': 'None', 'Thur': '\tTemporarily closed', 'Fri': '\tTemporarily closed', 'Sat': '\tTemporarily closed', 'Sun': '\tTemporarily closed'}}",N/A,95716,306,,https://www.exki.com/fr/menu/exki-331-roissy-cdg-2e-k-306
Roissy 2F 1,Exki,Roissy ,France,"{'brand': 'Exki', 'fascia': 'EXKi 332 Roissy 2F 1', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",49.005328,2.577011,Roissy,"{'opening_hour': {'Mon': 'Temporarily closed', 'Tue': 'Temporarily closed', 'Wed': 'None', 'Thur': 'Temporarily closed', 'Fri': 'Temporarily closed', 'Sat': 'Temporarily closed', 'Sun': ''}}",N/A,95716,307,,https://www.exki.com/fr/menu/exki-332-roissy-2f-1-307
False,Exki,Marignane,France,"{'brand': 'Exki', 'fascia': 'EXKi 340 Aéroport de Marseille', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",43.4413797140649,5.2219874838026,Aéroport de Marseille Provence,"{'opening_hour': {'Mon': '07:00- 20:00', 'Tue': '07:00- 20:00', 'Wed': 'None- 20:00', 'Thur': '07:00- 20:00', 'Fri': '07:00- 20:00', 'Sat': '07:00- 20:00', 'Sun': '07:00- 20:00'}}",+33(0)4 42 14 29 80,13700,448,,https://www.exki.com/fr/menu/exki-340-aeroport-de-marseille-448
Orly Ouest,Exki,Orly Ouest,France,"{'brand': 'Exki', 'fascia': 'EXKi 352 Orly Ouest (1B)', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.7291502882238,2.3573690283416,Orly Ouest Aérogare,"{'opening_hour': {'Mon': '05:30- 21:00', 'Tue': '05:30- 21:00', 'Wed': 'None- 21:00', 'Thur': '05:30- 21:00', 'Fri': '05:30- 21:00', 'Sat': '05:30- 21:00', 'Sun': '05:30- 21:00'}}",N/A,94546,313,,https://www.exki.com/fr/menu/exki-352-orly-ouest-1b-313
Orly OUEST H1,Exki,Orly Ouest,France,"{'brand': 'Exki', 'fascia': 'EXKi 366 Orly Ouest H1', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.7307311979719,2.360058857161,Orly Aérogare,"{'opening_hour': {'Mon': '05:30- 21:30', 'Tue': '05:30- 21:30', 'Wed': 'None- 21:30', 'Thur': '05:30- 21:30', 'Fri': '05:30- 21:30', 'Sat': '05:30- 21:30', 'Sun': '05:30- 21:30'}}",N/A,94546,318,,https://www.exki.com/fr/menu/exki-366-orly-ouest-h1-318
CDG TERMINAL 2,Exki,Roissy,France,"{'brand': 'Exki', 'fascia': 'EXKi 368 Roissy CDG 2E M (S4)', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",49.005008,2.589689,Roissy CDG,"{'opening_hour': {'Mon': 'Temporarily closed', 'Tue': 'Temporarily closed', 'Wed': 'None', 'Thur': 'Temporarily closed', 'Fri': 'Temporarily closed', 'Sat': 'Temporarily closed', 'Sun': ''}}",N/A,95716,319,,https://www.exki.com/fr/menu/exki-368-roissy-cdg-2e-m-s4-319
Orly international,Exki,Orly Sud,France,"{'brand': 'Exki', 'fascia': 'EXKi 391 Orly Sud La Jetée (INTER)', 'category': 'Restaurant', 'edit_date': '2025-03-14', 'lat_lon_source': 'website'}",48.7292294910426,2.3745889104292,Orly Aérogare,"{'opening_hour': {'Mon': '8:30- 21:00', 'Tue': '8:30- 21:00', 'Wed': 'None- 21:00', 'Thur': '8:30- 21:00', 'Fri': '8:30- 21:00', 'Sat': '8:30- 21:00', 'Sun': '8:30- 21:00'}}",N/A,94542,325,,https://www.exki.com/fr/menu/exki-391-orly-sud-la-jetee-inter-325
