addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"100 CHEMIN DU PONT BLANC, VEDENE",Ikea,VEDENE,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",43.97830544461172,4.891127345993009,IKEA Avignon,"{'opening_hours': {'MON': '10:00-19:30', 'TUE': '10:00-19:30', 'WED': '10:00-19:30', 'THU': '10:00-19:30', 'FRI': '10:00-19:30', 'SAT': '10:00-19:30'}}",,84270,018,FRPAC,https://www.ikea.com/fr/fr/stores/avignon/
"2-4 Avenue du Portou, SAINT PIERRE D'IRUBE",Ikea,SAINT PIERRE D'IRUBE,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",43.480561971611664,-1.4449194303340758,IKEA Bayonne,"{'opening_hours': {'MON': '10:00-19:30', 'TUE': '10:00-19:30', 'WED': '10:00-19:30', 'THU': '10:00-19:30', 'FRI': '10:00-19:30', 'SAT': '10:00-19:30'}}",,64990,310,FRNAQ,https://www.ikea.com/fr/fr/stores/bayonne-ametzondo/
"AVENUE DES 40 JOURNAUX, BORDEAUX-LAC",Ikea,BORDEAUX-LAC,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",44.8851,-0.5658,IKEA Bordeaux,"{'opening_hours': {'MON': '10:00-20:00', 'TUE': '10:00-20:00', 'WED': '10:00-20:00', 'THU': '10:00-20:00', 'FRI': '10:00-20:00', 'SAT': '10:00-20:00'}}",,33300,134,FRNAQ,https://www.ikea.com/fr/fr/stores/bordeaux/
"LES CHAMPS DE COATAUDON - LE FROUTVEN, GUIPAVAS",Ikea,GUIPAVAS,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",48.4178,-4.4413,IKEA Brest,"{'opening_hours': {'MON': '10:00-20:00', 'TUE': '10:00-20:00', 'WED': '10:00-20:00', 'THU': '10:00-20:00', 'FRI': '10:00-20:00', 'SAT': '10:00-20:00'}}",,29490,060,FRBRE,https://www.ikea.com/fr/fr/stores/brest/
"970 avenue de Suisse Normande, FLEURY SUR ORNE",Ikea,FLEURY SUR ORNE,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",49.145819724429145,-0.3640724300306005,IKEA Caen,"{'opening_hours': {'MON': '10:00-20:00', 'TUE': '10:00-20:00', 'WED': '10:00-20:00', 'THU': '10:00-20:00', 'FRI': '10:00-20:00', 'SAT': '10:00-20:00'}}",,14123,199,FRNOR,https://www.ikea.com/fr/fr/stores/caen-fleury-sur-orne/
"19 Boulevard Louis Chartoire, CLERMONT FERRAND",Ikea,CLERMONT FERRAND,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",45.8038,3.1388,IKEA Clermont - Ferrand,"{'opening_hours': {'MON': '10:00-19:00', 'TUE': '10:00-19:00', 'WED': '10:00-19:00', 'THU': '10:00-19:00', 'FRI': '10:00-19:00', 'SAT': '10:00-19:00'}}",,63100,345,FRARA,https://www.ikea.com/fr/fr/stores/clermont-ferrand/
"1 RUE DE CRACOVIE, DIJON",Ikea,DIJON,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",47.3408339951798,5.064184712334835,IKEA Dijon,"{'opening_hours': {'MON': '10:00-19:30', 'TUE': '10:00-19:30', 'WED': '10:00-19:30', 'THU': '10:00-19:30', 'FRI': '10:00-19:30', 'SAT': '10:00-19:30'}}",,21000,086,FRBFC,https://www.ikea.com/fr/fr/stores/dijon/
"1 RUE DU CLOS AUX POIS - LISSE, EVRY",Ikea,EVRY,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",48.59669576528127,2.439204012938318,IKEA Paris - Evry,"{'opening_hours': {'MON': '10:00-20:00', 'TUE': '10:00-20:00', 'WED': '10:00-20:00', 'THU': '10:00-20:00', 'FRI': '10:00-20:00', 'SAT': '10:00-20:00', 'SUN': '10:00-20:00'}}",,91090,082,FRIDF,https://www.ikea.com/fr/fr/stores/evry/
"337/339 RUE DU GENERAL LECLERC, FRANCONVILLE",Ikea,FRANCONVILLE,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",48.9867,2.2147,IKEA Paris - Franconville,"{'opening_hours': {'MON': '10:00-20:00', 'TUE': '10:00-20:00', 'WED': '10:00-20:00', 'THU': '10:00-20:00', 'FRI': '10:00-20:00', 'SAT': '10:00-20:00', 'SUN': '10:00-20:00'}}",,95130,389,FRIDF,https://www.ikea.com/fr/fr/stores/paris-franconville/
"150 AV GABRIEL PERI, SAINT MARTIN D'HERES",Ikea,SAINT MARTIN D'HERES,France,"{'brand': 'Ikea', 'fascia': 'IKEA STORE', 'category': 'Retail', 'edit_date': '2025-03-13', 'lat_lon_source': 'website'}",45.181343511477905,5.775836400587793,IKEA Grenoble,"{'opening_hours': {'MON': '10:00-20:00', 'TUE': '10:00-20:00', 'WED': '10:00-20:00', 'THU': '10:00-20:00', 'FRI': '10:00-20:00', 'SAT': '10:00-20:00'}}",,38400,435,FRARA,https://www.ikea.com/fr/fr/stores/grenoble/
