address,city,postcode,country,extras,lat,long,name,ref,state,phone,website,opening_hours
Rue du Vermois,Laxou,54520,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.69125689,6.12971125,Jardiland,3681919,Grand Est,+33 3 83 67 60 99,https://www.jardiland.com/magasins/magasin-laxou-nancy,"{'opening_hours': {'Mon': '09:30-12:00, 14:00-19:00', 'Tue': '09:30-12:00, 14:00-19:00', 'Wed': '09:30-12:00, 14:00-19:00', 'Thu': '09:30-12:00, 14:00-19:00', 'Fri': '09:30-12:00, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
Rue de Marchienne 104,Gozée,6534,BE,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",50.34257209,4.35849225,Jardiland,3681911,Région Wallonne,+32 71 51 88 60,https://www.jardiland.com/magasins/magasin-gozee,"{'opening_hours': {'Mon': '09:00-18:30', 'Tue': '09:00-18:30', 'Wed': '09:00-18:30', 'Thu': '09:00-18:30', 'Fri': '09:00-18:30', 'Sat': '09:00-18:30', 'Sun': '09:00-13:00'}}"
Avenue de la Vallée du Breuchin,Froideconche,70300,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.8178985,6.3970747,Jardiland,3681904,Bourgogne-Franche-Comté,+33 3 84 40 40 12,https://www.jardiland.com/magasins/magasin-luxeuil-les-bains-froideconche,"{'opening_hours': {'Mon': '09:00-12:00, 14:00-19:00', 'Tue': '09:00-12:00, 14:00-19:00', 'Wed': '09:00-12:00, 14:00-19:00', 'Thu': '09:00-12:00, 14:00-19:00', 'Fri': '09:00-12:00, 14:00-19:00', 'Sat': '09:00-19:00', 'Sun': '10:00-12:30, 14:30-18:00'}}"
Rue des Sources,École-Valentin,25480,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.27840699,5.99503107,Jardiland,3681914,Bourgogne-Franche-Comté,+33 3 81 85 01 12,https://www.jardiland.com/magasins/magasin-besancon-ecole-valentin,"{'opening_hours': {'Mon': '09:30-12:00, 14:00-19:00', 'Tue': '09:30-12:00, 14:00-19:00', 'Wed': '09:30-12:00, 14:00-19:00', 'Thu': '09:30-12:00, 14:00-19:00', 'Fri': '09:30-12:00, 14:00-19:00', 'Sat': '09:30-12:00, 14:00-19:00', 'Sun': 'Closed'}}"
Allée du Beniet,Drumettaz Clarafond,73420,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",45.65587923,5.91048896,Jardiland,3681916,Auvergne-Rhône-Alpes,+33 4 79 88 52 00,https://www.jardiland.com/magasins/magasin-drumettaz-clarafond-aix-les-bains,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:00-19:00', 'Sun': '09:30-12:30, 14:30-18:00'}}"
10 D910,Barjouville,28630,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.41145833,1.46087769,Jardiland,3681923,Centre-Val de Loire,+33 2 37 25 67 10,https://www.jardiland.com/magasins/magasin-chartres-barjouville,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-13:00, 14:00-18:30'}}"
La Ferme Neuve,Rémalard-en-Perche,61110,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.42681205,0.78763604,Jardiland,3681912,Normandie,+33 2 33 73 76 06,https://www.jardiland.com/magasins/magasin-dorceau,"{'opening_hours': {'Mon': '09:00-12:30, 14:30-19:00', 'Tue': '09:00-12:30, 14:30-19:00', 'Wed': '09:00-12:30, 14:30-19:00', 'Thu': '09:00-12:30, 14:30-19:00', 'Fri': '09:00-12:30, 14:30-19:00', 'Sat': '09:00-12:30, 14:30-19:00', 'Sun': '09:30-12:30'}}"
64 Avenue de l'Europe,Lempdes,63370,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",45.7767364,3.18556965,Jardiland,3681913,Auvergne-Rhône-Alpes,+33 4 73 61 61 00,https://www.jardiland.com/magasins/magasin-lempdes-clermont-ferrand,"{'opening_hours': {'Mon': '09:30-12:00, 14:00-19:00', 'Tue': '09:30-12:00, 14:00-19:00', 'Wed': '09:30-12:00, 14:00-19:00', 'Thu': '09:30-12:00, 14:00-19:00', 'Fri': '09:30-12:00, 14:00-19:00', 'Sat': '09:30-12:00, 14:00-19:00', 'Sun': '09:30-12:00, 14:00-19:00'}}"
Rue du Commandant J Y Cousteau,Bléré,37150,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.32413602,1.01921796,Jardiland,3681909,Centre-Val de Loire,+33 2 47 57 96 01,https://www.jardiland.com/magasins/magasin-blere,"{'opening_hours': {'Mon': '10:00-12:00, 14:30-19:00', 'Tue': '09:00-12:00, 14:30-19:00', 'Wed': '09:00-12:00, 14:30-19:00', 'Thu': '09:00-12:00, 14:30-19:00', 'Fri': '09:00-12:00, 14:30-19:00', 'Sat': '09:00-12:15, 14:30-19:00', 'Sun': '10:00-12:15'}}"
N138,Saint-Saturnin,72650,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.04963706,0.1688554,Jardiland,3681905,Pays de la Loire,+33 2 43 25 68 00,https://www.jardiland.com/magasins/magasin-le-mans-saint-saturnin,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '09:30-12:30, 14:00-18:30'}}"
