addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
37 Avenue de la Marne,Otacos,Asnières,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.911514000000000000,2.286423000000000000,Asnières,"{'opening_hours': {'Lun': '11:00 - 23:00', 'Mar': '10:30 - 23:00', 'Mer': '11:00 - 23:00', 'Jeu': '11:00 - 23:00', 'Ven': '11:00 - 23:00', 'Sam': '11:00 - 23:00', 'Dim': '11:00 - 23:00'}}",,92600,,,https://o-tacos.com/nos-restos
2 rue du pere Andre Jarlan,Otacos,EVRY,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.624539700000000000,2.426622900000000000,EVRY,"{'opening_hours': {'Lun': '12:00 - 21:45', 'Mar': '12:00 - 21:45', 'Mer': '12:00 - 21:45', 'Jeu': '12:00 - 21:45', 'Ven': '12:00 - 22:00', 'Sam': '12:00 - 22:00', 'Dim': '12:00 - 21:45'}}",,91000,,,https://o-tacos.com/nos-restos
6 Plan de Campagne Chemin départemental,Otacos,Cabries,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.420517000000000000,5.365581000000000000,CABRIES PLAN DE CAMPAGNE,"{'opening_hours': {'Lun': '11:00 - 22:00', 'Mar': '11:00 - 22:00', 'Mer': '11:00 - 22:00', 'Jeu': '11:00 - 22:00', 'Ven': '11:00 - 22:00', 'Sam': '11:00 - 22:30', 'Dim': '11:00 - 22:00'}}",,13480,,,https://o-tacos.com/nos-restos
27 rue de Bordeaux,Otacos,Tours,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.389481000000000000,0.691700800000000000,TOURS RUE DE BORDEAUX,"{'opening_hours': {'Lun': '11:00 - 23:00', 'Mar': '11:00 - 23:00', 'Mer': '11:00 - 23:00', 'Jeu': '11:00 - 23:00', 'Ven': '11:00 - 23:30', 'Sam': '12:00 - 23:00', 'Dim': '12:00 - 23:00'}}",,37000,,,https://o-tacos.com/nos-restos
46 rue du Général de Gaulle,Otacos,Armentieres,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.685557000000000000,2.881325000000000000,ARMENTIERES DE GAULLE,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': '11:00 - 22:30', 'Mer': '11:00 - 23:00', 'Jeu': '11:00 - 23:00', 'Ven': '11:00 - 00:00', 'Sam': '11:00 - 00:00', 'Dim': '11:30 - 23:00'}}",,59280,,,https://o-tacos.com/nos-restos
2 Avenue de l'Aubrac,Otacos,LES,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.676939300000000000,2.172566500000000000,LES ULIS CC LES ULIS,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': '10:00 - 22:00', 'Mer': '10:00 - 22:00', 'Jeu': '10:00 - 22:00', 'Ven': '10:00 - 22:30', 'Sam': '10:00 - 22:30', 'Dim': '10:00 - 22:00'}}",,91440,,,https://o-tacos.com/nos-restos
27 Rue de Maguelone,Otacos,Montpellier,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.605524500000000000,3.880465300000000000,MONTPELLIER MAGUELONE,"{'opening_hours': {'Lun': '10:00 - 22:30', 'Mar': '10:00 - 22:30', 'Mer': '10:00 - 22:30', 'Jeu': '10:00 - 22:30', 'Ven': '10:00 - 22:30', 'Sam': '10:00 - 22:30', 'Dim': '10:00 - 22:30'}}",,34000,,,https://o-tacos.com/nos-restos
3 RUE JULES MIGONNEY,Otacos,BOURG,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.203351200000000000,5.226534200000000000,BOURG EN BRESSE MIGONNEY,"{'opening_hours': {'Lun': '10:45 - 21:45', 'Mar': '10:45 - 21:45', 'Mer': '10:45 - 21:45', 'Jeu': '10:45 - 21:45', 'Ven': '10:45 - 21:45', 'Sam': '11:15 - 21:45', 'Dim': '11:15 - 21:45'}}",,1000,,,https://o-tacos.com/nos-restos
10 Rue du Kestlerhof,Otacos,HAGUENAU,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.805834800000000000,7.830846300000000000,HAGUENAU TAUBENHOF II,"{'opening_hours': {'Lun': '11:00 - 23:00', 'Mar': '11:00 - 23:00', 'Mer': '11:00 - 23:00', 'Jeu': '11:00 - 23:00', 'Ven': '11:00 - 23:00', 'Sam': '11:00 - 23:00', 'Dim': '11:00 - 23:00'}}",,67500,,,https://o-tacos.com/nos-restos
34 AVENUE GAMBETTA,Otacos,Paris,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.864807600000000000,2.396870300000000000,PARIS GAMBETTA,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': '11:30 - 23:00', 'Mer': '11:30 - 23:00', 'Jeu': '11:30 - 23:00', 'Ven': '11:30 - 00:00', 'Sam': '11:30 - 00:00', 'Dim': '11:30 - 23:00'}}",,75020,,,https://o-tacos.com/nos-restos
7 rue Elie gintrac,Otacos,BORDEAUX,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",44.830877100000000000,-0.571462400000000000,BORDEAUX VICTOIRE,"{'opening_hours': {'T. ': '. 0033986619377', 'Lun': '11:30 - 23:45', 'Mar': '11:00 - 23:45', 'Mer': '11:00 - 00:00', 'Jeu': '11:00 - 00:00', 'Ven': '11:30 - 00:00', 'Sam': '11:00 - 00:00', 'Dim': '11:00 - 00:00'}}",,33000,,,https://o-tacos.com/nos-restos
52 Rue Arthur Chevalier,Otacos,AULNAY,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.927866300000000000,2.508131600000000000,AULNAY SOUS BOIS CHANTELOUP,"{'opening_hours': {'Lun': '11:30 - 22:50', 'Mar': '09:30 - 22:50', 'Mer': '11:30 - 22:50', 'Jeu': '11:30 - 22:50', 'Ven': '11:30 - 23:45', 'Sam': '11:30 - 23:45', 'Dim': '12:00 - 22:50'}}",,93600,,,https://o-tacos.com/nos-restos
161 rue Pierre Legrand,Otacos,LILLE,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.632605400000000000,3.092076100000000000,LILLE FIVES,"{'opening_hours': {'Lun': '19:00 - 23:45', 'Mar': '19:00 - 23:45', 'Mer': '19:00 - 23:45', 'Jeu': '11:30 - 23:20', 'Ven': '19:00 - 23:45', 'Sam': '19:00 - 23:45', 'Dim': '19:00 - 23:45'}}",,59350,,,https://o-tacos.com/nos-restos
234 Boulevard du Mont d'Est,Otacos,NOISY,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.839880900000000000,2.548183900000000000,NOISY LE GRAND LES ARCADES,"{'opening_hours': {'Lun': '11:30 - 23:00', 'Mar': '11:30 - 23:00', 'Mer': '11:30 - 23:00', 'Jeu': '11:30 - 23:00', 'Ven': '11:30 - 23:00', 'Sam': '11:30 - 23:00', 'Dim': '11:30 - 23:00'}}",,93160,,,https://o-tacos.com/nos-restos
10 Avenue Lenine,Otacos,PIERREFITTE,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.962198000000000000,2.358846000000000000,PIERREFITTE SUR SEINE LENINE,"{'opening_hours': {'Lun': '11:00 - 23:00', 'Mar': '11:00 - 01:45', 'Mer': ' Fermé', 'Jeu': '11:00 - 23:00', 'Ven': 'Fermé', 'Sam': '11:00 - 01:45', 'Dim': '11:00 - 01:45'}}",,93380,,,https://o-tacos.com/nos-restos
127 Avenue de la Republique,Otacos,EPINAY,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.950612200000000000,2.326441300000000000,EPINAY SUR SEINE REPUBLIQUE,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': 'Fermé', 'Mer': ' Fermé', 'Jeu': 'Fermé', 'Ven': 'Fermé', 'Sam': 'Fermé', 'Dim': 'Fermé'}}",,93800,,,https://o-tacos.com/nos-restos
83 rue de paris,Otacos,CLICHY,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.900787400000000000,2.303806500000000000,CLICHY LA GARENNE RUE DE PARIS,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': 'Fermé', 'Mer': ' Fermé', 'Jeu': 'Fermé', 'Ven': 'Fermé', 'Sam': 'Fermé', 'Dim': 'Fermé'}}",,92110,,,https://o-tacos.com/nos-restos
61 Avenue Gabriel Peri,Otacos,SAINT,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.907228000000000000,2.332485100000000000,SAINT OUEN GABRIEL PERI,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': 'Fermé', 'Mer': ' Fermé', 'Jeu': 'Fermé', 'Ven': 'Fermé', 'Sam': 'Fermé', 'Dim': 'Fermé'}}",,93400,,,https://o-tacos.com/nos-restos
6 rue Francois Couperin,Otacos,VOISINS,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.755188000000000000,2.060695600000000000,VOISINS LE BRETONNEUX COUPERIN,"{'opening_hours': {'Lun': 'Fermé ', 'Mar': 'Fermé', 'Mer': ' Fermé', 'Jeu': 'Fermé', 'Ven': 'Fermé', 'Sam': 'Fermé', 'Dim': 'Fermé'}}",,78960,,,https://o-tacos.com/nos-restos
12 rue du Faubourg Saint Nicolas,Otacos,MEAUX,France,"{'brand': 'otacos', 'fascia': 'otacos', 'category': 'Restaurant', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.958504900000000000,2.885366200000000000,MEAUX SAINT NICOLAS,"{'opening_hours': {'Lun': '11:00 - 23:00', 'Mar': '11:00 - 23:00', 'Mer': '11:00 - 23:00', 'Jeu': '11:00 - 23:00', 'Ven': '11:00 - 23:00', 'Sam': '11:00 - 23:00', 'Dim': '11:30 - 23:00'}}",,77100,,,https://o-tacos.com/nos-restos
