addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Rue Silas Goulet,Subway,Lievin,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",50.422856,2.780352,Subway Lievin,"{'opening_hour': {'Mon': '08:30:00-22:30:00', 'Tue': '08:30:00-22:30:00', 'Wed': '08:30:00-22:30:00', 'Thur': '08:30:00-22:30:00', 'Fri': '08:30:00-22:30:00', 'Sat': '08:30:00-22:30:00', 'Sun': '09:30:00-22:30:00'}}",961634090,,1547,,https://subwayfrance.fr/restaurants/Subway Lievin
C.Cial Lens 2 Zone Pop'A,Subway,Vendin Le Vieil,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",50.475578,2.866073,Subway Vendin,"{'opening_hour': {'Mon': '08:00:00-22:00:00', 'Tue': '08:00:00-22:00:00', 'Wed': '08:00:00-22:00:00', 'Thur': '08:00:00-22:00:00', 'Fri': '08:00:00-22:30:00', 'Sat': '08:00:00-22:30:00', 'Sun': '09:00:00-22:00:00'}}",321420469,,1548,,https://subwayfrance.fr/restaurants/Subway Vendin
Quai de Bacalan Hangar 17,Subway,Bordeaux,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",44.85978,-0.554991,Subway Quai des Marques,"{'opening_hour': {'Mon': '09:30:00-22:00:00', 'Tue': '09:30:00-22:00:00', 'Wed': '09:30:00-22:00:00', 'Thur': '09:30:00-22:30:00', 'Fri': '09:30:00-22:30:00', 'Sat': '09:30:00-22:30:00', 'Sun': '09:30:00-22:30:00'}}",557104061,,1549,,https://subwayfrance.fr/restaurants/Subway Quai des Marques
Lieu-dit Les Patrottières,Subway,Bressuire,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",46.847309,-0.471253,Subway DS Bressuire,"{'opening_hour': {'Mon': '09:00:00-22:00:00', 'Tue': '09:00:00-22:00:00', 'Wed': '09:00:00-22:00:00', 'Thur': '09:00:00-22:00:00', 'Fri': '09:00:00-23:00:00', 'Sat': '09:00:00-23:00:00', 'Sun': 'None-None'}}",,,1573,,https://subwayfrance.fr/restaurants/Subway DS Bressuire
10 rue de la Couronne,Subway,Aix-En-Provence,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",43.527566,5.446122,Aix-en-Provence,"{'opening_hour': {'Mon': '10:00:00-22:00:00', 'Tue': '10:00:00-22:00:00', 'Wed': '10:00:00-22:00:00', 'Thur': '10:00:00-22:00:00', 'Fri': '10:00:00-22:30:00', 'Sat': '10:00:00-22:30:00', 'Sun': '10:00:00-22:00:00'}}",442906855,,1595,,https://subwayfrance.fr/restaurants/Aix-en-Provence
16 rue Albert 1ER,Subway,Ales,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",44.125687,4.078701,Ales,"{'opening_hour': {'Mon': '11:00:00-22:30:00', 'Tue': '11:00:00-22:30:00', 'Wed': '11:00:00-22:30:00', 'Thur': '11:00:00-22:30:00', 'Fri': '11:00:00-22:30:00', 'Sat': '11:00:00-22:30:00', 'Sun': '11:00:00-22:30:00'}}",983382094,,1596,,https://subwayfrance.fr/restaurants/Ales
11-13 Boulevard Wilson,Subway,Antibes,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",43.5787,7.119892,Antibes,"{'opening_hour': {'Mon': '08:00:00-22:00:00', 'Tue': '08:00:00-22:00:00', 'Wed': '08:00:00-22:00:00', 'Thur': '08:00:00-22:00:00', 'Fri': '08:00:00-22:00:00', 'Sat': '08:00:00-22:00:00', 'Sun': '11:00:00-22:00:00'}}",493342935,,1607,,https://subwayfrance.fr/restaurants/Antibes
14 avenue de Villiers,Subway,Paris,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",48.881978,2.314322,Paris Villiers satelitte,"{'opening_hour': {'Mon': 'None-None', 'Tue': 'None-None', 'Wed': 'None-None', 'Thur': 'None-None', 'Fri': 'None-None', 'Sat': 'None-None', 'Sun': 'None-None'}}",0986637662,,1608,,https://subwayfrance.fr/restaurants/Paris Villiers satelitte
1 Rue Du Zephyr,Subway,Villejust,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",48.68468,2.221003,Villejust,"{'opening_hour': {'Mon': '08:00:00-23:59:00', 'Tue': '08:00:00-23:59:00', 'Wed': '08:00:00-23:59:00', 'Thur': '08:00:00-23:59:00', 'Fri': '08:00:00-23:59:00', 'Sat': '08:00:00-23:59:00', 'Sun': '08:00:00-23:59:00'}}",160127021,,1609,,https://subwayfrance.fr/restaurants/Villejust
Centre Commercial Cap Sud,Subway,Avignon,France,"{'brand': 'Subway', 'fascia': 'Subway', 'category': 'Restaurant', 'edit_date': '2025-03-17', 'lat_lon_source': 'website'}",43.928544,4.837484,Avignon Cap Sud,"{'opening_hour': {'Mon': '09:30:00-19:00:00', 'Tue': '09:30:00-19:00:00', 'Wed': '09:30:00-19:00:00', 'Thur': '09:30:00-19:00:00', 'Fri': '09:30:00-19:00:00', 'Sat': '09:30:00-19:00:00', 'Sun': 'None-None'}}",977837993,,1610,,https://subwayfrance.fr/restaurants/Avignon Cap Sud
