addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
5 rue Roger Béteille,Sushi Gourmet,Blagnac,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sushi-gourmet', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",43.6596886,1.3577033,SUSHI GOURMET ELIOR AIRBUS STAR,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,31700,13518,,https://sushigourmet.eu/ou-nous-trouver/
"1, rue Yvonne FOINANT",Sushi Gourmet,Malzéville,France,"{'brand': 'Sushi Gourmet', 'fascia': 'market', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",48.715883,6.175116,SUSHI MARKET MALZEVILLE,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,54220,13510,,https://sushigourmet.eu/ou-nous-trouver/
RUE DES PRES  CENTRE COMMERCIAL INTERMARCHE,Sushi Gourmet,SAINT MARCEL (périphérie de Vernon),France,"{'brand': 'Sushi Gourmet', 'fascia': 'market', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",49.1028756,1.4527672,SUSHI MARKET SAINT MARCEL VERNON,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,27950,13509,,https://sushigourmet.eu/ou-nous-trouver/
111/113 Rue Jean Jaurès,Sushi Gourmet,Puteaux,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sushi-gourmet', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",48.8815867,2.2389846,SUSHI GOURMET PUTEAUX MONOP,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,92800,13474,,https://sushigourmet.eu/ou-nous-trouver/
28 Rue de Rennes,Sushi Gourmet,Saint Aubin du cormier,France,"{'brand': 'Sushi Gourmet', 'fascia': 'izakaya', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",48.25926279999999,-1.4103484,IZAKAYA SAINT AUBIN DU CORMIER,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,35140,13469,,https://sushigourmet.eu/ou-nous-trouver/
"Zac Du, Route de Jargeau, All. du Bois Vert,",Sushi Gourmet,Sandillon,France,"{'brand': 'Sushi Gourmet', 'fascia': 'market', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",47.85032,2.0454029,SUSHI MARKET SANDILLON,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,45640,13466,,https://sushigourmet.eu/ou-nous-trouver/
68 Av. Debourg,Sushi Gourmet,Lyon,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sky-kitchens', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",45.7312668,4.831036699999999,SKY KITCHENS SKY KITCHENS CASINO LYON,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,69007,13460,,https://sushigourmet.eu/ou-nous-trouver/
Bd André Bouloche,Sushi Gourmet,Saint-Priest,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sushi-gourmet', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",45.7194716,4.9274778,SUSHI GOURMET CAROT SAINT PRIEST,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,69800,13459,,https://sushigourmet.eu/ou-nous-trouver/
"57 Bd Cote Blatin,",Sushi Gourmet,Clermont-Ferrand,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sushi-gourmet', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",45.7682858,3.0901994,SUSHI GOURMET BLATIN,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,63000,13457,,https://sushigourmet.eu/ou-nous-trouver/
Avenue De La Mare Aux Daims Bp 82 Zac Du Madrillet,Sushi Gourmet,Saint Etienne Du Rouvray Cedex,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sky-kitchens', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",49.3884239,1.0712732,SKY KITCHENS SKY KITCHENS LECLERC SAINT ETIENNE DU ROUVRAY,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,76803,13454,,https://sushigourmet.eu/ou-nous-trouver/
Av. de Bretagne,Sushi Gourmet,Rouen,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sky-kitchens', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",49.4320559,1.0835601,SKY KITCHENS SKY KITCHENS LECLERC ROUEN,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,76100,13453,,https://sushigourmet.eu/ou-nous-trouver/
"67 Boulevard de l'Europe,",Sushi Gourmet,Obernai,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sky-kitchens', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",48.468777,7.4957892,SKY KITCHENS SKY KITCHENS LECLERC OBERNAI,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,67210,13452,,https://sushigourmet.eu/ou-nous-trouver/
Route De Louviers Bp 118,Sushi Gourmet,Le Neubourg,France,"{'brand': 'Sushi Gourmet', 'fascia': 'sky-kitchens', 'category': 'Food & Beverages', 'edit_date': '2025-03-21', 'lat_lon_source': 'website'}",49.1473049,0.9195765,SKY KITCHENS SKY KITCHENS LECLERC NEUBOURG,"{'opening_hours': {'mon': '9:00:19:00', 'tue': '9:00:19:00', 'wed': '9:00:19:00', 'thu': '9:00:19:00', 'fri': '9:00:19:00', 'sat': '9:00:19:00', 'sun': ':'}}",,27110,13451,,https://sushigourmet.eu/ou-nous-trouver/
