addr_full,city,country,brand,extras,latitude,longitude,opening_hours,phone,ref,postcode,name,state,website
"Strengerstraße 11, 33330 Gütersloh",Gütersloh,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.9080411,8.380524,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '09:00-00:00'}}",05241 16 877,9990,33330,ALEX Gütersloh,,https://www.dein-alex.de/Gütersloh
"Mühlenplatz 1, 42651 Solingen",Solingen,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.174034,7.0825424,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0212 22 11 570,1180,42651,ALEX Solingen,,https://www.dein-alex.de/Solingen
"Neupfarrplatz 6a, 93047 Regensburg",Regensburg,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.0188161,12.0941807,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-01:00', 'Sat': '08:00-01:00', 'Sun': '09:00-00:00'}}",0941 58 40 60,1400,93047,ALEX Regensburg,,https://www.dein-alex.de/Regensburg
"Sraße Hausnummer, 99999 Stuttgart",Stuttgart,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '11:30-23:00', 'Tue': '11:30-23:00', 'Wed': '11:30-23:00', 'Thu': '11:30-23:00', 'Fri': '11:30-23:00', 'Sat': '11:30-23:00', 'Sun': '17:00-23:00'}}",,6020,99999,Miller & Carter Stuttgart,,https://www.dein-alex.de/Stuttgart
"Jungfernstieg 54, 20354 Hamburg",Hamburg,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.5540731,9.9897832,"{'opening_hours': {'Mon': '08:00-01:00', 'Tue': '08:00-01:00', 'Wed': '08:00-01:00', 'Thu': '08:00-01:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '09:00-01:00'}}",040 35 01 870,1320,20354,ALEX Hamburg im Alsterpavillon,,https://www.dein-alex.de/Hamburg
"""The Squaire "" 17, 60549 Frankfurt am Main",Frankfurt am Main,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.052721,8.5666896,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-22:00', 'Sat': '09:00-22:00', 'Sun': '09:00-22:00'}}",069 638 095 40,1520,60549,ALEX Frankfurt THE SQUAIRE,,https://www.dein-alex.de/Frankfurt am Main
"Ostenhellweg 18-21, 44135 Dortmund",Dortmund,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.5147569,7.4668489,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-02:00', 'Sat': '09:00-02:00', 'Sun': '09:00-00:00'}}",0231 58 97 850,1050,44135,ALEX Dortmund,,https://www.dein-alex.de/Dortmund
"Nikolaiort 1-2, 49074 Osnabrück",Osnabrück,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.2760263,8.042866,"{'opening_hours': {'Mon': '08:30-23:00', 'Tue': '08:30-23:00', 'Wed': '08:30-23:00', 'Thu': '08:30-23:00', 'Fri': '08:30-01:00', 'Sat': '08:30-01:00', 'Sun': '09:00-22:00'}}",0541 97 05 03 70,1570,49074,ALEX Osnabrück,,https://www.dein-alex.de/Osnabrück
"Schloßstraße 7-9, 01067 Dresden",Dresden,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.0514406,13.7350039,"{'opening_hours': {'Mon': '08:00-01:00', 'Tue': '08:00-01:00', 'Wed': '08:00-01:00', 'Thu': '08:00-01:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '09:00-01:00'}}",0351-40763260,1590,01067,ALEX Dresden am Schloss,,https://www.dein-alex.de/Dresden
"AG-Weser-Straße 3, 28237 Bremen",Bremen,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.1111774,8.7460297,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-23:00', 'Sat': '09:00-23:00', 'Sun': '09:00-21:00'}}",0421 380 35 50,1480,28237,ALEX Bremen Waterfront,,https://www.dein-alex.de/Bremen
