addr_full,city,country,brand,extras,lat,lon,ref,opening_hours,postcode,name,state,phone,website
": Luise-Straus-Ernst-Straße 4, 50679 Köln",Cologne MesseCity,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",50.9413001,6.977681400000001,50.9413001-6.977681400000001,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00'}}",,ASH Cologne MesseCity,,: 0221 71598959,https://www.the-ash.com/en/restaurants
": Main-Taunus-Zentrum 1, 65843 Sulzbach (Taunus)",Main Taunus Zentrum,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",50.1125972,8.6678484,50.1125972-8.6678484,"{'opening_hours': {'Mon': '10:00 - 23:00', 'Tue': '10:00 - 23:00', 'Wed': '10:00 - 23:00', 'Thu': '10:00 - 23:00', 'Fri': '10:00 - 00:00', 'Sat': '09:00 - 00:00', 'Sun': '09:00 - 22:30'}}",,ASH Main Taunus Zentrum,,:,https://www.the-ash.com/en/restaurants
": Brammenring 115, 46047 Oberhausen",Oberhausen,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",51.4900471,6.8869386,51.4900471-6.8869386,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '09:00 - 22:30'}}",,ASH Oberhausen,,: 0208 98992599,https://www.the-ash.com/en/restaurants
": Luxemburger Str. 1, 53842 Troisdorf",Troisdorf,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",50.8192889,7.114767899999999,50.8192889-7.114767899999999,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '09:00 - 22:30'}}",,ASH Troisdorf,,: 02241 8782544,https://www.the-ash.com/en/restaurants
": Leopoldstraße 9, 80802 München",Munich,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",48.1520338,11.5816021,48.1520338-11.5816021,"{'opening_hours': {'Fri': '12:00 - 23:00', 'Sat': '11:00 - 23:00', 'Sun': '09:00 - 22:00'}}",,ASH Munich,,: 089 244175141,https://www.the-ash.com/en/restaurants
"Avenue Du Rock’n’Roll 10, L-4361 Esch-Sur-Alzette",Luxembourg,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",48.1520338,11.5816021,48.1520338-11.5816021,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '10:00 - 22:30'}}",,ASH Luxembourg,,: +352 28 99 81 90,https://www.the-ash.com/en/restaurants
": Trauttmansdorffstraße 56, 48153 Münster",Munster,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",50.1125972,8.6678484,50.1125972-8.6678484,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '09:00 - 22:30'}}",,ASH Munster,,: 0251 20804848,https://www.the-ash.com/en/restaurants
": Mainzer Landstraße 1, 60325 Frankfurt am Main",Frankfurt,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",50.1125972,8.6678484,50.1125972-8.6678484,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '09:00 - 22:30'}}",,ASH Frankfurt,,: 069 153293292,https://www.the-ash.com/en/restaurants
"Kaiserswerther Str. 215, 40474 Düsseldorf",Dusseldorf,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",51.2490871,6.7667978,51.2490871-6.7667978,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '11:30 - 22:30'}}",,ASH Dusseldorf,,: 0211 97264121,https://www.the-ash.com/en/restaurants
": Hahnenstraße 37, 50667 Cologne",Cologne Hahnenstraße,Germany,ASH,"{'brand': 'ASH', 'fascia': 'ASH', 'category': 'Food & Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third-party'}",50.93556,6.9431876,50.93556-6.9431876,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '11:30 - 22:30'}}",,ASH Cologne Hahnenstraße,,: 0221 60608999,https://www.the-ash.com/en/restaurants
