addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Friedberger Str. 125,Pizza Avanti,Augsburg,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.355174500000004,10.943754191937398,Avanti Augsburg,"{'opening_hours': {'Mon': '13:45 - 22:30', 'Tue': '13:45 - 22:30', 'Wed': '13:45 - 22:30', 'Thur': '13:45 - 22:30', 'Fri': '13:45 - 22:30', 'Sat': '13:45 - 22:30', 'Sun': '13:00 - 22:30'}}",,86163,48.355174500000004-10.943754191937398,,https://www.avanti.de/augsburg/
Alte Römerstraße 3,Pizza Avanti,Dachau,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.2567952,11.469816674294432,Avanti Dachau,"{'opening_hours': {'Mon': '10:45 - 00:45', 'Tue': '10:45 - 00:45', 'Wed': '10:45 - 00:45', 'Thur': '10:45 - 00:45', 'Fri': '10:45 - 00:45', 'Sat': '10:45 - 00:45', 'Sun': '10:45 - 00:45'}}",,85221,48.2567952-11.469816674294432,,https://www.avanti.de/dachau/
Am Nordbahnhof 3,Pizza Avanti,Ingolstadt,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.7727931,11.432028909523808,Avanti Ingolstadt,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,85049,48.7727931-11.432028909523808,,https://www.avanti.de/ingolstadt/
Franz-Nißl-Straße 16,Pizza Avanti,MünchenAllach,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.19052,11.463783356134643,Avanti MünchenAllach,"{'opening_hours': {'Mon': '16:45 - 22:45', 'Tue': '16:45 - 22:45', 'Wed': '17:00 - 22:45', 'Thur': '10:00 - 13:45', 'Fri': '10:00 - 13:45', 'Sat': '11:00 - 22:45', 'Sun': '11:00 - 22:45'}}",,80999,48.19052-11.463783356134643,,https://www.avanti.de/muenchen-allach/
Walter-Sedlmayr-Platz 11,Pizza Avanti,MünchenFeldmoching,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.21343985,11.53967470081799,Avanti MünchenFeldmoching,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,80995,48.21343985-11.53967470081799,,https://www.avanti.de/muenchen-feldmoching/
Burmesterstraße 6a,Pizza Avanti,MünchenFreimann,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.2005595,11.612578647899536,Avanti MünchenFreimann,"{'opening_hours': {'Mon': '11:00 - 23:00', 'Tue': '11:00 - 23:00', 'Wed': '11:00 - 23:00', 'Thur': '11:00 - 23:00', 'Fri': '11:00 - 23:00', 'Sat': '11:00 - 23:00', 'Sun': '11:00 - 23:00'}}",,80939,48.2005595-11.612578647899536,,https://www.avanti.de/muenchen-freimann/
Baldestraße 16,Pizza Avanti,MünchenGiesing,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.123993999999996,11.566741654256393,Avanti MünchenGiesing,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 23:45', 'Sun': '10:45 - 23:45'}}",,80469,48.123993999999996-11.566741654256393,,https://www.avanti.de/muenchen-giesing/
Elsenheimerstraße 6,Pizza Avanti,MünchenLaim,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.140465,11.5182663,Avanti MünchenLaim,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,80687,48.140465-11.5182663,,https://www.avanti.de/muenchen-laim/
Bunzlauer Straße 12,Pizza Avanti,MünchenMoosach,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.1803002,11.5076397,Avanti MünchenMoosach,"{'opening_hours': {'Mon': '11:00 - 22:30', 'Tue': '11:00 - 22:30', 'Wed': '11:00 - 22:30', 'Thur': '11:00 - 22:30', 'Fri': '11:00 - 22:30', 'Sat': '11:00 - 22:30', 'Sun': '11:00 - 22:30'}}",,80992,48.1803002-11.5076397,,https://www.avanti.de/muenchen-moosach/
Planegger Str. 27,Pizza Avanti,MünchenPasing,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.14365135,11.458220049999998,Avanti MünchenPasing,"{'opening_hours': {'Mon': '11:00 - 22:45', 'Tue': '11:00 - 22:45', 'Wed': '11:00 - 22:45', 'Thur': '11:00 - 22:45', 'Fri': '11:00 - 22:45', 'Sat': '11:00 - 22:45', 'Sun': '11:00 - 22:45'}}",,81241,48.14365135-11.458220049999998,,https://www.avanti.de/Pasing/
Therese-Giehse-Allee 26,Pizza Avanti,MünchenPerlach,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.0944094,11.6421034,Avanti MünchenPerlach,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,81739,48.0944094-11.6421034,,https://www.avanti.de/muenchen-perlach/
Schleißheimer Straße 253,Pizza Avanti,MünchenSchwabing-Nord,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.17796375,11.56717543245304,Avanti MünchenSchwabing-Nord,"{'opening_hours': {'Mon': '11:00 - 23:00', 'Tue': '11:00 - 23:00', 'Wed': '11:00 - 23:00', 'Thur': '11:00 - 23:00', 'Fri': '11:00 - 23:00', 'Sat': '11:00 - 23:00', 'Sun': '11:00 - 23:00'}}",,80809,48.17796375-11.56717543245304,,https://www.avanti.de/muenchen-schwabingnord/
Gabelsbergerstr. 60,Pizza Avanti,MünchenSchwabing-Süd,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.149765,11.5606683,Avanti MünchenSchwabing-Süd,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,80333,48.149765-11.5606683,,https://www.avanti.de/muenchen-schwabingsued/
Passauerstraße 56,Pizza Avanti,MünchenSendling,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.111223,11.5337702,Avanti MünchenSendling,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,81369,48.111223-11.5337702,,https://www.avanti.de/muenchen-sendling/
Truderinger Straße 274,Pizza Avanti,MünchenTrudering,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.124278950000004,11.665511255534337,Avanti MünchenTrudering,"{'opening_hours': {'Mon': '16:45 - 22:45', 'Tue': '16:45 - 22:45', 'Wed': '16:45 - 22:45', 'Thur': '16:45 - 22:45', 'Fri': '16:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,81825,48.124278950000004-11.665511255534337,,https://www.avanti.de/muenchen-trudering/
Forstenrieder Str. 8-14,Pizza Avanti,Neuried,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.09028497095564,11.471856566457834,Avanti Neuried,"{'opening_hours': {'Mon': '10:45 - 22:45', 'Tue': '10:45 - 22:45', 'Wed': '10:45 - 22:45', 'Thur': '10:45 - 22:45', 'Fri': '10:45 - 22:45', 'Sat': '10:45 - 22:45', 'Sun': '10:45 - 22:45'}}",,82061,48.09028497095564-11.471856566457834,,https://www.avanti.de/neuried/
Köglweg 13,Pizza Avanti,Taufkirchen,Germany,"{'brand': 'Pizza Avanti', 'fascia': 'Pizza Avanti', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",48.046143,11.612495,Avanti Taufkirchen,"{'opening_hours': {'Mon': '11:00 - 22:30', 'Wed': '11:00 - 22:45', 'Thur': '11:00 - 22:45', 'Fri': '11:00 - 22:45', 'Sat': '11:00 - 22:45', 'Sun': '11:00 - 22:45'}}",,82024,48.046143-11.612495,,https://www.avanti.de/unterhaching/
