addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Amalinda Square, Shops 6 - 7 Corner Kelly & Amalinda Main Road",Debonairs Pizza,Amalinda,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-32.99301963347196,27.86795170129092,Debonairs Pizza East London Amalinda,"{'opening_hours': {'Mon': '08:30 - 20:30', 'Tue': '08:30 - 20:30', 'Wed': '08:30 - 20:30', 'Thu': '08:30 - 20:30', 'Fri': '08:30 - 20:30', 'Sat': '08:30 - 20:30', 'Sun': '08:30 - 20:30'}}","043 741 1318,043 741 1331",5252,-32.99301963347196-27.86795170129092,,https://location.debonairspizza.co.za/east-london-amalinda
"Dutywa Mall, Shop 17 123 Richardson Road",Debonairs Pizza,Dutywa,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-32.09993285566318,28.3029573258876,Debonairs Pizza Idutywa,"{'opening_hours': {'Mon': '09:00 - 18:00', 'Tue': '09:00 - 18:00', 'Wed': '09:00 - 18:00', 'Thu': '09:00 - 18:00', 'Fri': '09:00 - 18:00', 'Sat': '09:00 - 18:00', 'Sun': '09:00 - 17:00'}}",047 489 1181,5000,-32.09993285566318-28.3029573258876,,https://location.debonairspizza.co.za/idutywa
The Grove Plaza Shopping Centre 50 Campbell Street,Debonairs Pizza,Fort Beaufort,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-32.7786824,26.6302313,Debonairs Pizza Fort Beaufort,"{'opening_hours': {'Mon': '09:00 - 21:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '10:00 - 22:00', 'Sat': '10:00 - 22:00', 'Sun': '10:00 - 21:00'}}",046 880 0124,5720,-32.7786824-26.6302313,,https://location.debonairspizza.co.za/fort-beaufort
1 Bridge Street,Debonairs Pizza,Dikeni,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-32.7881234,26.8391635,Debonairs Pizza Alice,"{'opening_hours': {'Mon': '10:00 - 20:30', 'Tue': '10:00 - 20:30', 'Wed': '10:00 - 20:30', 'Thu': '10:00 - 20:30', 'Fri': '10:00 - 20:30', 'Sat': '10:00 - 20:30', 'Sun': '10:00 - 20:30'}}","040 940 5040,087 095 2987",,-32.7881234-26.8391635,,https://location.debonairspizza.co.za/alice
7 Ja Calata Street,Debonairs Pizza,Cradock,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-32.1657583254475,25.615702734358607,Debonairs Pizza Cradock,"{'opening_hours': {'Mon': '10:00 - 21:00', 'Tue': '10:00 - 21:00', 'Wed': '10:00 - 21:00', 'Thu': '10:00 - 21:00', 'Fri': '10:00 - 21:00', 'Sat': '10:00 - 21:00', 'Sun': '10:00 - 21:00'}}",048 940 0466,,-32.1657583254475-25.615702734358607,,https://location.debonairspizza.co.za/cradock
TotalEnergies Despatch 78 Botha Street,Debonairs Pizza,Despatch,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-33.7998080814463,25.44453293126546,Debonairs Pizza Top Up Despatch,"{'opening_hours': {'Mon': '10:00 - 21:00', 'Tue': '10:00 - 21:00', 'Wed': '10:00 - 21:00', 'Thu': '10:00 - 21:00', 'Fri': '10:00 - 22:00', 'Sat': '10:00 - 22:00', 'Sun': '10:00 - 21:00'}}","041 450 7293,041 450 7293",6220,-33.7998080814463-25.44453293126546,,https://location.debonairspizza.co.za/top-up-despatch
"Mount Fletcher Square, Shop 2 Main Street",Debonairs Pizza,Mount Fletcher,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-30.690893936517842,28.50498799629518,Debonairs Pizza Mount Fletcher Express,"{'opening_hours': {'Mon': '08:00 - 19:00', 'Tue': '08:00 - 19:00', 'Wed': '08:00 - 19:00', 'Thu': '08:00 - 19:00', 'Fri': '08:00 - 19:00', 'Sat': '08:00 - 18:00', 'Sun': '08:00 - 18:00'}}",039 880 0299,4770,-30.690893936517842-28.50498799629518,,https://location.debonairspizza.co.za/mount-fletcher-express
3 R396,Debonairs Pizza,Tsolo,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-31.309057612808754,28.754499284412976,Debonairs Pizza Tsolo,"{'opening_hours': {'Mon': '08:00 - 21:00', 'Tue': '08:00 - 21:00', 'Wed': '08:00 - 21:00', 'Thu': '08:00 - 21:00', 'Fri': '08:00 - 21:00', 'Sat': '08:00 - 21:00', 'Sun': '08:00 - 21:00'}}","047 050 1041,078 490 7020",,-31.309057612808754-28.754499284412976,,https://location.debonairspizza.co.za/tsolo
84 Market Street Central,Debonairs Pizza,Uitenhage,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-33.76964311417902,25.399135684919706,Debonairs Pizza Kariega Market Street,"{'opening_hours': {'Mon': '09:00 - 21:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 21:00'}}",041 992 3001,6230,-33.76964311417902-25.399135684919706,,https://location.debonairspizza.co.za/kariega-market-street
"Lady Frere Shoprite Centre, Shop 4 Indwe Street",Debonairs Pizza,Chachu,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'website'}",-31.700891513746754,27.233525574756705,Debonairs Pizza Lady Frere,"{'opening_hours': {'Mon': '09:00 - 19:00', 'Tue': '09:00 - 19:00', 'Wed': '09:00 - 19:00', 'Thu': '09:00 - 19:00', 'Fri': '09:00 - 19:00', 'Sat': '09:00 - 19:00', 'Sun': '09:30 - 16:30'}}","047 050 0944,063 546 8629",5410,-31.700891513746754-27.233525574756705,,https://location.debonairspizza.co.za/lady-frere
