addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Maskam Mall, Shop 25 Church Street",Debonairs Pizza,Vredendal,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-31.67406201053113,18.507950470999884,Debonairs Pizza Vredendal,"{'opening_hours': {'MON': '1000 - 2000', 'TUE': '1000 - 2000', 'WED': '1000 - 2100', 'THU': '1000 - 2000', 'FRI': '1000 - 2100', 'SAT': '1000 - 2100', 'SUN': '1000 - 2000'}}","027 213 1271,027 213 1194",8160,-31.67--31.67,,https://location.debonairspizza.co.za/vredendal
Atrium Centre Corner Main and Unie Road,Debonairs Pizza,Vredenburg,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-32.90594520079426,17.99151200128069,Debonairs Pizza Vredenburg,"{'opening_hours': {'MON': '1000 - 2100', 'TUE': '1000 - 2100', 'WED': '900 - 2100', 'THU': '1000 - 2100', 'FRI': '900 - 2100', 'SAT': '900 - 2100', 'SUN': '1000 - 2000'}}","022 713 1060,022 713 1064",7380,-32.91--32.91,,https://location.debonairspizza.co.za/vredenburg
6 Main Road,Debonairs Pizza,Tokai,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-34.06560742248245,18.45849571264346,Debonairs Pizza Tokai,"{'opening_hours': {'MON': '1030 - 2115', 'TUE': '1030 - 2115', 'WED': '1030 - 2115', 'THU': '1030 - 2115', 'FRI': '1000 - 2215', 'SAT': '1000 - 2215', 'SUN': '1030 - 2115'}}","021 712 7776,021 712 7773",,-34.07--34.07,,https://location.debonairspizza.co.za/tokai
"Swellenmark Shopping Centre, Shop 16A 34 Voortrek Street",Debonairs Pizza,Swellendam,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-34.019301498904895,20.446052343353145,Debonairs Pizza Swellendam,"{'opening_hours': {'MON': '1030 - 2100', 'TUE': '1030 - 2100', 'WED': '1100 - 2100', 'THU': '1030 - 2100', 'FRI': '1030 - 2100', 'SAT': '1030 - 2100', 'SUN': '1030 - 2100'}}",028 050 0112,6740,-34.02--34.02,,https://location.debonairspizza.co.za/swellendam
"London House, Shop 2 128 Main Road",Debonairs Pizza,Sea Point,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-33.9132454244027,18.39173768609207,Debonairs Pizza Sea Point,"{'opening_hours': {'MON': '900 - 2100', 'TUE': '900 - 2100', 'WED': '900 - 2100', 'THU': '900 - 2100', 'FRI': '900 - 2100', 'SAT': '900 - 2100', 'SUN': '900 - 2100'}}","021 439 7575,078 435 8205",7137,-33.91--33.91,,https://location.debonairspizza.co.za/sea-point
Corner High and Riebeek Road,Debonairs Pizza,Worcester,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-33.64107453201728,19.450832023278796,Debonairs Pizza Worcester,"{'opening_hours': {'MON': '1000 - 2100', 'TUE': '1000 - 2100', 'WED': '1000 - 2100', 'THU': '1000 - 2100', 'FRI': '1000 - 2200', 'SAT': '1000 - 2200', 'SUN': '1000 - 2100'}}",023 347 1377,,-33.64--33.64,,https://location.debonairspizza.co.za/worcester
62 Church Street,Debonairs Pizza,Wellington,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-33.6386038,19.0115527,Debonairs Pizza Wellington,"{'opening_hours': {'MON': '900 - 2130', 'TUE': '900 - 2130', 'WED': '900 - 2130', 'THU': '900 - 2130', 'FRI': '900 - 2230', 'SAT': '900 - 2230', 'SUN': '900 - 2130'}}","021 873 7451,021 873 3838",,-33.64--33.64,,https://location.debonairspizza.co.za/wellington
"Atlantis City Mall, Shop LS66 Wesfleur Circle",Debonairs Pizza,Wesfleur Avondale,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-33.56326368675738,18.49228908918887,Debonairs Pizza Atlantis,"{'opening_hours': {'MON': '900 - 1800', 'TUE': '900 - 1800', 'WED': '900 - 1800', 'THU': '900 - 1800', 'FRI': '900 - 1800', 'SAT': '900 - 1800', 'SUN': '900 - 1500'}}",021 572 4333,7349,-33.56--33.56,,https://location.debonairspizza.co.za/atlantis
"Thaba Nchu Shopping Centre,Shop 6 Corner Main and End Street",Debonairs Pizza,Thaba Nchu,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-29.2148874,26.8407703,Debonairs Pizza Thaba Nchu,"{'opening_hours': {'MON': 'None - None', 'TUE': 'None - None', 'WED': 'None - None', 'THU': 'None - None', 'FRI': 'None - None', 'SAT': 'None - None', 'SUN': 'None - None'}}",051 492 3946,9780,-29.21--29.21,,https://location.debonairspizza.co.za/thaba-nchu
47 Park Crescent,Debonairs Pizza,Virginia,South Africa,"{'brand': 'Debonairs Pizza', 'fascia': 'Debonairs Pizza', 'category': 'Food and Beverage', 'edit_date': '2025-03-24', 'lat_lon_source': 'website'}",-28.103549639113083,26.862377896507486,Debonairs Pizza Virginia,"{'opening_hours': {'MON': '1000 - 1930', 'TUE': '1000 - 1930', 'WED': '1000 - 1930', 'THU': '1000 - 1930', 'FRI': '1000 - 1930', 'SAT': '1000 - 1930', 'SUN': '1000 - 1930'}}","057 212 9938,057 212 9938",,-28.1--28.1,,https://location.debonairspizza.co.za/virginia
