addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Hecklinger Straße 12b,Freddy Fresh,Aschersleben,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",51.7630758,11.4636084,Freddy Fresh Aschersleben,"{'opening_hours': {'Fri': '11:00 - 21:30 ', 'Sat': '11:00 - 21:30 ', 'Sun': '11:00 - 21:00 ', 'Mon': '11:00 - 21:00 ', 'Tue': '11:00 - 21:00 ', 'Wed': '11:00 - 21:00 ', 'Thu': '11:00 - 21:00 ', 'Feiertags:': '11:00 - 21:00 '}}",03473/9141939,06449,51.7630758-11.4636084,,https://www.freddy-fresh.de/aschersleben/
Rudolf-Breitscheid-Straße 7,Freddy Fresh,Aue,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",50.58692465,12.704818915560413,Freddy Fresh Aue,"{'opening_hours': {'Fri': '11:00 - 21:00 ', 'Sat': '11:00 - 21:00 ', 'Sun': '11:00 - 21:00 ', 'Mon': '11:00 - 21:00 ', 'Tue': '11:00 - 21:00 ', 'Wed': '11:00 - 21:00 ', 'Thu': '11:00 - 21:00 ', 'Feiertags:': '11:00 - 21:00 '}}",03771/4509999,08280,50.58692465-12.704818915560413,,https://www.freddy-fresh.de/aschersleben/
Herzog-Julius-Straße 2,Freddy Fresh,Bad,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",51.8869036,10.5559776,Freddy Fresh Bad Harzburg,"{'opening_hours': {'Fri': '11:00 - 21:00 ', 'Sat': '11:00 - 21:00 ', 'Sun': '11:00 - 21:00 ', 'Mon': '11:00 - 20:30 ', 'Tue': '11:00 - 20:30 ', 'Wed': '11:00 - 20:30 ', 'Thu': '11:00 - 20:30 ', 'Feiertags:': '11:00 - 21:00 '}}",05322/9503075,38667,51.8869036-10.5559776,,https://www.freddy-fresh.de/aschersleben/
Dresdener Straße 48,Freddy Fresh,Bautzen,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",51.1800817,14.4104034135377,Freddy Fresh Bautzen,"{'opening_hours': {'Fri': '11:00 - 22:00 ', 'Sat': '11:00 - 22:00 ', 'Sun': '11:00 - 21:30 ', 'Mon': '11:00 - 21:30 ', 'Tue': '11:00 - 21:30 ', 'Wed': '11:00 - 21:30 ', 'Thu': '11:00 - 21:30 ', 'Feiertags:': '11:00 - 21:30 '}}",03591/532210,02625,51.1800817-14.4104034135377,,https://www.freddy-fresh.de/aschersleben/
Neumannstraße 3c,Freddy Fresh,Berlin,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.5544468,13.4238763,Freddy Fresh Berlin-Prenzlauer Berg,"{'opening_hours': {'Fri': '11:00 - 22:00 ', 'Sat': '11:00 - 22:00 ', 'Sun': '11:00 - 22:00 ', 'Mon': '11:00 - 21:00 ', 'Tue': '11:00 - 21:00 ', 'Wed': '11:00 - 21:00 ', 'Thu': '11:00 - 21:00 ', 'Feiertags:': '11:00 - 22:00 '}}",030/91203820,13189,52.5544468-13.4238763,,https://www.freddy-fresh.de/aschersleben/
Bahnhofstraße 1a,Freddy Fresh,Bernburg,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",51.79601755,11.751137061361383,Freddy Fresh Bernburg,"{'opening_hours': {'Fri': '11:00 - 21:30 ', 'Sat': '11:00 - 21:30 ', 'Sun': '11:00 - 21:30 ', 'Mon': '11:00 - 21:30 ', 'Tue': '11:00 - 21:30 ', 'Wed': '11:00 - 21:30 ', 'Thu': '11:00 - 21:30 ', 'Feiertags:': '11:00 - 21:30 '}}",03471/6897900,06406,51.79601755-11.751137061361383,,https://www.freddy-fresh.de/aschersleben/
Burgstraße 32,Freddy Fresh,Bitterfeld,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",51.623454100000004,12.330955779310068,Freddy Fresh Bitterfeld,"{'opening_hours': {'Fri': '11:00 - 21:00 ', 'Sat': '11:00 - 21:00 ', 'Sun': '11:00 - 21:00 ', 'Mon': '11:00 - 21:00 ', 'Tue': '11:00 - 21:00 ', 'Wed': '11:00 - 21:00 ', 'Thu': '11:00 - 21:00 ', 'Feiertags:': '11:00 - 21:00 '}}",03493/6054080,06749,51.623454100000004-12.330955779310068,,https://www.freddy-fresh.de/aschersleben/
Harzblick 44,Freddy Fresh,Braunschweig,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.2297027,10.4835733,Freddy Fresh Braunschweig-Broitzem,"{'opening_hours': {'Fri': '11:00 - 23:00 ', 'Sat': '11:00 - 23:00 ', 'Sun': '11:00 - 23:00 ', 'Mon': '11:00 - 23:00 ', 'Tue': '11:00 - 23:00 ', 'Wed': '11:00 - 23:00 ', 'Thu': '11:00 - 23:00 ', 'Feiertags:': '11:00 - 23:00 '}}",0531/28508600,38122,52.2297027-10.4835733,,https://www.freddy-fresh.de/aschersleben/
Schöppenstedter Straße 43,Freddy Fresh,Braunschweig,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.2660623,10.529613506099412,Freddy Fresh Braunschweig-Innenstadt,"{'opening_hours': {'Fri': '11:00 - 23:30 ', 'Sat': '11:00 - 23:30 ', 'Sun': '11:00 - 23:00 ', 'Mon': '11:00 - 23:00 ', 'Tue': '11:00 - 23:00 ', 'Wed': '11:00 - 23:00 ', 'Thu': '11:00 - 23:00 ', 'Feiertags:': '11:00 - 23:00 '}}",0531/120610,38100,52.2660623-10.529613506099412,,https://www.freddy-fresh.de/aschersleben/
Lammer Busch 3c,Freddy Fresh,Braunschweig,Germany,"{'brand': 'Freddy Fresh', 'fascia': 'Freddy Fresh', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.2668037,10.44856760930098,Freddy Fresh Braunschweig-Lamme,"{'opening_hours': {'Fri': '11:00 - 22:00 ', 'Sat': '11:00 - 22:00 ', 'Sun': '11:00 - 22:00 ', 'Mon': '11:00 - 22:00 ', 'Tue': '11:00 - 22:00 ', 'Wed': '11:00 - 22:00 ', 'Thu': '11:00 - 22:00 ', 'Feiertags:': '11:00 - 22:00 '}}",0531/70202553,38116,52.2668037-10.44856760930098,,https://www.freddy-fresh.de/aschersleben/
