addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Sachsentor 2,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.4884553,10.21135433,Jim Block Bergedorf,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 40 721 24 25,21029,53.49-10.21,,https://www.jim-block.de/restaurants/bergedorf/
Kirchenallee 37,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.5546857,10.00858072,Jim Block Kirchenallee,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 40 18 06 79 55,20099,53.55-10.01,,https://www.jim-block.de/restaurants/kirchenallee/
Wandsbeker Marktstraße 97/99,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.5728343,10.0679459,Jim Block Wandsbek,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 40 68 28 22 40,22041,53.57-10.07,,https://www.jim-block.de/restaurants/wandsbek/
Budapester Straße 38-50,Jim-block,Berlin,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.50599985,13.33488949,Jim Block Bikini,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 30 26 39 39 05,10787,52.51-13.33,,https://www.jim-block.de/restaurants/bikini/
Fuhlsbüttler Straße 165,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.5931057,10.0439267,Jim Block Barmbek,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 -', 'sun': ' 11:30 - 22:00 '}}",+ 49 40 691 59 95,22307,53.59-10.04,,https://www.jim-block.de/restaurants/barmbek/
Georgstraße 35,Jim-block,Hannover,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.3742982,9.7391475,Jim Block Hannover,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 511 12 35 75 91,30159,52.37-9.74,,https://www.jim-block.de/restaurants/hannover/
Jungfernstieg 1-3,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.5522716,9.994176,Jim Block Jungfernstieg,"{'opening_hours': {'mon': ' 11:00 - 22:00 ', 'tue': ' 11:00 - 22:00 ', 'wed': ' 11:00 - 22:00 ', 'thur': ' 11:00 - 22:00 ', 'fri': ' 11:00 - 23:00 ', 'sat': ' 11:00 - 23:00 ', 'sun': ' 11:00 - 22:00 '}}",+ 49 40 30 38 22 17,20095,53.55-9.99,,https://www.jim-block.de/restaurants/jungfernstieg/
Statthalterplatz 5,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.55869465,9.887096227,Jim Block Othmarschen,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 40 85 40 05 11,22605,53.56-9.89,,https://www.jim-block.de/restaurants/othmarschen/
Tangstedter Landstraße 49 ,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.6489546,10.0159782,Jim Block Langenhorn,"{'opening_hours': {'mon': ' 11:30 - 22:00 ', 'tue': ' 11:30 - 22:00 ', 'wed': ' 11:30 - 22:00 ', 'thur': ' 11:30 - 22:00 ', 'fri': ' 11:30 - 23:00 ', 'sat': ' 11:30 - 23:00 ', 'sun': ' 11:30 - 22:00 '}}",+ 49 40 527 328 74,22415,53.65-10.02,,https://www.jim-block.de/restaurants/langenhorn/
Neue Große Bergstraße 18,Jim-block,Hamburg,Germany,"{'brand': 'Jim-block', 'fascia': 'Jim-block', 'category': 'Food and Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.5514009,9.9388719,Jim Block Altona,"{'opening_hours': {'mon': ' 11:30 - 21:00 ', 'tue': ' 11:30 - 21:00 ', 'wed': ' 11:30 - 21:00 ', 'thur': ' 11:30 - 21:00 ', 'fri': ' 11:30 - 22:00 ', 'sat': ' 11:30 - 22:00 ', 'sun': ' 11:30 - 21:00 '}}",+ 49 40 38 08 75 87,22767,53.55-9.94,,https://www.jim-block.de/restaurants/altona/
