addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Am Falbenholzweg 91126 Schwabach,JYSK,Schwabach,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",49.3200226,11.0526489,JYSK Schwabach,"{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 18:30', 'Wed': '10:00 - 18:30', 'Thu': '10:00 - 18:30', 'Fri': '10:00 - 18:30', 'Sat': '10:00 - 18:30'}}",+49 9122-631290,91126,1403,,/filialen/schwabach/am-falbenholzweg
Mühlenring Chauss 19243 Wittenburg,JYSK,Wittenburg,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",53.5025649,11.0901811,JYSK Wittenburg,"{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 18:00', 'Wed': '10:00 - 18:00', 'Thu': '10:00 - 18:00', 'Fri': '10:00 - 18:00', 'Sat': '10:00 - 18:00'}}",+49 38852-906850,19243,1645,,/filialen/wittenburg/muehlenring-chauss
Bürener Straße 59590 Geseke,JYSK,Geseke,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",51.6289782,8.5114207,JYSK Geseke,"{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 18:30', 'Wed': '10:00 - 18:30', 'Thu': '10:00 - 18:30', 'Fri': '10:00 - 18:30', 'Sat': '10:00 - 18:30'}}",+49 2942-9786580,59590,1660,,/filialen/geseke/buerener-strasse
Am Tischplatt 06567 Bad Frankenhausen,JYSK,Bad Frankenhausen,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",51.3579636,11.0846649,JYSK Bad Frankenhausen,"{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 18:30', 'Wed': '10:00 - 18:30', 'Thu': '10:00 - 18:30', 'Fri': '10:00 - 18:30', 'Sat': '10:00 - 18:30'}}",+49 34671-569890,06567,1881,,/filialen/bad-frankenhausen/am-tischplatt
Im Gewerbepark 15711 Königs Wusterhausen-Zeese,JYSK,Königs Wusterhausen-Zeese,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",52.2787839,13.6306724,JYSK Königs Wusterhausen,"{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 18:30', 'Wed': '10:00 - 18:30', 'Thu': '10:00 - 18:30', 'Fri': '10:00 - 18:30', 'Sat': '10:00 - 18:30'}}",+49 3375-9237570,15711,1882,,/filialen/koenigs-wusterhausen-zeese/im-gewerbepark
Clausewitzstraße 42389 Wuppertal,JYSK,Wuppertal,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",51.2823216,7.2545387,"JYSK Langerfeld-Beyenburg, Wuppertal","{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 19:00', 'Wed': '10:00 - 19:00', 'Thu': '10:00 - 19:00', 'Fri': '10:00 - 19:00', 'Sat': '10:00 - 19:00'}}",+49 202-76972850,42389,1641,,/filialen/wuppertal/clausewitzstrasse
An der Lusatia 03130 Spremberg,JYSK,Spremberg,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",51.5588883,14.3599987,JYSK Spremberg,"{'opening_hours': {'Sun': '09:30 - 16:00', 'Mon': '00:00 - 24:00', 'Tue': '10:00 - 18:30', 'Wed': '10:00 - 18:30', 'Thu': '10:00 - 18:30', 'Fri': '10:00 - 18:30', 'Sat': '10:00 - 18:30'}}",+49 3563-5939790,03130,1884,,/filialen/spremberg/der-lusatia
Langenhorner Chaussee 22415 Hamburg,JYSK,Hamburg,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",53.653989032835,10.005566776783,"JYSK Langenhorn, Hamburg","{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '10:00 - 19:00', 'Wed': '10:00 - 19:00', 'Thu': '10:00 - 19:00', 'Fri': '10:00 - 19:00', 'Sat': '10:00 - 19:00', 'Sun': '09:30 - 18:00'}}",+49 40-210311320,22415,2221,,/filialen/hamburg/langenhorner-chaussee
Riedingerstraße 95448 Bayreuth,JYSK,Bayreuth,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",49.959927,11.6018997,JYSK Bayreuth,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:30 - 19:00', 'Wed': '09:30 - 19:00', 'Thu': '09:30 - 19:00', 'Fri': '09:30 - 19:00', 'Sat': '09:30 - 19:00', 'Sun': '09:30 - 19:00'}}",+49 921-16597000,95448,2218,,/filialen/bayreuth/riedingerstrasse
Am Redder 22941 Bargteheide,JYSK,Bargteheide,Germany,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250504', 'lat_lon_source': 'Third Party'}",53.7210023,10.277064,JYSK Bargteheide,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '10:00 - 19:00', 'Wed': '10:00 - 19:00', 'Thu': '10:00 - 19:00', 'Fri': '10:00 - 19:00', 'Sat': '10:00 - 19:00', 'Sun': '09:30 - 18:00'}}",+49 4532-9763010,22941,2217,,/filialen/bargteheide/am-redder
