addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Gut-Dämme-Straße 1,Losteria,Aachen,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",50.79731219999999,6.107416527096768,L'OsteriaAachenGut-Dämme-Straße,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",+49 241 96979929,52070,50.79731219999999-6.107416527096768,,https://losteria.net/en/restaurants/restaurant/aachen-gut-daemme-strasse/
Friedrichstraße 142,Losteria,Berlin,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",52.5201373,13.387018893190604,L'OsteriaBerlinFriedrichstrasse,{'opening_hours': {}},,10117,52.5201373-13.387018893190604,,https://losteria.net/en/restaurants/restaurant/berlin-friedrichstrasse/
Franziskanergasse 5,Losteria,Amberg,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",49.4462458,11.855483903024691,L'OsteriaAmberg,"{'opening_hours': {'Mon': '11:30 - 22:00', 'Tue': '11:30 - 22:00', 'Wed': '11:30 - 22:00', 'Thu': '11:30 - 22:00', 'Sun': '11:30 - 22:00', 'Fri': '11:30 - 23:00', 'Sat': '11:30 - 23:00', 'Holiday': '11:30 - 22:00'}}",+49 9621 7884040,92224,49.4462458-11.855483903024691,,https://losteria.net/en/restaurants/restaurant/amberg/
Weißenburgerstraße 8,Losteria,Aschaffenburg,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",49.977346749999995,9.147421177456835,L'OsteriaAschaffenburg,"{'opening_hours': {'Mon': '12:00 - 22:00', 'Tue': '12:00 - 22:00', 'Wed': '12:00 - 22:00', 'Thu': '12:00 - 22:00', 'Sun': '12:00 - 22:00', 'Fri': '12:00 - 23:00', 'Sat': '12:00 - 23:00', 'Holiday': '12:00 - 22:00'}}",aschaffenburg.weissenburgerstrasse@losteria.de,63739,49.977346749999995-9.147421177456835,,https://losteria.net/en/restaurants/restaurant/aschaffenburg/
Albert-Schenavsky-Str. 2,Losteria,Augsburg,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",48.38191115,10.932147211545818,L'OsteriaAugsburgLechhausen,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 23:00', 'Sat': '11:30 - 23:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",+49 821 59967605,86165,48.38191115-10.932147211545818,,https://losteria.net/en/restaurants/restaurant/augsburg-lechhausen/
Maximilianstrasse 83,Losteria,Bayreuth,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",49.9441965,11.5711589,L'OsteriaBayreuth,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",+49 921 53041552,95444,49.9441965-11.5711589,,https://losteria.net/en/restaurants/restaurant/bayreuth/
Friedrichstraße 111,Losteria,Berlin,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",52.5253145,13.3885653,L'OsteriaBerlinAMTACHELES,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",berlin.amtacheles@losteria.de,10117,52.5253145-13.3885653,,https://losteria.net/en/restaurants/restaurant/berlin-am-tacheles/
Hilda-Geiringer-Weg 4,Losteria,Berlin,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",52.5268271,13.3724979,L'OsteriaBerlinHumboldthafen,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",+49 30 2067 95961,10557,52.5268271-13.3724979,,https://losteria.net/en/restaurants/restaurant/berlin-humboldthafen/
Alt Mahlsdorf 88,Losteria,Berlin,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",52.5036492,13.622051596334316,L'OsteriaBerlinMahlsdorf,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",+49 30 641613 60,12623,52.5036492-13.622051596334316,,https://losteria.net/en/restaurants/restaurant/berlin-mahlsdorf/
Savignyplatz 5,Losteria,Berlin,Germany,"{'brand': 'Losteria', 'fascia': 'Losteria', 'category': 'Food and Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third Party'}",52.5065041,13.3229365,L'OsteriaBerlinSavignyplatz,"{'opening_hours': {'Mon': '11:30 - 23:00', 'Tue': '11:30 - 23:00', 'Wed': '11:30 - 23:00', 'Thu': '11:30 - 23:00', 'Fri': '11:30 - 00:00', 'Sat': '11:30 - 00:00', 'Sun': '12:00 - 23:00', 'Holiday': '12:00 - 23:00'}}",+49 30 31806869,10623,52.5065041-13.3229365,,https://losteria.net/en/restaurants/restaurant/berlin-savignyplatz/
