addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Dr. Dürrwanger-Straße 60, 86156 Augsburg",Metro AG,Augsburg,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",48.38465,10.85727,METRO Augsburg,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-20:00'}}",082144030,86156,403,,https://www.metro.de/standorte/augsburg
"Nonnendammallee 135, 13599 Berlin",Metro AG,Berlin,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",52.5386917,13.245977,METRO Berlin-Berolina,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-20:00'}}",030354820,13599,79,,https://www.metro.de/standorte/berlin-berolina
"An der Ostbahn 5, 10243 Berlin",Metro AG,Berlin,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",52.509136,13.443832,METRO Berlin-Friedrichshain,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-20:00'}}",0302757120,10243,32,,https://www.metro.de/standorte/berlin-friedrichshain
"Buckower Chaussee 25-35, 12277 Berlin",Metro AG,Berlin,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",52.41289,13.39062,METRO Berlin-Marienfelde,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-20:00'}}",030762800,12277,22,,https://www.metro.de/standorte/berlin-marienfelde
"Dieselstraße 13, 38122 Braunschweig",Metro AG,Braunschweig,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",52.21628,10.49736,METRO Braunschweig,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-20:00'}}",053128800,38122,36,,https://www.metro.de/standorte/braunschweig
"Neuenlander Straße 111, 28201 Bremen",Metro AG,Bremen,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",53.05199,8.80457,METRO Bremen,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-20:00'}}",042155940,28201,31,,https://www.metro.de/standorte/bremen
"Zusestraße 6, 85649 Brunnthal",Metro AG,Brunnthal,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",48.0387894,11.6583578,METRO Brunnthal,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-20:00'}}",0892420790,85649,30,,https://www.metro.de/standorte/brunnthal
"Röhrsdorfer Allee 1, 09247 Chemnitz-Röhrsdorf",Metro AG,Chemnitz-Röhrsdorf,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",50.86416,12.86062,METRO Chemnitz-Röhrsdorf,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-20:00'}}",037226030,09247,109,,https://www.metro.de/standorte/roehrsdorf
"Brackeler Straße 51, 44145 Dortmund",Metro AG,Dortmund,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",51.52393,7.48932,METRO Dortmund-Mitte,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-20:00'}}",023198310,44145,24,,https://www.metro.de/standorte/dortmund-mitte
"Borussiastraße 101, 44149 Dortmund",Metro AG,Dortmund,Germany,"{'brand': 'Metro AG', 'fascia': 'Metro AG', 'category': 'Retail', 'edit_date': '20250503', 'lat_lon_source': 'Third Party'}",51.494057,7.373359,METRO Dortmund-Oespel,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-20:00'}}",023196560,44149,18,,https://www.metro.de/standorte/dortmund-oespel
