addr_full,city,country,brand,extras,lat,lon,opening_times,name,phone,postcode,ref,state,website
Staufener Str.30 79189 Bad Krozingen,Bad Krozingen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.9177300,7.7039200,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mini Mix, Bad Krozingen",Phone: 07633 9290182,,135,,https://www.mixmarkt.eu/en/germany/stores/334/
Holzdamm 8 50374 Erftstadt,Erftstadt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.8027100,6.8152800,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mini Mix, Erftstadt",Phone: 02235 9898652,,304,,https://www.mixmarkt.eu/en/germany/stores/353/
Fritz-Erler-Strasse 16 40595 Düsseldorf,Düsseldorf,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.1448593,6.8998608,,"Mini Mix, Düsseldorf",Phone: 0211 17909690,,202,,https://www.mixmarkt.eu/en/germany/stores/348/
Henkelstr. 295 40599 Düsseldorf,Düsseldorf,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",0.00,,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mini Mix, Düsseldorf",Phone:,,1051,,https://www.mixmarkt.eu/en/germany/stores/377/
Mötscher Str.14 54634 Bitburg,Bitburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.9675152,6.5246085,,"Mini Mix, Bitburg",Phone: 06561 67591,,134,,https://www.mixmarkt.eu/en/germany/stores/333/
Saalestr. 1 97616 Bad Neustadt an der Saale,Bad Neustadt an der Saale,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.3206300,10.1977900,,"Mini Mix, Bad Neustadt",Phone: 09771 6877860,,542,,https://www.mixmarkt.eu/en/germany/stores/342/
Liebigstr.2g 85057 Ingolstadt,Ingolstadt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.7761200,11.4049700,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mini Mix, Ingolstadt",Phone: 0841 99389850,,85,,https://www.mixmarkt.eu/en/germany/stores/93/
Heisenbergstr. 4a 97076 Würzburg,Würzburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.8067100,9.9767900,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Würzburg",Phone: 0931 26081636,,80,,https://www.mixmarkt.eu/en/germany/stores/87/
Klingelholl 32-34 42281 Wuppertal,Wuppertal,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.2811829,7.1958005,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': ''}}","Mix Markt, Wuppertal",Phone: 0202 87079771,,199,,https://www.mixmarkt.eu/en/germany/stores/27/
Theodor-Heuss-Str. 41a 67549 Worms,Worms,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.6473200,8.3446800,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': ''}}","Mix Markt, Worms",Phone: 06241 2088144,,13,,https://www.mixmarkt.eu/en/germany/stores/13/
