addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Marktplatz 13,Mosch Mosch,Darmstadt,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",49.8701038,8.651703798,MoschMosch Darmstadt,"{'opening_hours': {'Mon': '11:00 - 21:00', 'Tue': '11:00 - 21:00', 'Wed': '11:00 - 21:00', 'Thu': '11:00 - 21:00','Fri': ' ','Sat': ' ','Sun': ' '}}",06151 - 599 602 1,64283,49.8701038-8.651703797908342,,https://www.moschmosch.com/restaurants-darmstadt.php
Europa-Allee 20-22,Mosch Mosch,Frankfurt,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",50.1119471,8.6435764,Frankfurt Europaviertel,"{'opening_hours': {'Mon': '11:00 - 23:00', 'Tue': '11:00 - 23:00', 'Wed': '11:00 - 23:00', 'Thu': '11:00 - 23:00', 'Fri': '11:00 - 23:00', 'Sat': '11:00 - 23:00','Sun': ' '}}",069 - 133 88 181,60327,50.1119471-8.6435764,,https://www.moschmosch.com/restaurants-frankfurt-europaviertel.php
"Haus N2, 4",Mosch Mosch,Mannheim,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",49.48512255,8.46960695,Mannheim,"{'opening_hours': {'Mon': '12:00 - 22:00', 'Tue': '12:00 - 22:00', 'Wed': '12:00 - 22:00', 'Thu': '12:00 - 22:00', 'Fri': '12:00 - 22:00', 'Sat': '12:00 - 22:00', 'Sun': '12:00 - 22:00'}}",0621 - 336 522 22,68161,49.48512255-8.469606949700758,,https://www.moschmosch.com/restaurants-mannheim.php
Hauptstraße 136,Mosch Mosch,Heidelberg,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",49.3938242,8.721768238,Heidelberg,"{'opening_hours': {'Mon': '12:00 - 22:00', 'Tue': '12:00 - 22:00', 'Wed': '12:00 - 22:00', 'Thu': '12:00 - 22:00', 'Fri': '12:00 - 22:00', 'Sat': '12:00 - 22:00', 'Sun': '12:00 - 22:00'}}",06221 - 650 907 7,69117,49.3938242-8.721768238262754,,https://www.moschmosch.com/restaurants-heidelberg.php
Goetheplatz 2,Mosch Mosch,Frankfurt,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",50.10994495,8.683365265,Frankfurt Goetheplatz,"{'opening_hours': {'Mon': '11:00 - 22:00', 'Tue': '11:00 - 22:00', 'Wed': '11:00 - 22:00', 'Thu': '11:00 - 22:00', 'Fri': '11:00 - 22:00', 'Sat': '11:00 - 22:00','Sun': ' '}}",069 - 272 915 65,60311,50.10994495-8.683365265075492,,https://www.moschmosch.com/restaurants-Frankfurt-goetheplatz.php
Obere Neckarstraße 30,Mosch Mosch,Heilbronn,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",49.13945925,9.21489916,Heilbronn,"{'opening_hours': {'Mon': '11:30 - 22:00', 'Tue': '11:30 - 22:00', 'Wed': '11:30 - 22:00', 'Thu': '11:30 - 22:00','Fri': ' ','Sat': ' ','Sun': ' '}}",07131 - 873 936 0,74072,49.13945925-9.214899160357549,,https://www.moschmosch.com/restaurants-heilbronn.php
Mailandsgasse 3,Mosch Mosch,Mainz,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",50.0010941,8.269831862,Mainz,"{'opening_hours': {'Mon': '11:00 - 21:30', 'Tue': '11:00 - 21:30', 'Wed': '11:00 - 21:30', 'Thu': '11:00 - 21:30','Fri': ' ','Sat': ' ','Sun': ' '}}",06131 - 4807 082,55116,50.0010941-8.26983186187839,,https://www.moschmosch.com/restaurants-Mainz.php
Promenade 51,Mosch Mosch,Oberhausen,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",51.48039435,6.880111852,Oberhausen,{'opening_hours': {}},0208 - 882 372 70,46047,51.48039435-6.880111851948714,,https://www.moschmosch.com/restaurants-oberhausen.php
Wilhelm-Leuschner-Str. 78,Mosch Mosch,Frankfurt,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",50.10764945,8.666229033,Frankfurt Baseler Arkaden,"{'opening_hours': {'Mon': '11:00 - 22:00', 'Tue': '11:00 - 22:00', 'Wed': '11:00 - 22:00', 'Thu': '11:00 - 22:00', 'Fri': '11:00 - 22:00', 'Sat': '11:00 - 22:00','Sun': ' '}}",069 - 2400 3737,60329,50.10764945-8.666229033224274,,https://www.moschmosch.com/restaurants-Frankfurt-Baseler-Arkaden.php
Wilhelmstraße 52d / Kaiser Friedrich Platz,Mosch Mosch,Wiesbaden,Germany,"{'brand': 'Mosch Mosh', 'fascia': 'Mosch Mosch', 'category': 'Food and Beverage', 'edit_date': '2025-03-26', 'lat_lon_source': 'Third Party'}",50.08474745,8.24007575,Wiesbaden,"{'opening_hours': {'Mon': '11:00 - 21:30', 'Tue': '11:00 - 21:30', 'Wed': '11:00 - 21:30', 'Thu': '11:00 - 21:30','Fri': ' ','Sat': ' ','Sun': ' '}}",0611 - 334 6973,65183,50.084747449999995-8.240075749544918,,https://www.moschmosch.com/restaurants-wiesbaden.php
