addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Hamburger Straße 37,Pizza Max,Ahrensburg ,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",53.670499,10.2344954,Pizza Max Ahrensburg ,"{'opening_hours': {'Mon': '11:00 - 22:30', 'Tue': '11:00 - 22:30', 'Wed': '11:00 - 22:30', 'Thur': '11:00 - 22:30', 'Sun': '11:00 - 22:30', 'Fri': '11:00 - 23:30', 'Sat': '11:00 - 23:30'}}",04102888493,22926,53.670499-10.2344954,,https://www.pizzamax.de/ahrensburg/
Frenser Straße 22,Pizza Max,Bergheim Quadrath-Ichendorf,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",50.93704865,6.684193863747782,Pizza Max Bergheim Quadrath-Ichendorf,"{'opening_hours': {'Mon': '10:50 - 21:45', 'Tue': '10:50 - 21:45', 'Wed': '10:50 - 21:45', 'Thur': '10:50 - 21:45', 'Fri': '10:50 - 21:45', 'Sat': '10:50 - 21:45', 'Sun': '10:50 - 21:45'}}",022714881377,50127,50.93704865-6.684193863747782,,https://www.pizzamax.de/bergheim/
Goldhähnchenweg 2,Pizza Max,Berlin Buckow,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.4431475,13.457261,Pizza Max Berlin Buckow,"{'opening_hours': {'Mon': '10:50 - 22:20', 'Tue': '10:50 - 22:20', 'Wed': '10:50 - 22:20', 'Thur': '10:50 - 22:20', 'Fri': '10:50 - 22:20', 'Sat': '10:50 - 22:20', 'Sun': '10:50 - 22:20'}}",0306012057,12359,52.4431475-13.457261,,https://www.pizzamax.de/berlin-buckow/
Schlossstraße 34,Pizza Max,Berlin Charlottenburg,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.4578104,13.320262920354878,Pizza Max Berlin Charlottenburg,"{'opening_hours': {'Mon': '10:50 - 21:50', 'Tue': '10:50 - 21:50', 'Wed': '10:50 - 21:50', 'Thur': '10:50 - 21:50', 'Fri': '10:50 - 21:50', 'Sat': '10:50 - 21:50', 'Sun': '10:50 - 21:50'}}",0303447078,14059,52.4578104-13.320262920354878,,https://www.pizzamax.de/berlin-charlottenburg/
Straßmannstraße 10,Pizza Max,Berlin Friedrichshain,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.5215311,13.447969,Pizza Max Berlin Friedrichshain,"{'opening_hours': {'Mon': '10:50 - 21:50', 'Tue': '10:50 - 21:50', 'Wed': '10:50 - 21:50', 'Thur': '10:50 - 21:50', 'Sun': '10:50 - 21:50', 'Fri': '10:50 - 22:50', 'Sat': '10:50 - 22:50'}}",0304222220,10249,52.5215311-13.447969,,https://www.pizzamax.de/berlin-friedrichshain/
Stollberger Straße 43,Pizza Max,Berlin Hellersdorf,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.5315465,13.6042555,Pizza Max Berlin Hellersdorf,"{'opening_hours': {'Mon': '11:20 - 21:50', 'Tue': '11:20 - 21:50', 'Wed': '11:20 - 21:50', 'Thur': '11:20 - 21:50', 'Fri': '11:20 - 21:50', 'Sat': '11:20 - 21:50', 'Sun': '11:20 - 21:50'}}",0309989797,12627,52.5315465-13.6042555,,https://www.pizzamax.de/berlin-hellersdorf/
Berliner Straße 137,Pizza Max,Berlin Hermsdorf,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.6140498,13.3158121,Pizza Max Berlin Hermsdorf,"{'opening_hours': {'Mon': '10:00 - 01:50', 'Tue': '10:00 - 01:50', 'Wed': '10:00 - 01:50', 'Thur': '10:00 - 01:50', 'Fri': '10:00 - 01:50', 'Sat': '10:00 - 01:50', 'Sun': '10:00 - 01:50'}}",0304025580,13467,52.6140498-13.3158121,,https://www.pizzamax.de/berlin-hermsdorf/
Konrad-Wolf-Str. 108,Pizza Max,Berlin Hohenschönhausen,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.5428993,13.4906494,Pizza Max Berlin Hohenschönhausen,"{'opening_hours': {'Mon': '10:50 - 21:50', 'Tue': '10:50 - 21:50', 'Wed': '10:50 - 21:50', 'Thur': '10:50 - 21:50', 'Sun': '10:50 - 21:50', 'Fri': '10:50 - 22:50', 'Sat': '10:50 - 22:50'}}",03096201555,13055,52.5428993-13.4906494,,https://www.pizzamax.de/berlin-hohenschoenhausen/
Grünauer Straße 26,Pizza Max,Berlin Köpenick,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.4424009,13.5692675,Pizza Max Berlin Köpenick,"{'opening_hours': {'Mon': '11:00 - 22:00', 'Tue': '11:00 - 22:00', 'Wed': '11:00 - 22:00', 'Thur': '11:00 - 22:00', 'Fri': '11:00 - 22:00', 'Sat': '11:00 - 22:00', 'Sun': '11:00 - 22:00'}}",03064168555,12557,52.4424009-13.5692675,,https://www.pizzamax.de/berlin-koepenick/
Margaretenstraße 4,Pizza Max,Berlin Lichtenberg,Germany,"{'brand': 'Pizza Max', 'fascia': 'Pizza Max', 'category': 'Food and Beverage', 'edit_date': '2025-03-28', 'lat_lon_source': 'Third Party'}",52.5077424,13.4974554,Pizza Max Berlin Lichtenberg,"{'opening_hours': {'Mon': '10:50 - 22:20', 'Tue': '10:50 - 22:20', 'Wed': '10:50 - 22:20', 'Thur': '10:50 - 22:20', 'Sun': '10:50 - 22:20', 'Fri': '10:50 - 22:50', 'Sat': '10:50 - 22:50'}}",03052696060,10317,52.5077424-13.4974554,,https://www.pizzamax.de/berlin-lichtenberg/
