addr_full,city,country,brand,extras,latitude,longitude,opening_hours,phone,ref,postcode,name,state,website
"Markt 52-54, 52062 Aachen, Germany",Aachen,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.776304350000004,6.0836903754184215,"{'opening_hours': {'Mon': '12:00-24:00', 'Tue': '12:00-24:00', 'Wed': '12:00-24:00', 'Thu': '12:00-24:00', 'Fri': '12:00-02:00', 'Sat': '12:00-02:00', 'Sun': '12:00-24:00'}}",+49 241 16035516,2444251,52062,Sausalitos Aachen,,https://www.sausalitos.de/standorte
"Mildred-Harnack-Straße 11, 10243 Berlin, Germany",Berlin,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",52.5056092,13.4425374,"{'opening_hours': {'Mon': '16:00-22:00', 'Tue': '16:00-22:00', 'Wed': '16:00-22:00', 'Thu': '16:00-22:00', 'Fri': '16:00-02:00', 'Sat': '16:00-02:00', 'Sun': '16:00-22:00'}}",+49 30 403665206,2476936,10243,Sausalitos Berlin,,https://www.sausalitos.de/standorte
"Maximilianstraße 37, 86150 Augsburg, Germany",Augsburg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.3669445,10.89916476682848,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 821 3197005,2476939,86150,Sausalitos Augsburg,,https://www.sausalitos.de/standorte
"Fasanenstraße 81, 10623 Berlin, Germany",Berlin,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",52.50505055,13.328421426913383,"{'opening_hours': {'Mon': '17:00-01:00', 'Tue': '17:00-01:00', 'Wed': '17:00-01:00', 'Thu': '17:00-01:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-01:00'}}",+49 30 31012255,2476937,10623,Sausalitos Berlin,,https://www.sausalitos.de/standorte
"Kortumstraße 13, 44787 Bochum, Germany",Bochum,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.47686375,7.21622440025355,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '15:00-02:00', 'Sun': '17:00-24:00'}}",+49 234 41479090,2476940,44787,Sausalitos Bochum,,https://www.sausalitos.de/standorte
"Bolkerstraße 30, 40213 Düsseldorf, Germany",Düsseldorf,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.226318000000006,6.774103641066372,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '14:00-02:00', 'Sun': '14:00-22:00'}}",+49 211 8368688,2476946,40213,Sausalitos Düsseldorf,,https://www.sausalitos.de/standorte
"Kleppingstraße 20, 44135 Dortmund, Germany",Dortmund,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.5128635,7.468431,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '16:00-02:00', 'Sun': '17:00-22:00'}}",+49 231 1087147,2476942,44135,Sausalitos Dortmund,,https://www.sausalitos.de/standorte
"Altmarkt 5-6, 01067 Dresden, Germany",Dresden,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.04949105,13.737852862034277,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-01:00', 'Sat': '17:00-01:00', 'Sun': '17:00-23:00'}}",+49 351 16013140,2476941,01067,Sausalitos Dresden,,https://www.sausalitos.de/standorte
"Hagenmarkt 2, 38100 Braunschweig, Germany",Braunschweig,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",52.2667911,10.524808301747301,"{'opening_hours': {'Mon': '17:00-23:30', 'Tue': '17:00-23:30', 'Wed': '17:00-23:30', 'Thu': '17:00-23:30', 'Fri': '17:00-01:30', 'Sat': '17:00-01:30', 'Sun': '17:00-23:00'}}",+49 531 1233087,2476944,38100,Sausalitos Braunschweig,,https://www.sausalitos.de/standorte
"Am Hof 28, 53113 Bonn, Germany",Bonn,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.7340022,7.101220956249998,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '14:00-02:00', 'Sun': '17:00-24:00'}}",+49 228 97661672,2476945,53113,Sausalitos Bonn,,https://www.sausalitos.de/standorte
