addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Carl-Benz-Straße 1 61191 Rosbach v. d. Höhe,Tank & Rast,Rosbach v. d. Höhe,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",50.2937124,8.6949245,ROSI'SKompaktOber-Rosbach,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': '08:00 - 22:00'}}",060038269663,61191,50.29371248.6949245,,https://rosis-autohof.de/rosis-ober-rosbach/
Marktstraße 37 97355 Rüdenhausen,Tank & Rast,Rüdenhausen,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",49.7707132,10.340281,ROSI'SRüdenhausen,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': '08:00 - 21:00'}}",093838699066,97355,49.770713210.340281,,https://rosis-autohof.de/rosis-ruedenhausen/
Aurea 1-3 33378 Rheda-Wiedenbrück,Tank & Rast,Rheda-Wiedenbrück,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",51.8313923,8.2184166,ROSI'SRheda-Wiedenbrück,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",025228343732,33378,51.83139238.2184166,,https://rosis-autohof.de/rosis-rheda-wiedenbrueck/
Dieselstraße 28 85386 Eching,Tank & Rast,Eching,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",48.3105754,11.6470428,ROSI'SKompaktEching,"{'opening_hours': {'Mon': '08:00 - 22:00', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",081659090996,85386,48.310575411.6470428,,https://rosis-autohof.de/rosis-kompakt-eching/
Gewerbepark 6 85646 Anzing,Tank & Rast,Anzing,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",48.1595385,11.8540174,ROSI'SKompaktAnzing,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",081212506380,85646,48.159538511.8540174,,https://rosis-autohof.de/rosis-kompakt-anzing/
Rudolf-Diesel-Straße 1 91625 Schnelldorf,Tank & Rast,Schnelldorf,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",49.1712029,10.2417226,ROSI'SSchnelldorf,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",079509265240,91625,49.171202910.2417226,,https://rosis-autohof.de/rosis-schnelldorf/
Serways Hotel Weiskirchen Nord An der A3 63110 Rodgau,Tank & Rast,Rodgau,Germany,"{'brand': 'Tank & Rast', 'fascia': 'Serways Hotel', 'category': 'Leisure', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",50.056950405552,8.907096835522,Serways Hotel  Weiskirchen Nord ,"{'opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",+49 61 82 / 78 90,63110,23,WeiskirchenNord,https://www.serways-hotels.de/hotels/weiskirchen-nord
An der Autobahn 1 07589 Lederhose Telefon: ,Tank & Rast,Lederhose,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",50.7998024,11.9204501,ROSI'SKompaktLederhose,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",036604993944,07589,50.799802411.9204501,,https://rosis-autohof.de/rosis-kompakt-lederhose/
Auf der Brooke 2 27404 Elsdorf,Tank & Rast,Elsdorf,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",53.2305047,9.3430061,ROSI'SZeven,"{'opening_hours': {'Mon': '06:00 - 21:00', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",042869266416,27404,53.23050479.3430061,,https://rosis-autohof.de/rosis-zeven/
Broichhofstraße 8  40880 Ratingen,Tank & Rast,Ratingen,Germany,"{'brand': 'Tank & Rast', 'fascia': ""Rosi's Autohof"", 'category': 'Food and Beverage', 'edit_date': '2025-05-04', 'lat_lon_source': 'Google'}",51.2902169,6.8046446,ROSI'SKompaktHohenstein,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}",021029422656,40880,51.29021696.8046446,,https://rosis-autohof.de/rosis-kompakt-hohenstein/
