addr_full,city,map_link,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,shop_name,state,website
Zingster Str. 14,Berlin,https://goo.gl/maps/6orWH1Jp9Bde6AHy9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.56591325,13.503643319787685,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 30 924 40 55,52.56591325-13.503643319787685,13051,BERLIN HOHENSCHÖNHAUSEN,,https://www.world-of-pizza.de/standorte/berlin-hohenschoenhausen/
Kokenhorststr. 19,Burgwedel,https://goo.gl/maps/jmPLxxwse4zfMD6Y8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.4860094,9.8456834,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 5139 40 44,52.4860094-9.8456834,30938,GROSSBURGWEDEL,,https://www.world-of-pizza.de/standorte/grossburgwedel/
Magdeburger Allee 106,Erfurt,https://goo.gl/maps/qTKu3Zx85Zyr21WS7,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",50.9954629,11.0261294,"{'Mon': '11:00-00:00', 'Tue': '11:00-00:00', 'Wed': '11:00-00:00', 'Thu': '11:00-00:00', 'Fri': '11:00-00:00', 'Sat': '11:00-00:00', 'Sun': '11:00-00:00'}",+49 361 60 191 555,50.9954629-11.0261294,99086,ERFURT ILVERSGEHOFEN,,https://www.world-of-pizza.de/standorte/erfurt-ilversgehofen/
Prager Straße 31,Leipzig,https://goo.gl/maps/xDaeJYs4eYczYvnK8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.33166945,12.396374792486737,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 341 26 89 89 8,51.33166945-12.396374792486737,04317,LEIPZIG-CITY,,https://www.world-of-pizza.de/standorte/leipzig-city/
Stadtbahnstraße 19A,Hamburg,https://goo.gl/maps/jsQV7JhnhCcFfD7L8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",53.65335805,10.106458269375693,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 4063746060,53.65335805-10.106458269375693,22393,HAMBURG SASEL,,https://www.world-of-pizza.de/standorte/hamburg-sasel/
Riesaer Straße 101,Leipzig,https://goo.gl/maps/71c39nKYMVVwRzUo6,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.3464533,12.4687054,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 341 252 27 41,51.3464533-12.4687054,04328,LEIPZIG PAUNSDORF,,https://www.world-of-pizza.de/standorte/leipzig-paunsdorf/
Georg-Schumann-Straße 173,Leipzig,https://goo.gl/maps/N2M2SBXeN3MXq3u5A,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.3649552,12.3519581,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 341 91 888 744,51.3649552-12.3519581,04159,LEIPZIG GOHLIS,,https://www.world-of-pizza.de/standorte/leipzig-gohlis/
Alte Holstenstraße 9,Hamburg,https://goo.gl/maps/JJUCS7UahQMwAHxK8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",53.494018350000005,10.207146365813536,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': 'Closed'}",+49 40 790 11 5 11,53.494018350000005-10.207146365813536,21031,HAMBURG BERGEDORF,,https://www.world-of-pizza.de/standorte/hamburg-bergedorf/
Am Steintor 16,Halle (Saale) – City,https://goo.gl/maps/9scmj6ijMJWQuKA4A,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",Not found,Not found,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 345  78 28 38 78,06112-Halle (Saale) – City-Am Steintor 16,06112,HALLE (SAALE) CITY,,https://www.world-of-pizza.de/standorte/halle-saale-city/
Franzstraße 155,Dessau,https://goo.gl/maps/PtAm43wcgQittiy58,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.8251806,12.2423968,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 340 870 55 11,51.8251806-12.2423968,06842,DESSAU,,https://www.world-of-pizza.de/standorte/dessau/
