addr_full,brand,city,country,extras,lon,lat,name,opening_hours,phone,postalCode,ref,state,website
Γρ. Λαμπράκη  152-154,Public,Πειραιάς,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.648,37.94,Public + Home Πειραιάς,{},210 8181333,18535,7050,Athens,
Λεωφ. Μαραθώνος 149,Public,Γέρακας,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.8633358,38.0076043,Public + home  Γέρακας,{},210 8181333,15344,7504,Athens,
"Λεωφ. Αθηνών 64, Αθήνα 121 36",Public,Περιστέρι,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.6853639,38.0019715,Public + home  Περιστέρι,{},210 8181333,12136,7508,Athens,
Πετρουπόλεως 41,Public,Ίλιον,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.697,38.032,Public + home Ίλιον,{},210 8181333,13121,7512,Athens,
Λέοντος 4 & Ελευθερίας ,Public,Αργυρούπολη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.7431963,37.9132545,Public + home Αργυρούπολη,{},210 8181333,16452,7503,Athens,
Λεωφ. Κνωσού 172,Public,Ηράκλειο Public + home,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",25.145,35.318,Public + home Ηράκλειο,{},,71409,7513,Other,
Πυρσινέλλα 4 &  Γ. Μελανίδη,Public,Ιωάννινα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",20.851,39.663,Public + home Ιωάννινα,{},210 8181333,45221,7060,Other,
Fashion City Outlet,Public,Λάρισα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.4422897,39.6064188,Public + home Λάρισα,{},210 8181333,41335,7505,Other,
Λεωφ. Κηφισίας 49 ,Public,Μαρούσι,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.7972829,38.0368649,Public + home Μαρούσι,{},210 8181333,15123,7506,Athens,
Ακτή Δυμαίων 17,Public,Πάτρα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",21.726,38.238,Public + home Πάτρα,{},210 8181333,26221 ,7507,Other,
Ποσειδώνος 30,Public,Θεσσαλονίκη,,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.97,40.579,Public + home Πυλαία Ποσειδώνος ,{},210 8181333, 55535,7509,Thessaloniki,
Λεωφ. Κηφισού 161 Αγ. Ι.Ρέντης,Public,Αγ. Ι. Ρέντης,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.675,37.975,Public + home Ρέντης ,{},210 8181333,18233,7501,Athens,
7ο χλμ. Εθνικής Οδού Ρόδου – Λίνδου,Public,Ρόδος Public + home,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",28.2008,36.3999,Public + home Ρόδος,{},210 8181333,85150,7511,Other,
