addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Κηφισίας 228 Ν.Ψυχικό, 11525 ΨΥΧΙΚΟ, Ελλάδα",AB Vassilopoulos,ΨΥΧΙΚΟ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.004041,23.775502,ΨΥΧΙΚΟ Λ. ΚΗΦΙΣΙΑΣ-ΦΑΡΟΣ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2106718000,2106700000",11525,2,,psychiko-l-kifisias-faros
"Κηφισίας & Καποδιστρίου, 15123 ΦΙΛΟΘΕΗ, Ελλάδα",AB Vassilopoulos,ΦΙΛΟΘΕΗ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.024848,23.788972,ΦΙΛΟΘΕΗ ΚΑΠΟΔΙΣΤΡΙΟΥ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2106820741,2106820743",15123,5,,filothei-kapodistrioy
"Κασσαβέτη & Λεβίδου 2, 14561 ΚΗΦΙΣΙΑ, Ελλάδα",AB Vassilopoulos,ΚΗΦΙΣΙΑ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.072152,23.81352,ΚΗΦΙΣΙΑ ΚΑΣΣΑΒΕΤΗ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2108082812,2108082813",14561,6,,kifisia-kassaveti
"25ης Μαρτίου 5, 17121 ΝΕΑ ΣΜΥΡΝΗ, Ελλάδα",AB Vassilopoulos,ΝΕΑ ΣΜΥΡΝΗ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.94747,23.711435,ΝΕΑ ΣΜΥΡΝΗ 25ης ΜΑΡΤΙΟΥ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2109353173,2109353166",17121,7,,nea-smyrni-25is-martioy
"Κηφισίας 326, 14671 ΕΡΥΘΡΑΙΑ, Ελλάδα",AB Vassilopoulos,ΕΡΥΘΡΑΙΑ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.086126,23.816484,ΕΡΥΘΡΑΙΑ ΚΗΦΙΣΙΑΣ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2108082201,2108083535",14671,8,,erythraia-kifisias
"Γρυπάρη 141, 17672 ΚΑΛΛΙΘΕΑ, Ελλάδα",AB Vassilopoulos,ΚΑΛΛΙΘΕΑ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.955328,23.703949,ΚΑΛΛΙΘΕΑ 1 ΓΡΥΠΑΡΗ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2109564013,2109564014",17672,9,,kallithea-1-grypari
"Πίνδου 116 - 118, 15669 ΠΑΠΑΓΟΣ, Ελλάδα",AB Vassilopoulos,ΠΑΠΑΓΟΣ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.983889,23.786506,ΠΑΠΑΓΟΣ ΠΙΝΔΟΥ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}",2106510603,15669,12,,papagos-pindoy
"Λ. Ηρακλείου 350, 14231 Ν. ΙΩΝΙΑ, Ελλάδα",AB Vassilopoulos,Ν. ΙΩΝΙΑ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.046854,23.759517,Ν. ΙΩΝΙΑ Λ. ΗΡΑΚΛΕΙΟΥ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2102772181,2102755894",14231,13,,n-ionia-l-irakleioy
"Λ.Βουλιαγμένης 43-45, 16777 ΕΛΛΗΝΙΚΟ, Ελλάδα",AB Vassilopoulos,ΕΛΛΗΝΙΚΟ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.890651,23.74751,ΕΛΛΗΝΙΚΟ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2109634402,2109634424",16777,14,,elliniko-l-voyliagmenis
"Περικλέους 56, 15561 ΧΟΛΑΡΓΟΣ, Ελλάδα",AB Vassilopoulos,ΧΟΛΑΡΓΟΣ,Greece,"{'brand': 'AB Vassilopoulos', 'fascia': 'AB', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.998431,23.799322,ΧΟΛΑΡΓΟΣ ΠΕΡΙΚΛΕΟΥΣ,"{'opening_hours': {'Mon': '05:00-18:00', 'Tue': '05:00-18:00', 'Wed': '05:00-18:00', 'Thu': '05:00-18:00', 'Fri': '05:00-18:00', 'Sat': '05:00-18:00', 'Sun': '05:00-18:00'}}","2106532902,2106538177",15561,15,,cholargos-perikleoys
