addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Χαλανδρίου 15-17,Jumbo,Αγ. Παρασκευή,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.0142,23.8188,JUMBO Αγία Παρασκευή,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 210 6019896,153 43,"38.0142,23.8188",Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
Αχαρνών 373-375,Jumbo,Άγιος Ελευθέριος,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.0194,23.7289,JUMBO Άγιος Ελευθέριος,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 210 2111594,11143,"38.0194,23.7289",Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
Παπαφλέσσα & Τερτσέτη,Jumbo,Αγρίνιο,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.6223,21.4037,JUMBO Αγρίνιο,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2641039600-1,30100,"38.6223,21.4037",Περιφερειακή Ενότητα Αιτωλοακαρνανίας,https://corporate.e-jumbo.gr/en/stores-premises/
Κύπρου 9 & Ύδρας,Jumbo,Αθήνα Μοσχάτο,,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",,,Κεντρικά Γραφεία,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 210 48 05 200,183 46,",",,https://corporate.e-jumbo.gr/en/stores-premises/
2ο χλμ Εθν. Οδού Αλεξανδρούπολη-Συνόρων,Jumbo,Αλεξανδρούπολη,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",40.8537,25.9147,JUMBO Αλεξανδρούπολη,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2551028414 - 2551028332,68100,"40.8537,25.9147",Περιφερειακή Ενότητα Έβρου,https://corporate.e-jumbo.gr/en/stores-premises/
Αλίμου 51 & Στυμφαλίας,Jumbo,Άλιμος,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",37.9075,23.7313,JUMBO Άλιμος,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2109947050-1,17456,"37.9075,23.7313",Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
Λεωφόρος Μαραθώνος 12 & Αστυπάλαιας ,Jumbo,Άνοιξη,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.1249,23.8563,JUMBO Άνοιξη,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2108145500-1,14569,"38.1249,23.8563",Περιφερειακή Ενότητα Ανατολικής Αττικής,https://corporate.e-jumbo.gr/en/stores-premises/
2ο χλμ. Επαρχιακής οδού Βάρης Κορωπίου,Jumbo,Βάρη,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",37.8464,23.8241,JUMBO Βάρη,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2109653918-9,19400,"37.8464,23.8241",Περιφερειακή Ενότητα Ανατολικής Αττικής,https://corporate.e-jumbo.gr/en/stores-premises/
Αηδόνος-Καλαβρύτων-Αμαλιάδος-Καλαμάτας,Jumbo,Βαρυμπόμπη - Νέα Κηφισιά,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.1022,23.8062,JUMBO Βαρυμπόμπη - Νέα Κηφισιά,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2108071741 - 2108071971,14564,"38.1022,23.8062",Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
Ζάχου 27 & Μητροπολίτου Γρηγορίου,Jumbo,Βόλος,Ελλάς,"{'brand': 'Jumbo', 'fascia': 'Jumbo', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",39.3673,22.9326,JUMBO Βόλος,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2421037840,38333,"39.3673,22.9326",Περιφερειακή Ενότητα Μαγνησίας,https://corporate.e-jumbo.gr/en/stores-premises/
