addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Agia Paraskevi, 15-17 Halandriou str.  – At the upper floor of veropoulos' building",E Jumbo,,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.0142,23.8188,E Jumbo Agia Paraskevi,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 210 6019896,153 42,38.0142 - 23.8188,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
"Agios Elefterios, 373-375 Aharnon str. ",E Jumbo,Αθήνα,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.0194,23.7289,E Jumbo Agios Elefterios,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 210 2111594,111 43,38.0194 - 23.7289,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
"Agrinio, Papaflessa str. & Tertseti str.",E Jumbo,Δημοτική Ενότητα Αγρινίου,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.6223,21.4037,E Jumbo Agrinio,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:30', 'Sun': '00:00-00:00'}}",(+30) 2641039600-1,301 31,38.6223 - 21.4037,Περιφερειακή Ενότητα Αιτωλοακαρνανίας,https://corporate.e-jumbo.gr/en/stores-premises/
"Alexandroupoli, 2nd km National Road Alexandroupoli-Borders",E Jumbo,Μαΐστρος,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",40.8537,25.9147,E Jumbo Alexandroupoli,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2551028414 - 2551028332,681 00,40.8537 - 25.9147,Περιφερειακή Ενότητα Έβρου,https://corporate.e-jumbo.gr/en/stores-premises/
"Alimos, 51 Alimou ave. & Stymfalias str.",E Jumbo,,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",37.9075,23.7313,E Jumbo Alimos,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2109947050-1,174 56,37.9075 - 23.7313,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
"Anixi, 12 Marathonos ave. & Astipalaia str.",E Jumbo,,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.1249,23.8563,E Jumbo Anixi,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2108145500-1,145 69,38.1249 - 23.8563,Περιφερειακή Ενότητα Ανατολικής Αττικής,https://corporate.e-jumbo.gr/en/stores-premises/
"Chalkida, 3rd km National Road Chalkida-N. Artaki",E Jumbo,Χαλκίδα,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.4862,23.6317,E Jumbo Chalkida,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2221062270-1,341 32,38.4862 - 23.6317,Περιφερειακή Ενότητα Ευβοίας,https://corporate.e-jumbo.gr/en/stores-premises/
"Chania, 3rd km National road Chania-Kissamos",E Jumbo,Χανιά,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",35.5063,23.9869,E Jumbo Chania,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2821033970-1,731 00,35.5063 - 23.9869,Περιφερειακή Ενότητα Χανίων,https://corporate.e-jumbo.gr/en/stores-premises/
"Corfu, 25 Kerkyras str. & Achilliou str.",E Jumbo,Κέρκυρα,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",39.6058,19.8929,E Jumbo Corfu,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2661026696-7,491 00,39.6058 - 19.8929,Περιφερειακή Ενότητα Κέρκυρας,https://corporate.e-jumbo.gr/en/stores-premises/
"Elefsina, 49 Ν. Kanelopoulou str.",E Jumbo,Δημοτική Ενότητα Ελευσίνος,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.0347,23.547,E Jumbo Elefsina,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2105563257-8,192 00,38.0347 - 23.547,Περιφερειακή Ενότητα Δυτικής Αττικής,https://corporate.e-jumbo.gr/en/stores-premises/
"Florida shopping center Thessaloniki, 11th kmThessaloniki- Airport (next to IKEA) County",E Jumbo,Δημοτική Ενότητα Πυλαίας,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",40.5529,22.9839,E Jumbo Florida shopping center Thessaloniki,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2310476503,551 02,40.5529 - 22.9839,Μητροπολιτική Ενότητα Θεσσαλονίκης,https://corporate.e-jumbo.gr/en/stores-premises/
"Giannitsa, 2nd Km Giannitsa - Axos",E Jumbo,Γιαννιτσά,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",40.7899,22.3741,E Jumbo Giannitsa,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2382022506,581 00,40.7899 - 22.3741,Περιφερειακή Ενότητα Πέλλας,https://corporate.e-jumbo.gr/en/stores-premises/
"Heraklion, 193 62 Martiron ave.",E Jumbo,Δημοτική Ενότητα Ηρακλείου,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",35.3304,25.1105,E Jumbo Heraklion,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2810315806-2810318922,713 03,35.3304 - 25.1105,Περιφερειακή Ενότητα Ηρακλείου,https://corporate.e-jumbo.gr/en/stores-premises/
"Iasmos, Egnatia odos - Iasmos junction ",E Jumbo,Ίασμος,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",41.1145,25.1655,E Jumbo Iasmos,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': '00:00-00:00'}}",(+30)25340 21101 - 2534021102,692 00,41.1145 - 25.1655,Περιφερειακή Ενότητα Ροδόπης,https://corporate.e-jumbo.gr/en/stores-premises/
"Ilion, 67Α Dimokratias Ave., just behind the Carrefour",E Jumbo,,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.0419,23.7265,E Jumbo Ilion,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2102323333-4,135 62,38.0419 - 23.7265,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
"Ioannina 1, 6 Stavrou Niarchou str",E Jumbo,Ιωάννινα,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",39.645,20.8487,E Jumbo Ioannina 1,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2651085190-1,455 00,39.645 - 20.8487,Περιφερειακή Ενότητα Ιωαννίνων,https://corporate.e-jumbo.gr/en/stores-premises/
"Ioannina 2, 13th km National Road Ioannina-Arta, Episkopiko area",E Jumbo,,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",39.5435,20.8761,E Jumbo Ioannina 2,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '10:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2651096291-2651096293,,39.5435 - 20.8761,Περιφερειακή Ενότητα Ιωαννίνων,https://corporate.e-jumbo.gr/en/stores-premises/
"Kalamata, 154 Psarron str. & Evaggelistrias str.",E Jumbo,Δήμος Καλαμάτας,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",37.0258,22.1094,E Jumbo Kalamata,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2721091906-2721083138,241 00,37.0258 - 22.1094,Περιφερειακή Ενότητα Μεσσηνίας,https://corporate.e-jumbo.gr/en/stores-premises/
"Karditsa, 13th km Karditsa-Trikala, Agnantero 43061",E Jumbo,Αγναντερό,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",39.4821,21.846,E Jumbo Karditsa,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2441082280,430 61,39.4821 - 21.846,Περιφερειακή Ενότητα Καρδίτσας,https://corporate.e-jumbo.gr/en/stores-premises/
"Katerini - Variko, Litoxoro, 430Km National Road Athens - Thessaloniki (in the direction towards Athens)",E Jumbo,,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",40.211094, 22.543126,E Jumbo Katerini - Variko,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2352306200,601 00,40.211094 -  22.543126,Περιφερειακή Ενότητα Πιερίας,https://corporate.e-jumbo.gr/en/stores-premises/
"Kavala, Amigdaleonas Filippon str",E Jumbo,Αμυγδαλεώνας,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",40.970338872579134, 24.353457996562053,E Jumbo Kavala,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2510622741-2,640 12,40.970338872579134 -  24.353457996562053,Περιφερειακή Ενότητα Καβάλας,https://corporate.e-jumbo.gr/en/stores-premises/
"Kolonos, 30-32 Kreontos str.",E Jumbo,Αθήνα,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",37.9965,23.709,E Jumbo Kolonos,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2105154700-1,104 42,37.9965 - 23.709,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,https://corporate.e-jumbo.gr/en/stores-premises/
"Korinthos, 3rd km Old National road  Korithos-Isthmos-Athens ",E Jumbo,Δημοτική Ενότητα Κορινθίων,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",37.9405,22.9477,E Jumbo Korinthos,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2741074630,201 32,37.9405 - 22.9477,Περιφερειακή Ενότητα Κορινθίας,https://corporate.e-jumbo.gr/en/stores-premises/
"Lamia, Giannitsioti str., Vassilikon str., Velliou str., Papamayrou str.",E Jumbo,Δημοτική Ενότητα Λαμιέων,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",38.8942,22.4448,E Jumbo Lamia,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '00:00-00:00'}}",(+30) 2231066290 - 1,351 31,38.8942 - 22.4448,Περιφερειακή Ενότητα Φθιώτιδας,https://corporate.e-jumbo.gr/en/stores-premises/
"Larissa 1, 2nd km National road  Larissa-Kozani , Giannouli",E Jumbo,Δημοτική Ενότητα Γιάννουλης,Greece,"{'brand': 'E Jumbo', 'fascia': 'E Jumbo', 'category': 'Retail', 'edit_date': '2025-05-09', 'lat_lon_source': 'Website'}",39.6598,22.4034,E Jumbo Larissa 1,"{'opening_hours': {'Mon': '00:00-00:00', 'Tue': '00:00-00:00', 'Wed': '00:00-00:00', 'Thu': '00:00-00:00', 'Fri': '00:00-00:00', 'Sat': '00:00-00:00', 'Sun': '00:00-00:00'}}",(+30) 2410538330-1,415 00,39.6598 - 22.4034,Περιφερειακή Ενότητα Λάρισας,https://corporate.e-jumbo.gr/en/stores-premises/
