addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
ΒΙΠΕ Ηρακλείου ΟΔΟΣ 9Α - Εντός ΚΡΗΤΗ ΤV,Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",35.32166,25.1654,Everest Κρήτη - Ηράκλειο (ΒΙΠΕ ΚΡΗΤΗ TV),{'opening_hour': {}},,,623,,https://www.everest.gr/en/stores/
Λ. Κνωσού 91,Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",35.32306,25.14178,Everest Κρήτη- Ηράκλειο (Λ. Κνωσού),{'opening_hour': {}},,,619,,https://www.everest.gr/en/stores/
Μενελάου Παρλαμά 81,Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",35.32322,25.10675,Everest Κρήτη- Ηράκλειο (Μενελάου Παρλαμά),{'opening_hour': {}},,,616,,https://www.everest.gr/en/stores/
"Acharnon 330, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.01207,23.72891,Everest Acharnon,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,28,,https://www.everest.gr/en/stores/
"34th km Athens - Souniou Avenue, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.81833,23.84221,Everest Agia Marina,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,42,,https://www.everest.gr/en/stores/
"Agios Ioannou 2, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.01279,23.8215,Everest Agia Paraskevi,"{'opening_hour': {'Sun': ' 00:00 - 22:00 ', 'Mon': ' 06:00 - 22:00 ', 'Tue': ' 06:00 - 22:00 ', 'Wed': ' 06:00 - 22:00 ', 'Thu': ' 06:00 - 22:00 ', 'Fri': ' 06:00 - 00:00 ', 'Sat': '00:00-23:59'}}",,,26,,https://www.everest.gr/en/stores/
"448 Mesogeion Avenue, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.0137,23.8293,Everest Agia Paraskevi (Near ERT),"{'opening_hour': {'Sun': ' 07:00 - 17:00 ', 'Mon': ' 06:00 - 21:00 ', 'Tue': ' 06:00 - 21:00 ', 'Wed': ' 06:00 - 21:00 ', 'Thu': ' 06:00 - 21:00 ', 'Fri': ' 06:00 - 21:00 '}}",,,109,,https://www.everest.gr/en/stores/
"Ethnikis Antistaseos 159-161, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.94144,23.74117,Everest Agios Dimitrios (METRO Station),{'opening_hour': {}},,,68,,https://www.everest.gr/en/stores/
"17 Kryoneriou Avenue, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.13955,23.84878,Everest Agios Stefanos,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,123,,https://www.everest.gr/en/stores/
"36 Poseidonos Avenue, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.91152,23.71076,Everest Alimos,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,71,,https://www.everest.gr/en/stores/
"Agiou Meletiou 61, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.00002,23.73318,Everest Amerikis Square,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,12,,https://www.everest.gr/en/stores/
"Soutsou & Athanasiadou 1, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.98732,23.75724,Everest Ampelokipi,"{'opening_hour': {'Sun': ' 06:00 - 15:00 ', 'Mon': ' 06:00 - 15:00 ', 'Tue': ' 06:00 - 22:00 ', 'Wed': ' 06:00 - 20:00 ', 'Thu': ' 06:00 - 22:00 ', 'Fri': ' 06:00 - 22:00 ', 'Sat': ' 06:00 - 15:00 '}}",,,606,,https://www.everest.gr/en/stores/
"Kifissias Avenue 4, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.98665,23.76173,Everest Ampelokipi (Kifissia),"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,22,,https://www.everest.gr/en/stores/
"27 Karamanli Avenue, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.73556,23.95024,Everest Anavyssos,{'opening_hour': {}},,,95,,https://www.everest.gr/en/stores/
"126 Pentelis Avenue, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.03178,23.81965,Everest Ano Chalandri,"{'opening_hour': {'Sun': ' 08:00 - 16:00 ', 'Mon': ' 05:00 - 20:00 ', 'Tue': ' 05:00 - 20:00 ', 'Wed': ' 05:00 - 20:00 ', 'Thu': ' 05:00 - 20:00 ', 'Fri': ' 05:00 - 20:00 ', 'Sat': ' 05:00 - 18:00 '}}",,,57,,https://www.everest.gr/en/stores/
"46 Alexioupoleos & Agia Triados Square, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",37.90583,23.75094,Everest Argyroupoli,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,64,,https://www.everest.gr/en/stores/
"16th km. E.O. Athens-Corinth, Athens",Everest,,Greece,"{'brand': 'Everest', 'fascia': 'Everest', 'category': 'Food & Beverage', 'edit_date': '2025-05-18', 'lat_lon_source': 'Google'}",38.0432,23.58458,Everest Aspropyrgos,"{'opening_hour': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,,36,,https://www.everest.gr/en/stores/
