addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Λεωφόρος Κηφισού, Πέτρου Ράλλη, 182 33",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.9737,23.6727,Goody's Allou Fun Park,{'opening_hours': {}},210 8092863,,708,,https://www.goodys.com/en/katastimata/
"Vouliagmenis Avenue 276, Athens, 17343",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.94002,23.74043,Goody's Athens Metro Mall,{'opening_hours': {}},2109717870,,700,,https://www.goodys.com/en/katastimata/
"Building Block E71, Gialos Place, Spata - Athens, 19004",Goody's, Spata - Athens,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.98645,23.91107,Goody's Designer Outlet,"{'opening_hours': {'Sun': '11:00-20:00', 'Mon': '11:00-21:00', 'Tue': '11:00-21:00', 'Wed': '11:00-21:00', None: '11:00-21:00', 'Fri': '11:00-21:00', 'Sat': '11:00-20:00'}}",21 0663 0840, 19004,702,,https://www.goodys.com/en/katastimata/
"Kifissou & Petrou Ralli Avenue, Athens, 18233",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.97475,23.67169,Goody's KIDOM,{'opening_hours': {}},21 0809 2888,,706,,https://www.goodys.com/en/katastimata/
"11th km E.O. Thessalonikis -Ν. Moudania, Thessaloniki, 57001",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.55497,22.99276,Goody's Mediterranean Cosmos -  Thessaloniki,{'opening_hours': {}},231 047 1743,,701,,https://www.goodys.com/en/katastimata/
SYNTAGMA DΙNE ΙN,Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.97494,23.73422,Goody's Syntagma Dine In - Null,{'opening_hours': {}},,,600,,https://www.goodys.com/en/katastimata/
"Thivon 228, Ag. Ioannis Rentis 182 33",Goody's,Ag. Ioannis,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.97614,23.66784,Goody's Vilage Shopping & More (Ioannis Rentis),{'opening_hours': {}},210-4922522,18233,671,,https://www.goodys.com/en/katastimata/
"Leof. Krioneriou, Ag. Stefanos 145 65",Goody's,Ag. Stefanos,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.14114,23.84492,Goody's Agios Stefanos,{'opening_hours': {}},210-6215858,14565,603,,https://www.goodys.com/en/katastimata/
Εντός Οικισμού Αγίας Μαρίνας ,Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",35.51971,23.9284,"Goody's Αγία Μαρίνα, Χανιά",{'opening_hours': {}},28216 01520,,710,,https://www.goodys.com/en/katastimata/
"Ir. Politechniou 6, Ag. Paraskevi 153 42",Goody's,Ag. Paraskevi,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.01265,23.81954,Goody's Agia Paraskevi,{'opening_hours': {}},210-6396750,15342,601,,https://www.goodys.com/en/katastimata/
"Agias Sofias 38, Thessaloniki 546 22",Goody's,Thessaloniki,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.63361,22.94634,Goody's Agia Sofia,{'opening_hours': {}},,,602,,https://www.goodys.com/en/katastimata/
"Papastratou 53, Agrinio 301 00",Goody's,Agrinio,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.62859,21.4089,Goody's Agrinio,{'opening_hours': {}},26410-29965,,604,,https://www.goodys.com/en/katastimata/
"Leof. Dimokratias 316, Alexandroupoli 681 00",Goody's,Alexandroupoli,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.84423,25.87601,Goody's Alexandroupoli,{'opening_hours': {}},25510-26595,,607,,https://www.goodys.com/en/katastimata/
"Λεωφόρος Πατησίων 351, Αθήνα",Goody's,Αθήνα,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.02322,23.73582,Goody's Άνω Πατήσια,{'opening_hours': {}},210 2116882,,719,,https://www.goodys.com/en/katastimata/
"Alexioupoleos 32, Argiroupoli 164 52",Goody's,Argiroupoli,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.90595,23.74919,Goody's Argiroupoli,{'opening_hours': {}},210-9959609,,608,,https://www.goodys.com/en/katastimata/
"Λεύκης & Βασιλέως Κωνσταντίνου 2, Βάρη ",Goody's,Βάρη,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.83044,23.80299,Goody's Βάρη,{'opening_hours': {}},2100106299,,722,,https://www.goodys.com/en/katastimata/
"Leof. Vasilissis Olgas 99, Thessaloniki 546 43",Goody's,Thessaloniki,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.60793,22.95345,Goody's Leof. Vasilissis Olgas - Thessaloniki,{'opening_hours': {}},2310-864024,,655,,https://www.goodys.com/en/katastimata/
"Mitropoleos 40, Veria 591 32",Goody's,Veria,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.52041,22.20086,Goody's Veria,{'opening_hours': {}},23310-29583,,610,,https://www.goodys.com/en/katastimata/
"Argonafton 44, Volos 382 21",Goody's,Volos,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",39.35913,22.94682,Goody's Volos,{'opening_hours': {}},24210-39243,,611,,https://www.goodys.com/en/katastimata/
"Leof. Pentelis 112, Vrilissia 152 38",Goody's,Vrilissia,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.04311,23.835,Goody's Vrilissia,{'opening_hours': {}},,,612,,https://www.goodys.com/en/katastimata/
"Mikras Asias 69, Athina 115 27",Goody's,Athina,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.98288,23.76478,Goody's Goudi,{'opening_hours': {}},210-7702400 ,,617,,https://www.goodys.com/en/katastimata/
"Leof. Galatsiou 112, Galatsi 111 46",Goody's,Galatsi,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.01373,23.7517,Goody's Galatsi,{'opening_hours': {}},210-2930364,,613,,https://www.goodys.com/en/katastimata/
"El. Venizelou 117, Giannitsa 581 00",Goody's,Giannitsa,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.79213,22.41125,Goody's Giannitsa,{'opening_hours': {}},23820-29776,,614,,https://www.goodys.com/en/katastimata/
"Voutadon 50, Athina 118 54",Goody's,Athina,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.97905,23.71086,Goody's Gazi,"{'opening_hours': {'Sun': '12:00-00:30', 'Mon': '12:00-00:30', 'Tue': '12:00-00:30', 'Wed': '12:00-00:30', None: '12:00-00:30', 'Fri': '12:00-00:30', 'Sat': '12:00-00:30'}}",,,615,,https://www.goodys.com/en/katastimata/
"Konstantinoupoleos 1, Glifada 166 75",Goody's,Glifada,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.86387,23.74799,Goody's Glifada,{'opening_hours': {}},210-9680853 ,,616,,https://www.goodys.com/en/katastimata/
"Ethnarchou Makariou, Paleo Faliro 175 64",Goody's,Paleo Faliro,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.9353,23.69371,Goody's Paleo Faliro,{'opening_hours': {}},210-9423340,17564,618,,https://www.goodys.com/en/katastimata/
"28ης Οκτωβρίου 12, Δράμα, 66100",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",41.12992,24.11813,Goody's Δράμα,{'opening_hours': {}},25213 06970,,721,,https://www.goodys.com/en/katastimata/
"Eth. Aminis 32, Thessaloniki 546 21",Goody's,Thessaloniki,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.62949,22.95194,Goody's Ethnikis Aminis - Thessaloniki,{'opening_hours': {}},2310-227763,,619,,https://www.goodys.com/en/katastimata/
"Iroon Politechniou & Nikoaidou, Elefsina 192 00",Goody's,Elefsina,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",38.04347,23.54091,Goody's Elefsina,{'opening_hours': {}},210-5544480,,620,,https://www.goodys.com/en/katastimata/
"Macedonia Shopping Center, Tompazi 15, Pilea 555 35",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.57813,22.97894,Goody's Macedonia Shopping Center,{'opening_hours': {}},2310-464040,,643,,https://www.goodys.com/en/katastimata/
"11ο Xλμ. Θεσ/κης -Αεροδρομίου, Θεσσαλονίκη, 570 01",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.55199,22.98361,Goody's Εμπορικό Πάρκο Florida (Περιοχή IKEA) - Θεσσαλονίκη,{'opening_hours': {}},2310486166,,597,,https://www.goodys.com/en/katastimata/
CLOSED,Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.43912,24.93388,Goody's Tripoli,{'opening_hours': {}},18365,,596,,https://www.goodys.com/en/katastimata/
"Μεγάλου Αλεξάνδρου 73, Εύοσμος Θεσσαλονίκης, 56224",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",40.66886,22.9108,Goody's Εύοσμος - Θεσσαλονίκη,{'opening_hours': {}},2316-009521,,720,,https://www.goodys.com/en/katastimata/
"Λομβάρδου 14, Ζάκυνθος, 291 00",Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.78578,20.89872,Goody's Ζάκυνθος,{'opening_hours': {}},2695027000,,709,,https://www.goodys.com/en/katastimata/
Αγίων Αποστόλων 147,Goody's,,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",39.50615,20.26553,Goody's Ηγουμενίτσα,{'opening_hours': {}},,,715,,https://www.goodys.com/en/katastimata/
"Leof. Sofokli Venizelou 105, Ilioupoli 163 43",Goody's,Ilioupoli,Greece,"{'brand': ""Goody's Burger House"", 'fascia': ""Goody's Burger House"", 'category': 'Food and Beverage', 'edit_date': '20250510', 'lat_lon_source': 'Website'}",37.93265,23.75775,Goody's Ilioupoli,{'opening_hours': {}},210-9932739,,621,,https://www.goodys.com/en/katastimata/
