addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"11ο χλμ Ε.Ο. Θεσ/κης Μουδανίων (Πυλαία) Θεσσαλονίκη, 57001, Θεσσαλονίκη - ",Intersport,Θεσσαλονίκη,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",40.55554299803811,22.99439376329517,Intersport Mediterranean Cosmos - Θεσσαλονίκη,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00'}}",,57001,880213,,https://www.intersport.gr/~880213
"Ave. Dodonis 21 Ioannina, 45221, Ioannina - ",Intersport,Ioannina,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",39.66176142091831,20.85187462608708,Intersport Ιωάννινα (Κέντρο),"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,45221,1223725,,https://www.intersport.gr/~1223725
"Leof. Mesogeion 429 Ag. Paraskevi, 15343, Athens - ",Intersport,Athens,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",38.013631510736595,23.81973959501625,Intersport Ag. Paraskevi,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,15343,267937,,https://www.intersport.gr/~267937
"Leof. Vouliagmenis 276 Ag. Dimitrios, 17343, Athens - ",Intersport,Athens,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",37.93940074380014,23.740032933711777,Intersport Agios Dimitrios (Athens Metro Mall),"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,17343,267948,,https://www.intersport.gr/~267948
"Munincipal Road Char. Trikoupi & A-road Agriniou - Antirriou Agrinio, 30100, Agrinio - ",Intersport,Agrinio,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",38.6141617798101,21.411760960117263,Intersport Agrinio,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,30100,267974,,https://www.intersport.gr/~267974
"Commercial Airport PArk Paiania, 19019, Spata - ",Intersport,Spata,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",37.925618882441725,23.92946681151353,Intersport Airport (IKEA building),"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': '11:00-20:00'}}",,19019,1104850,,https://www.intersport.gr/~1104850
"Athens International Airport – Airport Factory Outlet Spata, 19002, Athens - ",Intersport,Athens,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",37.92145376401559,23.927980129145663,Intersport Airport Factory Outlet ,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': '11:00-20:00'}}",,19002,709167,,https://www.intersport.gr/~709167
"Leof. Dimokratias 1 Alexandroupoli, 68500, Alexandroupoli - ",Intersport,Alexandroupoli,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",40.84844629416775,25.88973632942913,Intersport Alexandroupoli,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,68500,267960,,https://www.intersport.gr/~267960
"Leof. Pentelis 72 Chalandri, 15234, Athens - ",Intersport,Athens,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",38.026623089942056,23.811395129627876,Intersport Chalandri,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,15234,880212,,https://www.intersport.gr/~880212
"G. Papandreou 3rd km N.R. Chalkidas-Edipsou Chalkida, 34100, Chalkida - ",Intersport,Chalkida,Greece,"{'brand': 'Intersport', 'fascia': 'Intersport', 'category': 'Retail', 'edit_date': '2025-05-30', 'lat_lon_source': 'Third Party'}",38.488378807963485,23.632065352235216,Intersport Chalkida,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00'}}",,34100,267958,,https://www.intersport.gr/~267958
