addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
1ο χλμ Π.Ε.Ο Λαμίας - Άμφισσας 35100 Λαμία,JYSK,Λαμία,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.874857290245,22.438703324784,JYSK Λαμία,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,35100,G011,,/stores-locator/lamia/1o-hlm-peo-lamias-amfissas
"Τσαμαδού, Κορώνης & Κανάρη 24100 Καλαμάτα",JYSK,Καλαμάτα,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",37.025789800694,22.112126589024,JYSK Καλαμάτα,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,24100,G020,,/stores-locator/kalamata/tsamadoy-koronis-kanari
Χρυσοπηγής & Νεροκούρου 73100 Χανιά,JYSK,Χανιά,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",35.498871542863,24.029932022095,JYSK Χανιά,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,73100,G026,,/stores-locator/hania/hrysopigis-nerokoyroy
3ο χλμ. Ε.Ο. Δράμας - Καβάλας 66100 Δράμα,JYSK,Δράμα,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",41.1375947419,24.189701207528,JYSK Δράμα,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,66100,G031,,/stores-locator/drama/3o-hlm-eo-dramas-kabalas
Λ. Καραμανλή & Κερκίνης 41335 Λάρισα,JYSK,Λάρισα,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",39.628374280492,22.432369942911,JYSK Λάρισα - Χαραυγή,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '00:00 - 24:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,41335,G017,,/stores-locator/larisa/l-karamanli-kerkinis
5ο χλμ Ε.Ο. Ιωαννίνων - Άρτας 45221 Ιωάννινα,JYSK,Ιωάννινα,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",39.626231267391,20.860849968217,JYSK Ιωάννινα,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,45221,G019,,/stores-locator/ioannina/5o-hlm-eo-ioanninon-artas
Κουρτίδου 11145 Πατήσια,JYSK,Πατήσια,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.015176221537,23.721820834394,JYSK Αθήνα - Πατήσια,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,11145,G002,,/stores-locator/patisia/koyrtidoy
7ο χλμ. Ε.Ο. Ρόδου - Λίνδου 85100 Ρόδος,JYSK,Ρόδος,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",36.396399986044,28.199240710725,JYSK Ρόδος,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,85100,G022,,/stores-locator/rodos/7o-hlm-eo-rodoy-lindoy
Γεωργικής Σχολής 57001 Πυλαία,JYSK,Πυλαία,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",40.552686896325,22.982959677663,JYSK Θεσσαλονίκη - Εμπορικό Πάρκο Florida,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,57001,G004,,/stores-locator/pylaia/georgikis-sholis
5o χλμ Ε.Ο. Λάρισας - Τρικάλων 42100 Τρίκαλα,JYSK,Τρίκαλα,Greece,"{'brand': 'JYSK', 'fascia': 'JYSK', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",39.558117242016,21.824610689109,JYSK Τρίκαλα,"{'opening_hours': {'Mon': '00:00 - 24:00', 'Tue': '09:00 - 21:00', 'Wed': '09:00 - 21:00', 'Thu': '09:00 - 21:00', 'Fri': '09:00 - 21:00', 'Sat': '09:00 - 21:00', 'Sun': '09:00 - 20:00'}}",,42100,G018,,/stores-locator/trikala/5o-hlm-eo-larisas-trikalon
