addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Λεωφ. Δωδώνης2,Kotsovolos,Ιωάννινα,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",39.66274,20.84955,Kotsovolos K spot Ιωάννινα,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00 -20:00', 'Sun': '11:00-16:00'}}",2102899999,45332,13001,,https://www.kotsovolos.gr/store/ioannina-spot
1ο ΧΛΜ. Επαρ. Οδ. Νέων Μουδανιών – Τριγλίας,Kotsovolos,Μουδανιά,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",40.24965,23.27920,Kotsovolos Mουδανιά ,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-16:00'}}",2102899999,63200,32001,,https://www.kotsovolos.gr/store/moudanianew
Λεωφ. Κηφισού96-98 ,Kotsovolos,Αιγάλεω,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",37.98015,23.67875,Kotsovolos River West,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00 -20:00', 'Sun': '11:00-20:00'}}",2102899999,12241,10093,,https://www.kotsovolos.gr/store/river-west
Marina Sani0,Kotsovolos,Κασσάνδρα,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",40.09909,23.31190,Kotsovolos Sani Resort,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",2102899999,63077,18501,,https://www.kotsovolos.gr/store/sani-resort
Λεωφ. Μεσογείων448,Kotsovolos,Αγία Παρασκευή,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.01383,23.82929,Kotsovolos Αγία Παρασκευή,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00 -20:00', 'Sun': '11:00-20:00'}}",2102899999,15343,9030551,,https://www.kotsovolos.gr/store/agia-paraskevi
Λεωφ. Δημοκρατίας266 ,Kotsovolos,Άγιοι Ανάργυροι,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.04372,23.72773,Kotsovolos Άγιοι Ανάργυροι,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00 -20:00', 'Sun': '11:00-20:00'}}",2102899999,13562,10003,,https://www.kotsovolos.gr/store/agioi-anargiroi
Κ. Καραμανλή 51,Kotsovolos,Άγιος Νικόλαος Κρήτης,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",35.18605,25.70743,Kotsovolos Άγιος Νικόλαος,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-18:00'}}",2841022224,72100,24001,,https://www.kotsovolos.gr/store/agiosnikolaos
Χαριλάου Τρικούπη & Μάκρη12 ,Kotsovolos,Αγρίνιο,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.62250,21.41016,Kotsovolos Αγρίνιο,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00 -20:00', 'Sun': '11:00-16:00'}}",2102899999,30100,10005,,https://www.kotsovolos.gr/store/agrinio
Εμπορικό Πάρκο Αεροδρομίου  ,Kotsovolos,Σπάτα,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",37.92324,23.93001,Kotsovolos Αεροδρόμιο Ελ. Βενιζέλος,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': '11:00-20:00'}}",2102899999,19019,10006,,https://www.kotsovolos.gr/store/aerodromio-el-venizelos
Κορίνθου 52 & Αγίας Κυριακής  ,Kotsovolos,Αίγιο,Greece,"{'brand': 'Kotsovolos', 'fascia': 'Kosovolos', 'category': 'Retail', 'edit_date': '20250510', 'lat_lon_source': 'Third Party'}",38.24338,22.09279,Kotsovolos Αίγιο,"{'opening_hours': {'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00 -20:00', 'Sun': '11:00-16:00'}}",2102899999,25100,10008,,https://www.kotsovolos.gr/store/aigio
