addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
1 Km E.O. Serron-Nigritas,Lidl Hellas,Serres,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",41.0737,23.54155,Lidl Serres/Stathmos,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,621 00,1,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Serres/1-Km-EO-Serron-Nigritas/
Filadelphias 36A,Lidl Hellas,Larisa,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",39.63351,22.43407,Lidl Larisa/Agios Georgios,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,413 36,10,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Larisa/Filadelphias-36A/
Makedonias,Lidl Hellas,Eleftheres,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.87561,24.31238,Lidl Nea Iraklitsa,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,640 07,101,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Eleftheres/Makedonias/
3 Km Neas Michanionas-Thessalonikis,Lidl Hellas,Michaniona,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.48346,22.86809,Lidl Nea Michaniona,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,570 04,102,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Michaniona/3-Km-Neas-Michanionas-Thessalonikis/
Anapafseos 1,Lidl Hellas,Katerini,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.26889,22.59312,Lidl Katerini/Paralia,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,601 00,104,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Katerini/Anapafseos-1/
1 Km Epanomis-Thessalonikis,Lidl Hellas,Thermaikos,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.43744,22.93123,Lidl Epanomi,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,575 00,108,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Thermaikos/1-Km-Epanomis-Thessalonikis/
Anapafseos 3-5,Lidl Hellas,Agria,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",39.34418,23.00083,Lidl Agria,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,373 00,109,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Agria/Anapafseos-3-5/
Perifereiaki Odos Lefkimmis,Lidl Hellas,Lefkimmaioi,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",39.41986,20.0485,Lidl Corfu/Lefkimmi,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': 'ΚΛΕΙΣΤΑ', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,490 80,111,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Lefkimmaioi/Perifereiaki-Odos-Lefkimmis/
Christou Tsamani 29,Lidl Hellas,Almyros,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",39.18919,22.75712,Lidl Almiros,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,371 00,113,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Almyros/Christou-Tsamani-29/
3 Km E.O. Kerkyras-Palaiokastritsas,Lidl Hellas,Kerkyra,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",39.63044,19.88463,Lidl Corfu/Alykes,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': 'ΚΛΕΙΣΤΑ', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,491 00,114,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Kerkyra/3-Km-EO-Kerkyras-Palaiokastritsas/
Olympiados 56,Lidl Hellas,Thessaloniki,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.64083,22.9495,Lidl Thess/Olympiados,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,546 33,116,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Thessaloniki/Olympiados-56/
Karaoli & Dimitriou 149,Lidl Hellas,Evosmos,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.6667,22.9186,Lidl Thess/Evosmos-Karaoli,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,562 24,120,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Evosmos/Karaoli-&-Dimitriou-149/
Vryoulon 33,Lidl Hellas,Kalamaria,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.57342,22.96075,Lidl Thess/Kalamaria-Vrioulon,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,551 32,124,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Kalamaria/Vryoulon-33/
3. km Naousas-Sid. Stathmou,Lidl Hellas,Naousa,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.62001,22.08585,Lidl Naousa,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,592 00,125,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Naousa/3-km-Naousas-Sid-Stathmou/
Dytiki Periferiaki Odos,Lidl Hellas,Kilkis,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.98519,22.86311,Lidl Kilkis,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,611 00,126,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Kilkis/Dytiki-Periferiaki-Odos/
Iatrou Gogousi 37,Lidl Hellas,Stavroupoli,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.66247,22.92973,Lidl Thess/Stavroupoli-Terpsitheas,"{'opening_hours': {'Mon': '07:00-21:00', 'Tue': '07:00-21:00', 'Wed': '07:00-21:00', 'Thu': '07:00-21:00', 'Fri': '07:00-21:00', 'Sat': '07:00-21:00'}}",,564 30,127,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Stavroupoli/Iatrou-Gogousi-37/
Proektasi Papagou,Lidl Hellas,Thermi,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.54188,23.01585,Lidl Thess/Thermi,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,570 01,128,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Thermi/Proektasi-Papagou/
Leof. Georgikis Scholis 88,Lidl Hellas,Pylaia,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.54664,22.98344,Lidl Thess/Pylea-Georg. Scholis,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,555 35,129,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Pylaia/Leof-Georgikis-Scholis-88/
Eirinis 93-95,Lidl Hellas,Tyrnavos,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",39.74595,22.28183,Lidl Tirnavos,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,401 00,130,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Tyrnavos/Eirinis-93-95/
