addr_full,city,country,brand,extra,lat,lon,name,opening_hours,Phone,postcode,ref,state,website
2nd km AGRINIOU - ANTIRIOU (WHOLESALE),AGRINIO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'CASH & CARRY', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.600980,21.416973,Masouti AGRINIO,{'opening_hours': {}},2641024830,,369,AITOLOAKARNANIAS,https://www.masoutis.gr/stores
TH. NOVA - ATHINON 26,NAYPAKTOS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.393701,21.835841,Masouti NAYPAKTOS,{'opening_hours': {}},2634021800,,382,AITOLOAKARNANIA,https://www.masoutis.gr/stores
PL. KILKIS & ANEKSARTISIAS,ARTA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",39.159831,20.982401,Masouti ARTA,{'opening_hours': {}},2681024704,,224,ARTA,https://www.masoutis.gr/stores
AGIAS VARVARAS 102,ΠΑΛΑΙΟ ΦΑΛΗΡΟ,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.923101,23.719294,Masouti ΠΑΛΑΙΟ ΦΑΛΗΡΟ,{'opening_hours': {}},2109850196,,673,ATTICA,https://www.masoutis.gr/stores
ST. KONSTANTINOU & 28th OKTOVRIOU st.,N.IONIA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.045627,23.754066,Masouti N.IONIA,{'opening_hours': {}},2102771216,,635,ATTICA,https://www.masoutis.gr/stores
"6, AGIOU ALEXANROU st.",P.FALIRO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.925872,23.692132,Masouti P.FALIRO,{'opening_hours': {}},2109812473,,647,ATTICA,https://www.masoutis.gr/stores
"50, AETORACHIS & 2 CHANION st.",GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.016292,23.745271,Masouti GALATSI,{'opening_hours': {}},2111821333,,648,ATTICA,https://www.masoutis.gr/stores
"14, ATHINAS (MONASTIRAKI) st.",ATHENS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.977896,23.726515,Masouti ATHENS,{'opening_hours': {}},2114118636,,653,ATTICA,https://www.masoutis.gr/stores
"60, ATHINAS st.",KALLITHEA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.948742,23.696914,Masouti KALLITHEA,{'opening_hours': {}},2109563740,,624,ATTICA,https://www.masoutis.gr/stores
"31, AKAKION st.",POLIDROSO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.031952,23.810465,Masouti POLIDROSO,{'opening_hours': {}},2106811836,,603,ATTICA,https://www.masoutis.gr/stores
ALKIONIS & 2A ATLANTOS st.,P.FALIRO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.927592,23.689837,Masouti P.FALIRO,{'opening_hours': {}},2114114916,,649,ATTICA,https://www.masoutis.gr/stores
AMERIKIS 11,KOLONAKI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.978421,23.735485,Masouti KOLONAKI,{'opening_hours': {}},2103642789,,667,ATTICA,https://www.masoutis.gr/stores
"1, AMIKLON st.",GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.021650,23.745852,Masouti GALATSI,{'opening_hours': {}},2102922105,,610,ATTICA,https://www.masoutis.gr/stores
"5, ARISTEIDOU st.",MAROUSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.056306,23.803882,Masouti MAROUSI,{'opening_hours': {}},2108056790,,646,ATTICA,https://www.masoutis.gr/stores
"45, ARISTOTELOUS st.",DRAPETSONA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.949294,23.625737,Masouti DRAPETSONA,{'opening_hours': {}},2104619841,,643,ATTICA,https://www.masoutis.gr/stores
"51-53, ARCADIAS st.",ABELOKIPOI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.987196,23.767501,Masouti ABELOKIPOI,{'opening_hours': {}},2107714028,,630,ATTICA,https://www.masoutis.gr/stores
"3, ARTIS st.",ST.DIMITRIOS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.930807,23.726525,Masouti ST.DIMITRIOS,{'opening_hours': {}},2109352003,,629,ATTICA,https://www.masoutis.gr/stores
"343, ACHARNON st.",ATHENS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.014959,23.728587,Masouti ATHENS,{'opening_hours': {}},2102022513,,621,ATTICA,https://www.masoutis.gr/stores
"98, ACHILLEOS st.",ΠΑΛΑΙΟ ΦΑΛΗΡΟ,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.928753,23.707187,Masouti ΠΑΛΑΙΟ ΦΑΛΗΡΟ,{'opening_hours': {}},2109830823,,659,ATTICA,https://www.masoutis.gr/stores
"30, VALTINON st.",GIZI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.993228,23.744174,Masouti GIZI,{'opening_hours': {}},2106421150,,625,ATTICA,https://www.masoutis.gr/stores
