addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
" 64 Todd Mall ALICE SPRINGS, NT 0870 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-23.700772,133.882131,The North Face LONE DINGO,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4337,,https://thenorthface.com.au/stores/nt/store4337/lone-dingo
" 9 Smart Road MODBURY, SA 5092 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.834335,138.684173,The North Face ANACONDA,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4494,,https://thenorthface.com.au/stores/sa/store4494/anaconda
" 1 Graham Place PROSPECT, SA 5082 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.892068,138.587005,The North Face PRO PODIATRY,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4497,,https://thenorthface.com.au/stores/sa/store4497/pro-podiatry
" Shop 9A, Rundle Mall ADELAIDE, SA 5000 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.923183,138.600064,The North Face GENERAL PANTS CO,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4500,,https://thenorthface.com.au/stores/sa/store4500/general-pants-co
" 100 Rundle Mall ADELAIDE, SA 5000 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.922111,138.603409,The North Face DAVID JONES,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4499,,https://thenorthface.com.au/stores/sa/store4499/david-jones
" Mile End Homemaker Centre, 121-150 Railway Terrace MILE END, SA 5031 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.934056,138.576064,The North Face ANACONDA,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4493,,https://thenorthface.com.au/stores/sa/store4493/anaconda
" 210 Rundle Street ADELAIDE, SA 5000 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.922346,138.607458,The North Face ANNAPURNA OUTDOOR SHOP,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4498,,https://thenorthface.com.au/stores/sa/store4498/annapurna-outdoor-shop
" 228 Rundle Street ADELAIDE, SA 5000 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.922434,138.608085,The North Face PADDY PALLIN,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4502,,https://thenorthface.com.au/stores/sa/store4502/paddy-pallin
" 92 Richmond Rd KESWICK, SA 5035 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.942103,138.573819,The North Face SNOWY'S OUTDOORS,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4492,,https://thenorthface.com.au/stores/sa/store4492/snowy's-outdoors
" 134A The Parade NORWOOD, SA 5067 ",The North Face,,Autrialia,"{'brand': 'The North Face', 'fascia': 'The North Face', 'category': 'Retail', 'edit_date': '2025-05-16', 'lat_lon_source': 'Third Party'}",-34.921027,138.633543,The North Face EXURBIA,"{'Opening_hours': {'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59', 'Sun': '00:00-23:59'}}",,,store4503,,https://thenorthface.com.au/stores/sa/store4503/exurbia
