addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Λ.ΜΕΣΟΓΕΙΩΝ 502-504, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ",Plaisio,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.012289100232,23.836121074727,Plasio ΚΑΤΑΣΤΗΜΑ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0608 4200,,1049,Αθήνα,https://www.plaisio.gr/stores/katastima-agias-paraskeuis-1049
"ΜΑΡΚΟΥ ΜΠΟΤΣΑΡΗ 1, ΧΑΝΙΑ",Plaisio,ΧΑΝΙΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",35.510842,24.021959,Plasio ΚΑΤΑΣΤΗΜΑ ΧΑΝΙΩΝ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",2821 036161,,1050,Κρήτη,https://www.plaisio.gr/stores/katastima-xanion-1050
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 87-89, ΔΑΦΝΗ",Plaisio,ΔΑΦΝΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.947177,23.739835,Plasio ΚΑΤΑΣΤΗΜΑ ΔΑΦΝΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0976 9990,,1048,Αθήνα,https://www.plaisio.gr/stores/katastima-dafnis-1048
"ΔΑΒΑΚΗ 31, ΑΘΗΝΑ ΚΑΛΛΙΘΕΑ",Plaisio,ΑΘΗΝΑ ΚΑΛΛΙΘΕΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.9531077,23.704759,Plasio ΚΑΤΑΣΤΗΜΑ ΚΑΛΛΙΘΕΑΣ Χαρτοπωλείο–Αναλώσιμα–Service,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0953 8000,,1032,Αθήνα,https://www.plaisio.gr/stores/katastima-kallitheas-xartopoleio-analosima-service-1032
"ΔΑΒΑΚΗ 33, ΑΘΗΝΑ ΚΑΛΛΙΘΕΑ",Plaisio,ΑΘΗΝΑ ΚΑΛΛΙΘΕΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.953557,23.704857,Plasio ΚΑΤΑΣΤΗΜΑ ΚΑΛΛΙΘΕΑΣ Προϊόντα Τεχνολογίας,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0953 8000,,1042,Αθήνα,https://www.plaisio.gr/stores/katastima-kallitheas-proionta-texnologias-1042
"ΠΕΡ.Ν.ΕΥΚΑΡΠΙΑΣ ΠΑΡΟΔΟ ΑΝΘΟΚΗΠ, ΘΕΣΣΑΛΟΝΙΚΗ",Plaisio,ΘΕΣΣΑΛΟΝΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",40.679449,22.942749,Plasio ΚΑΤΑΣΤΗΜΑ Ν.ΕΥΚΑΡΠΙΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",231 080 8400,,1041,Θεσσαλονίκη,https://www.plaisio.gr/stores/katastima-n-eukarpias-1041
"ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 5, ΑΘΗΝΑ",Plaisio,ΑΘΗΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.863576,23.748806,Plasio ΚΑΤΑΣΤΗΜΑ ΓΛΥΦΑΔΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0898 1700,,1025,Αθήνα,https://www.plaisio.gr/stores/katastima-glifadas-1025
"ΚΡΥΣΤΑΛΛΗ 5 ΚΑΙ ΚΩΛΕΤΤΗ, ΙΩΑΝΝΙΝΑ",Plaisio,ΙΩΑΝΝΙΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",39.6679466,20.8551994,Plasio ΚΑΤΑΣΤΗΜΑ ΙΩΑΝΝΙΝΩΝ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",265 106 5550,,1056,Ιωάννινα,https://www.plaisio.gr/stores/katastima-ioanninon-1056
"Λ. ΔΗΜΟΚΡΑΤΙΑΣ 33, ΗΡΑΚΛΕΙΟ",Plaisio,ΗΡΑΚΛΕΙΟ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",35.334683,25.138821,Plasio ΚΑΤΑΣΤΗΜΑ ΗΡΑΚΛΕΙΟΥ Λ.ΔΗΜΟΚΡΑΤΙΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",281 030 1300,,1029,Κρήτη,https://www.plaisio.gr/stores/katastima-irakleiou-l-dimokratias-1029
"Λ.ΔΗΜΟΚΡΑΤΙΑΣ 35, ΗΡΑΚΛΕΙΟ",Plaisio,ΗΡΑΚΛΕΙΟ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",35.334703,25.138821,Plasio ΚΑΤΑΣΤΗΜΑ ΗΡΑΚΛΕΙΟΥ Λ.ΔΗΜΟΚΡΑΤΙΑΣ με οικ. συσκευές,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",281 030 1300,,1052,Κρήτη,https://www.plaisio.gr/stores/katastima-irakleiou-l-dimokratias-me-oik-siskeues-1052
