addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Supermarket | Αμύρου 8,Sklavenitis,Αγιά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.7191,22.75468,Sklavenitis Αγιά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",249 402 3799,400 03,1004,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Ιερά Οδός 339 & Ελ. Βενιζέλου,Sklavenitis,Αγία Βαρβάρα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99817,23.66491,Sklavenitis Αγία Βαρβάρα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 569 6519, ",123 51,611,Αττικής,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Κερκύρας 30, Θεμιστοκλέους &  Κνωσσού",Sklavenitis,Αγία Βαρβάρα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.98777,23.6523,Sklavenitis Αγία Βαρβάρα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 562 5355,123 51,910,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Μπουμπουλίνας 27,Sklavenitis,Αγία Παρασκευή,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00278,23.81379,Sklavenitis Αγία Παρασκευή,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 654 1123,153 41,930,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ηπείρου 4,Sklavenitis,Αγία Παρασκευή,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.01065,23.81183,Sklavenitis Αγία Παρασκευή,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 653 8011,153 41,622,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αγίου Ιωάννου 23,Sklavenitis,Αγία Παρασκευή,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.01093,23.82357,Sklavenitis Αγία Παρασκευή,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 639 1092, ",153 42,703,Αττικής,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Δ. Γούναρη 10-12, Λακωνίας & Γορτυνίας 4",Sklavenitis,Άγιος Αντώνιος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00651,23.69701,Sklavenitis Άγιος Αντώνιος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 571 0055,121 31,868,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λεωφ. Βουλιαγμένης 268,Sklavenitis,Άγιος Δημήτριος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.94153,23.74018,Sklavenitis Άγιος Δημήτριος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 975 0030, ",173 43,872,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Αγ. Δημητρίου 298,Sklavenitis,Άγιος Δημήτριος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.92347,23.72343,Sklavenitis Άγιος Δημήτριος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 988 8939, ",173 42,874,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Αγ. Δημητρίου 161,Sklavenitis,Άγιος Δημήτριος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.93621,23.72976,Sklavenitis Άγιος Δημήτριος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 976 7280,173 43,875,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λιδωρικίου 3,Sklavenitis,Άγιος Δημήτριος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.93,23.73444,Sklavenitis Άγιος Δημήτριος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 996 1458,173 42,908,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Σουλίου 30-32,Sklavenitis,Άγιος Δημήτριος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.93191,23.74147,Sklavenitis Άγιος Δημήτριος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 994 4589,173 42,972,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αγίου Δημητρίου 49,Sklavenitis,Άγιος Δημήτριος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.94552,23.7343,Sklavenitis Άγιος Δημήτριος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 971 4946, ",173 43,694,Αττικής,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  Λεωφ. Π. Ράλλη 97,Sklavenitis,Άγιος Ιωάννης Ρέντης,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.97616,23.67307,Sklavenitis Άγιος Ιωάννης Ρέντης,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 540 2100,182 33,563,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Μ. Μερκούρη & Βερενίκης,Sklavenitis,Άγιος Νικόλαος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",35.1979,25.70903,Sklavenitis Άγιος Νικόλαος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","284 102 6390, ",721 00,778,Λασιθίου,https://www.sklavenitis.gr/about/katastimata
