addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"DAIDALOU & VIZANTIOU, 71202 HERAKLIO",Zara,HERAKLIO,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",35.338606,25.134809,Zara DAIDALOU & VIZANTIOU,"{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,71202,3890,KRITI,https://www.zara.com/gr/en/stores-locator/zara-heraklio-dedalou-s3890
"KAPODISTRIOU, 15, 35100 LAMIA",Zara,LAMIA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",38.899926,22.434661,"Zara KAPODISTRIOU, 15","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,35100,3690,STEREA ELLADA,https://www.zara.com/gr/en/stores-locator/zara-lamia-kapodistrio-s3690
"HARILAOU TRIKOUPI, 28, 45332 IOANNINA",Zara,IOANNINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",39.665397,20.849884,"Zara HARILAOU TRIKOUPI, 28","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,45332,3129,IPIROS,https://www.zara.com/gr/en/stores-locator/zara-ioannina-harilaou-trikoupi-s3129
"HARILAOU TRIKOUPI, 17, 45333 IOANNINA",Zara,IOANNINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",39.66659,20.851386,"Zara HARILAOU TRIKOUPI, 17","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,45333,3225,IPIROS,https://www.zara.com/gr/en/stores-locator/zara-ioannina-harilaou-trikoupi-s3225
"STADIOU, 32, 10561 ATHINA",Zara,ATHINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.97966111,23.73195277,"Zara STADIOU, 32","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,10561,3337,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-athina-stadiou-and-korai-square-s3337
"ERMOU, 47, 10563 ATHINA",Zara,ATHINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.976242,23.729329,"Zara ERMOU, 47","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,10563,341,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-athina-kapnikarea-s341
"ERMOU, 9, 10563 ATHINA",Zara,ATHINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.975726,23.732677,"Zara ERMOU, 9","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,10563,322,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-athina-atenas-s322
"28TH OCTOBER, 13-17, 10432 ATHINA",Zara,ATHINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.98505802,23.72944414,"Zara 28TH OCTOBER, 13-17","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,10432,16799,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-athina-minion-s16799
"ELEFTHERIOU VENIZELOU, 135-137, 17672 KALLITHEA",Zara,KALLITHEA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.957776,23.704854,"Zara ELEFTHERIOU VENIZELOU, 135-137","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,17672,352,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-kallithea-kalicea-s352
"KONSTANTINOU PALEOLOGOU, 16, 17121 NEA SMYRNI",Zara,NEA SMYRNI,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.946786,23.711199999999998,"Zara KONSTANTINOU PALEOLOGOU, 16","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,17121,3654,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-nea-smyrni-nea-smirni-s3654
"LEOFOROS KIFISOU, 96-98, 12241 AIGALEO",Zara,AIGALEO,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.980183,23.679472,"Zara LEOFOROS KIFISOU, 96-98","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,12241,12758,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-aigaleo-river-west-s12758
"LEOFOROS VOULIAGMENIS, 276, 17343 ATHINA",Zara,ATHINA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.93945,23.74021,"Zara LEOFOROS VOULIAGMENIS, 276","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,17343,9145,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-athina-metro-mall-s9145
"ANDREA PAPANDREOU, 21, 15234 CHALANDRI",Zara,CHALANDRI,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",38.021607,23.79908,"Zara ANDREA PAPANDREOU, 21","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,15234,3639,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-chalandri-andrea-papandreou-s3639
"IRAKLIOU, 336, 14231 NEA IONIA",Zara,NEA IONIA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",38.045569,23.757747000000002,"Zara IRAKLIOU, 336","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': 'Closed-', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,14231,3364,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-nea-ionia-irakliou-s3364
"IRAKLIOU, 297-299, 14231 NEA IONIA",Zara,NEA IONIA,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",38.047026,23.75949,"Zara IRAKLIOU, 297-299","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '13:00-20:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,14231,3695,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-nea-ionia-nea-ionia-s3695
"KIFISIAS, 37, 15123 MAROUSI",Zara,MAROUSI,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",38.034046000000004,23.792868,"Zara KIFISIAS, 37","{'opening_hours': {'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': 'Closed-', 'Mon': '10:00-21:00', 'Tue': '10:00-21:00'}}",2103003864,15123,3826,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-marousi-golden-hall-s3826
"AKTI POSIDONOS, 2, 18531 PIREAS",Zara,PIREAS,Greece,"{'brand': 'Zara', 'fascia': 'Zara', 'category': 'Retail', 'edit_date': '2025-05-14', 'lat_lon_source': 'Google'}",37.9447234,23.64397659,"Zara AKTI POSIDONOS, 2","{'opening_hours': {'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-20:00', 'Sun': '11:00-20:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00'}}",2103003864,18531,16335,ATTIKI,https://www.zara.com/gr/en/stores-locator/zara-pireas-pireas-tower-mall-s16335
