addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
Cullies H12X6V6 Cavan,Cavan,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",54.0098166,-7.3559879,"{'Sat': '07:00-22:30', 'Tue': '07:00-22:30', 'Mon': '07:00-22:30', 'Sun': '08:00-22:00', 'Fri': '07:00-22:30', 'Thu': '07:00-22:30', 'Wed': '07:00-22:30'}",+353494326350,S000316,H12X6V6,Maxol Service Station Cullies,,https://stations.maxol.ie/
Dublin Road N91N5HW Westmeath,Westmeath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.5260641,-7.3326173,"{'Fri': '06:30-23:30', 'Thu': '06:30-23:30', 'Wed': '06:30-23:30', 'Mon': '06:30-23:30', 'Tue': '06:30-23:30', 'Sat': '06:30-23:30', 'Sun': '06:30-23:30'}",+353449348985,S000064,N91N5HW,Maxol Service Station Mullingar,,https://stations.maxol.ie/
Trim Road C15 WPY7 Meath,Meath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.62205304229687,-6.913715071123018,"{'Tue': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '06:00-23:00', 'Fri': '06:00-23:00', 'Thu': '06:00-23:00', 'Wed': '06:00-23:00', 'Mon': '06:00-23:00'}",+353469026018,S000394,C15 WPY7,Maxol Service Station Kiltale,,https://stations.maxol.ie/
Glebe C15R96C Meath,Meath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.53427,-6.95753,"{'Sun': '08:00-21:00', 'Mon': '07:00-21:00', 'Sat': '08:00-21:00', 'Fri': '07:00-21:00', 'Thu': '07:00-21:00', 'Wed': '07:00-21:00', 'Tue': '07:00-21:00'}",+353469546027,S000164,C15R96C,Dempsey's Maxol Service Station,,https://stations.maxol.ie/
Athlone Road N39KH95 Longford,Longford,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.5607252,-7.7624707,"{'Tue': '06:30-23:00', 'Fri': '06:30-23:00', 'Sat': '07:00-23:00', 'Sun': '08:00-23:00', 'Thu': '06:30-23:00', 'Wed': '06:30-23:00', 'Mon': '06:30-23:00'}",+353906432777,S000341,N39KH95,Maxol Service Station Ballymahon,,https://stations.maxol.ie/
Haggard Street C15CD4R Meath,Meath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.559387,-6.7904567,"{'Tue': '06:00-22:00', 'Sat': '07:00-22:00', 'Fri': '06:00-22:00', 'Sun': '08:00-22:00', 'Thu': '06:00-22:00', 'Wed': '06:00-22:00', 'Mon': '06:00-22:00'}",+353469456000,S000329,C15CD4R,Souhan's Maxol Service Station,,https://stations.maxol.ie/
Flower Hill C15D43Y Meath,Meath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.6579999,-6.6800735,"{'Tue': '06:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00', 'Fri': '06:00-22:00', 'Thu': '06:00-22:00', 'Wed': '06:00-22:00', 'Mon': '06:00-22:00'}",+353469021608,S000194,C15D43Y,Maxol Service Station Flower Hill,,https://stations.maxol.ie/
New By-Pass Road C15TCK3 Meath,Meath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.6476943,-6.6767022,"{'Sun': '06:00-23:00', 'Mon': '05:00-23:00', 'Fri': '05:00-23:00', 'Thu': '05:00-23:00', 'Wed': '05:00-23:00', 'Sat': '05:00-23:00', 'Tue': '05:00-23:00'}",+353469022504,S000156,C15TCK3,Maxol Service Station Riverside,,https://stations.maxol.ie/
46 Main Street BT929LA Fermanagh,Fermanagh,GB,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",54.199867893598004,-7.5751681147151935,"{'Fri': '07:00-22:00', 'Thu': '07:00-22:00', 'Wed': '07:00-22:00', 'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}",+442867742020,N000173,BT929LA,"Mc Bride's Maxol Service Station, Derrylin",,https://stations.maxol.ie/
Johnstown Bridge A83PY02 Meath,Meath,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.4065303,-6.8434875,"{'Tue': '06:00-20:00', 'Mon': '06:00-20:00', 'Fri': '06:00-20:00', 'Sun': '08:00-19:00', 'Thu': '06:00-20:00', 'Wed': '06:00-20:00', 'Sat': '08:00-19:00'}",+353469541221,S000060,A83PY02,Greville's Maxol Service Station,,https://stations.maxol.ie/
Dublin Road A75WY95 Monaghan,Monaghan,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",54.115133,-6.732873,"{'Fri': '07:00-23:00', 'Thu': '07:00-23:00', 'Wed': '07:00-23:00', 'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}",+353429740946,S000386,A75WY95,Watter's Maxol Service Station,,https://stations.maxol.ie/
Lisnaskea BT92 0JB Fermanagh,Fermanagh,GB,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",54.255218282320264,-7.447606459045928,"{'Sat': '06:00-22:00', 'Tue': '06:00-22:00', 'Sun': '07:00-22:00', 'Fri': '06:00-22:00', 'Thu': '06:00-22:00', 'Wed': '06:00-22:00', 'Mon': '06:00-22:00'}",+442867721218,N000177,BT92 0JB,Swift's Maxol Service Station,,https://stations.maxol.ie/
Church Road R35D5K3 Offaly,Offaly,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.2698527,-7.4744682,"{'Fri': '07:00-22:00', 'Thu': '07:00-22:00', 'Wed': '07:00-22:00', 'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '08:00-22:00'}",+353579325849,S000339,R35D5K3,Kane & Carberry's Maxol Service Station,,https://stations.maxol.ie/
Coolshannagh H18K585 Monaghan,Monaghan,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",54.2586984,-6.9587057,"{'Mon': '06:30-21:30', 'Fri': '06:30-21:30', 'Thu': '06:30-21:30', 'Wed': '06:30-21:30', 'Sun': '07:30-21:30', 'Sat': '07:00-21:30', 'Tue': '06:30-21:30'}",+3534771082,S000264,H18K585,Maxol Service Station Coolshannagh,,https://stations.maxol.ie/
Donore Road A92HX9A Louth,Louth,IE,Maxol,"{'brand': 'Maxol', 'fascia': 'Maxol Service Station', 'category': 'Service Station', 'edit_date': '20250403', 'lat_lon_source': 'website'}",53.7047831,-6.3751576,"{'Fri': '07:00-22:00', 'Thu': '07:00-22:00', 'Wed': '07:00-22:00', 'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '08:00-22:00'}",+353419801340,S000223,A92HX9A,Maxol Service Station Donore Road,,https://stations.maxol.ie/
