addr_full,brand,city,country,extras,lat,long,name,opening_hours,phone,postcode,ref,state,website
"2F Takashimaya Yokohama Store, 1-6-31 Minamishiko, Nishi-ku, Yokohama, 220-8601",brunellocucinelli,Yokohama,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:11.063314', 'lat_lon_source': 'website'}",35.465702,139.62099,Yokohama Takashimaya Men’s and Women’s,{'Monday-Sunday': '10am - 08pm'},+81 45-565-9905,220-8601,736,,/en-us/yokohama-takashimaya-736.html
"2F International Bookie, Takashimaya Kyoto Store, 52 Nishiiri Macho, Shimogyo-ku, Kyoto, Kyoto Prefecture 600-8520 International Bookie",brunellocucinelli,京都,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:13.154534', 'lat_lon_source': 'website'}",35.003154,135.768246,Kyoto Takashimaya,{},+81 75 252 7093,600-8520,706,,/en-us/kyoto-706.html
"3-16-1 Sakae, Naka-ku, Nagoya, Aichi Prefecture 460-8430 Matsuzakaya Nagoya Store North Building GENTA 1st floor",brunellocucinelli,名古屋,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:15.044299', 'lat_lon_source': 'website'}",35.165391,136.90835,Nagoya Matsuzakaya Men’s Boutique,{'月～日、午前10': '00時 ～午後8:00時'},+81 52 264 2379,460-8430,733,,/en-us/nagoya-733.html
"Matsuzakaya Nagoya Store, 2nd floor, Main Building, 3-16-1 Sakae, Naka-ku, Nagoya, Aichi Prefecture 460-8430",brunellocucinelli,名古屋,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:17.157679', 'lat_lon_source': 'website'}",35.165351,136.907884,Nagoya Matsuzakaya Women's Boutique,{},+81 52 264 2082,460-8430,707,,/en-us/nagoya-707.html
"3F Hankyu Men's Osaka, 7-10-3 Kakutacho, Kita-ku, Osaka-shi, Osaka 530-0017",brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:19.805289', 'lat_lon_source': 'website'}",34.702864,135.498496,Osaka Hankyu Men's Boutique,{},+81 6 6312 0010,530-8350,720,,/en-us/osaka-720.html
"Main Building 2F, 1-7-1 Shinsaibashisuji, Chuo-ku, Osaka City, Osaka Prefecture, 542-8501",brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:22.283997', 'lat_lon_source': 'website'}",34.67314,135.500913,Osaka Shinsaibashi Daimaru Men's and Women's Boutique,{'Monday-Sunday 10am - 8': '00pm'},+81 6 6251 2087,542-8501,705,,/en-us/osaka-705.html
"2F, Takashimaya Osaka Branch, 5-1-5 Namba Chuo-ku, Osaka City, Osaka Prefecture, 542-0076 International Boutique",brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:24.609480', 'lat_lon_source': 'website'}",34.663854,135.501967,Osaka Takashimaya Men's and Women's Boutique,{},+81 6 6632 9339,542-0076,710,,/en-us/osaka-710.html
"5F, International Boutiques, 8-7 Kakutacho, Kita-ku, Osaka-shi, Osaka Prefecture, 530-8350",brunellocucinelli,大阪,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:26.479332', 'lat_lon_source': 'website'}",34.702864,135.498496,Osaka Umeda Hankyu Women’s Boutique,{},+81 6 6313 0506,530-8350,714,,/en-us/osaka-714.html
"Fukuya Hatchobori Main Store 3F, 6-26 Kocho, Naka-ku, Hiroshima City, Hiroshima Prefecture 730-8548",brunellocucinelli,広島,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:29.199858', 'lat_lon_source': 'website'}",34.39353,132.46255,Hiroshima Hacchobori Fukuya,{'Monday-Sunday 10': '30am - 7:00pm'},+81 82 246 6305,730-8548,717,,/en-us/hiroshima-717.html
"5F, Sapporo Mitsukoshi Main Building, Minami 1jo Nishi 3-8, Chuo-ku, Sapporo, Hokkaido 060-0061 Specially selected boutiques",brunellocucinelli,札幌,Japan,"{'brand': 'brunellocucinelli', 'fascia': '', 'category': '', 'edit_date': '2025-02-28T00:20:30.365108', 'lat_lon_source': 'website'}",43.059402,141.353013,Sapporo Mitsukoshi Men's and Women's Boutique,{},+81 1  1242 5288,060-0061,715,,/en-us/sapporo-715.html
