addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"8-7, Kakuda-cho, Kita-ku, Osaka-shi",Hermes,Osaka,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",34.70321,135.49849,Hermès Shoe Store at Hankyu Umeda Department Store,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 6 6361 1381,530-8350,1EDYEHJ6,,www.hermes.com/us/en/find-store/japan/osaka/hermes-shoe-store-at-hankyu-umeda-department-store-1EDYEHJ6/
"1-1, Hakataeki-Chuogai",Hermes,Fukuoka,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",33.589343,130.420368,Hermès Hakata Hankyu,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 92 461 1381,812-0012,1HGOLL0F,,www.hermes.com/us/en/find-store/japan/fukuoka/hermes-hakata-hankyu-1HGOLL0F/
"3-14-1, Shinjuku, Shinjuku-ku",Hermes,Tokyo,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.691802,139.70521,Shinjuku Isetan Hermès in Colors,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 3 6380 5276,160-0022,2GAML3JJ,,www.hermes.com/us/en/find-store/japan/tokyo/shinjuku-isetan-hermes-in-colors-2GAML3JJ/
"3-2-17, Ichiban-cho",Hermes,Miyagi,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",38.260398,140.872415,Hermès Fujisaki,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': '10 :7 pm'}}",+ 81 22 261 5111,980-8652,4KUOUG8T,,www.hermes.com/us/en/find-store/japan/miyagi/hermes-fujisaki-4KUOUG8T/
"3-17-1, Tamagawa, Setagaya-ku",Hermes,Tokyo,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.614558,139.626466,Hermès Tamagawa Takashimaya,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 3 3709 3111,158-8701,59H74F8T,,www.hermes.com/us/en/find-store/japan/tokyo/hermes-tamagawa-takashimaya-59H74F8T/
"1-28-1, Minami-ikebukuro",Hermes,Tokyo,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.728539,139.711855,Hermès Ikebukuro Seibu,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 3 5949 2624,171-8569,59ZSZEBN,,www.hermes.com/us/en/find-store/japan/tokyo/hermes-ikebukuro-seibu-59ZSZEBN/
"1-4-1, Nihombashi-Muromachi",Hermes,Tokyo,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.685634,139.773419,Hermès Nihombashi Mitsukoshi,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 3 3274 8906,103-8001,5OFAUZ0Y,,www.hermes.com/us/en/find-store/japan/tokyo/hermes-nihombashi-mitsukoshi-5OFAUZ0Y/
"3-16-1, Sakae, Naka-ku, Nagoya-shi",Hermes,Aichi,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.165279,136.907906,Hermès Nagoya Matsuzakaya,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+81 52 264 2030,460-8430,966IY23Q,,www.hermes.com/us/en/find-store/japan/aichi/hermes-nagoya-matsuzakaya-966IY23Q/
"52, Nishiiru-Shincho",Hermes,Kyoto,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.003093,135.768457,Hermès Kyoto Takashimaya,"{'Opening_hours': {'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 75 221 8811,600-8520,A2T3JHTF,,www.hermes.com/us/en/find-store/japan/kyoto/hermes-kyoto-takashimaya-A2T3JHTF/
Shin Tokyo Bldg.1F,Hermes,Tokyo,Japan,"{'brand': 'Hermes', 'fascia': '', 'category': 'Fashion', 'edit_date': '20250307', 'lat_lon_source': 'website'}",35.67725,139.762239,Hermès Marunouchi,"{'Opening_hours': {'Mon': '11 :7 pm', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}}",+ 81 3 3213 8041,100-0005,B3ATXBVQ,,www.hermes.com/us/en/find-store/japan/tokyo/hermes-marunouchi-B3ATXBVQ/
