addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Sunayama-cho, Naka-ku, Hamamatsu-shi 320-2",Hugo Boss,Shizuoka,JP,"{'brand': ['boss'], 'fascia': 'Shop', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.70416,137.73318,BOSS Menswear Shop,"{'Shop': {'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-19:00'}}",+81534575301,430-8588,9923777,22,https://www.hugoboss.com/store#lat=34.70416&lng=137.73318
"Rinku-Orai Minami, Izumi Sano-shi 3-28",Hugo Boss,Osaka,JP,"{'brand': ['boss'], 'fascia': 'Outlet', 'category': ['menswear', 'womenswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.40606,135.295,BOSS Outlet,"{'Outlet': {'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-19:00'}}",+81 724646731,598-8508,9923706,27,https://www.hugoboss.com/store#lat=34.40606&lng=135.295
"Abenosuji, Abeno-ku, Osaka-shi 1-1-43",Hugo Boss,Osaka,JP,"{'brand': ['boss'], 'fascia': 'Shop', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.64597,135.51338,BOSS Menswear Shop,"{'Shop': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-20:00'}}",+81 666266404,545-0052,9923723,27,https://www.hugoboss.com/store#lat=34.64597&lng=135.51338
"Namba, Chuo-ku, Osaka-shi 5-1-5",Hugo Boss,Osaka,JP,"{'brand': ['boss', 'boss-green'], 'fascia': 'Shop', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.6644,135.50192,BOSS Menswear Shop,"{'Shop': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-20:00'}}",+81 666443682,542-0076,9923719,27,https://www.hugoboss.com/store#lat=34.6644&lng=135.50192
"Shinsaibashisuji, Chuo-ku, Osakashi 1-5-23",Hugo Boss,Osaka,JP,"{'brand': ['boss', 'boss-green'], 'fascia': 'Store', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.67266,135.50155,BOSS Store,"{'Store': {'Mon': '11:00-21:00', 'Tue': '11:00-21:00', 'Wed': '11:00-21:00', 'Thu': '11:00-21:00', 'Fri': '11:00-21:00', 'Sat': '11:00-21:00', 'Sun': '11:00-21:00'}}",+815035288406,542-0085,9929255,27,https://www.hugoboss.com/store#lat=34.67266&lng=135.50155
"Matuo-cho, Kadoma 204-3",Hugo Boss,Osaka,JP,"{'brand': ['boss'], 'fascia': 'Outlet', 'category': ['menswear', 'womenswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.73036,135.58359,BOSS Outlet,"{'Outlet': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",+81 5033549621,571-8620,9926156,27,https://www.hugoboss.com/store#lat=34.73036&lng=135.58359
"Kakuda-cho, Kita-ku, Osaka-shi 7-10",Hugo Boss,Osaka,JP,"{'brand': ['boss'], 'fascia': 'Shop', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.70346,135.50019,BOSS Menswear Shop,"{'Shop': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-20:00'}}",+81 669488639,530-0017,9923770,27,https://www.hugoboss.com/store#lat=34.70346&lng=135.50019
"Kakuda-Cho, Kita-ku, Osaka-shi 7-10",Hugo Boss,Osaka,JP,"{'brand': ['boss', 'boss-camel'], 'fascia': 'Shop', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.70346,135.50019,BOSS Menswear Shop,"{'Shop': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-20:00'}}",+81 663610597,530-0017,9923722,27,https://www.hugoboss.com/store#lat=34.70346&lng=135.50019
"Kakuda-cho, Kita-ku, Osaka-shi 7-10",Hugo Boss,Osaka,JP,"{'brand': ['boss', 'boss-green'], 'fascia': 'Shop', 'category': ['menswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.70305,135.49835,BOSS Menswear Shop / Athleisure,"{'Shop': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-20:00'}}",+81 669488639,530-0017,9925235,27,https://www.hugoboss.com/store#lat=34.70305&lng=135.49835
"Kakuda-cho, Kita-ku, Osaka-shi 8-7",Hugo Boss,Osaka,JP,"{'brand': ['boss'], 'fascia': 'Shop', 'category': ['womenswear'], 'edit_date': '20250228', 'lat_lon_source': 'website'}",34.70305,135.49835,BOSS Womenswear Shop,"{'Shop': {'Mon': '10:00-20:00', 'Tue': '10:00-20:00', 'Wed': '10:00-20:00', 'Thu': '10:00-20:00', 'Fri': '10:00-20:00', 'Sat': '10:00-20:00', 'Sun': '10:00-20:00'}}",+81 5036127383,530-8350,9925236,27,https://www.hugoboss.com/store#lat=34.70305&lng=135.49835
