addr_full,brand,city,country,extras,lat,long,name,opening_hours,phone,postcode,ref,state,website
"中央区 南一条西 3-3 2F, 札幌市, 北海道, 0608502, Japan",margarethowell,札幌市,Japan,"{'brand': 'margarethowell', 'fascia': 'HOKKAIDO / TOHOKU', 'category': 'MHL. WOMEN, MHL. MEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",43.0587581,141.3476818,MHL. SAPPORO PARCO,"{'Mon': '10:00-20:00\u3000不定休', 'Tue': '10:00-20:00\u3000不定休', 'Wed': '10:00-20:00\u3000不定休', 'Thu': '10:00-20:00\u3000不定休', 'Fri': '10:00-20:00\u3000不定休', 'Sat': '10:00-20:00\u3000不定休', 'Sun': '10:00-20:00\u3000不定休'}",0112511651,0608502,01JJWYQ4E79CQR5Y6E2TPQVGW7,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"中央区 南一条西 3-8 2F, 札幌市, 北海道, 0600061, Japan",margarethowell,札幌市,Japan,"{'brand': 'margarethowell', 'fascia': 'HOKKAIDO / TOHOKU', 'category': 'WOMEN, HOUSEHOLD GOODS, MHL. WOMEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",43.0592494,141.3510429,MARGARET HOWELL SAPPORO MITSUKOSHI,"{'Mon': '10:00-19:00\u3000不定休', 'Tue': '10:00-19:00\u3000不定休', 'Wed': '10:00-19:00\u3000不定休', 'Thu': '10:00-19:00\u3000不定休', 'Fri': '10:00-19:00\u3000不定休', 'Sat': '10:00-19:00\u3000不定休', 'Sun': '10:00-19:00\u3000不定休'}",0112133527,0600061,01JJWYQ3AP5N1QQ1NFYSXXT74E,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"中央区 北五条西 2 ステラプレイスイースト 3F, 札幌市, 北海道, 0600005, Japan",margarethowell,札幌市,Japan,"{'brand': 'margarethowell', 'fascia': 'HOKKAIDO / TOHOKU', 'category': 'WOMEN, MEN, HOUSEHOLD GOODS, MHL. WOMEN, MHL. MEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",43.0679681,141.3501113,MARGARET HOWELL SAPPORO STELLAR PLACE,"{'Mon': '10:00-21:00\u3000不定休', 'Tue': '10:00-21:00\u3000不定休', 'Wed': '10:00-21:00\u3000不定休', 'Thu': '10:00-21:00\u3000不定休', 'Fri': '10:00-21:00\u3000不定休', 'Sat': '10:00-21:00\u3000不定休', 'Sun': '10:00-21:00\u3000不定休'}",0112095260,0600005,01JJWYQ27N01M1VA0TXTAZ9YQG,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"駅前町 9 1F, 弘前市, 青森県, 0368003, Japan",margarethowell,弘前市,Japan,"{'brand': 'margarethowell', 'fascia': 'HOKKAIDO / TOHOKU', 'category': 'WOMEN, MEN, HOUSEHOLD GOODS, MHL. WOMEN, MHL. MEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",40.5968921,140.4795304,MARGARET HOWELL HIROSAKI HIRORO,"{'Mon': '10:00-20:00\u3000不定休', 'Tue': '10:00-20:00\u3000不定休', 'Wed': '10:00-20:00\u3000不定休', 'Thu': '10:00-20:00\u3000不定休', 'Fri': '10:00-20:00\u3000不定休', 'Sat': '10:00-20:00\u3000不定休', 'Sun': '10:00-20:00\u3000不定休'}",0172371476,0368003,01JJWYQ135KM2G472B1KWW6D3J,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"青葉区 中央 1-1-1 東館 3F, 仙台市, 宮城県, 9808477, Japan",margarethowell,仙台市,Japan,"{'brand': 'margarethowell', 'fascia': 'HOKKAIDO / TOHOKU', 'category': 'MHL. WOMEN, MHL. MEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",38.2593499,140.8807986,MHL. SENDAI S-PAL,"{'Mon': '10:00-21:00\u3000不定休', 'Tue': '10:00-21:00\u3000不定休', 'Wed': '10:00-21:00\u3000不定休', 'Thu': '10:00-21:00\u3000不定休', 'Fri': '10:00-21:00\u3000不定休', 'Sat': '10:00-21:00\u3000不定休', 'Sun': '10:00-21:00\u3000不定休'}",0227927891,9808477,01JJWYPYWTD9ZRRZK00ABRR90H,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"大宮区 桜木町 1-6-2 3F, さいたま市, 埼玉県, 3309530, Japan",margarethowell,さいたま市,Japan,"{'brand': 'margarethowell', 'fascia': 'KANTO', 'category': 'WOMEN, HOUSEHOLD GOODS, MHL. WOMEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",35.9049886,139.6199482,MARGARET HOWELL OMIYA SOGO,"{'Mon': '10:00-20:00\u3000不定休', 'Tue': '10:00-20:00\u3000不定休', 'Wed': '10:00-20:00\u3000不定休', 'Thu': '10:00-20:00\u3000不定休', 'Fri': '10:00-20:00\u3000不定休', 'Sat': '10:00-20:00\u3000不定休', 'Sun': '10:00-20:00\u3000不定休'}",0486462320,3309530,01JJWYPXS9KF3WWSDVGYX2543G,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"浦和区 高砂 1-15-1 3F, さいたま市, 埼玉県, 3300063, Japan",margarethowell,さいたま市,Japan,"{'brand': 'margarethowell', 'fascia': 'KANTO', 'category': 'WOMEN, HOUSEHOLD GOODS, MHL. WOMEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",35.8583892,139.65527,MARGARET HOWELL URAWA ISETAN,"{'Mon': '10:00-19:00\u3000不定休', 'Tue': '10:00-19:00\u3000不定休', 'Wed': '10:00-19:00\u3000不定休', 'Thu': '10:00-19:00\u3000不定休', 'Fri': '10:00-19:00\u3000不定休', 'Sat': '10:00-19:00\u3000不定休', 'Sun': '10:00-19:00\u3000不定休'}",0488250578,3300063,01JJWYPWNG908QGMB66EHTENE8,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"大宮区 錦町 630 ルミネ2 1F, さいたま市, 埼玉県, 3300853, Japan",margarethowell,さいたま市,Japan,"{'brand': 'margarethowell', 'fascia': 'KANTO', 'category': 'MHL. WOMEN, MHL. MEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",35.9068655,139.6227289,MHL. OMIYA LUMINE,"{'Mon': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休', 'Tue': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休', 'Wed': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休', 'Thu': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休', 'Fri': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休', 'Sat': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休', 'Sun': '10:00-21:00\u3000日曜日 10:00-20:30\u3000不定休'}",0486456789,3300853,01JJWYPVJDBF2MC4SP5ND1KX8H,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"中央区 新町 1000 2F, 千葉市, 千葉県, 2608557, Japan",margarethowell,千葉市,Japan,"{'brand': 'margarethowell', 'fascia': 'KANTO', 'category': 'WOMEN, HOUSEHOLD GOODS, MHL. WOMEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",35.6108697,140.1113481,MARGARET HOWELL CHIBA SOGO,"{'Mon': '10:00-20:00\u3000不定休', 'Tue': '10:00-20:00\u3000不定休', 'Wed': '10:00-20:00\u3000不定休', 'Thu': '10:00-20:00\u3000不定休', 'Fri': '10:00-20:00\u3000不定休', 'Sat': '10:00-20:00\u3000不定休', 'Sun': '10:00-20:00\u3000不定休'}",0432386177,2608557,01JJWYPTEJC8VFQD1DJQHWA49T,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
"末広町 1-1 S館 専門店 4F, 柏市, 千葉県, 2778550, Japan",margarethowell,柏市,Japan,"{'brand': 'margarethowell', 'fascia': 'KANTO', 'category': 'WOMEN, MEN, HOUSEHOLD GOODS, MHL. WOMEN, MHL. MEN', 'edit_date': '20250228', 'lat_lon_source': 'thirdparty'}",35.8624389,139.9685035,MARGARET HOWELL KASHIWA TAKASHIMAYA STATION MALL,"{'Mon': '10:00-20:00\u3000不定休', 'Tue': '10:00-20:00\u3000不定休', 'Wed': '10:00-20:00\u3000不定休', 'Thu': '10:00-20:00\u3000不定休', 'Fri': '10:00-20:00\u3000不定休', 'Sat': '10:00-20:00\u3000不定休', 'Sun': '10:00-20:00\u3000不定休'}",0471482349,2778550,01JJWYPSB2JK72WMM2Y6HYS0YJ,,https://t.yapp.li/v1/cyan/margarethowell/shops/data?limit=1000&customorder=custom
