addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
大阪府大阪市阿倍野区王子町4-1-56,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.62631308000000000000,135.50939270000000000000,セントラルスクエアキタバタケテン,"{'opening_hour': {'Sun': '09:30:00-24:00:00', 'Mon': '09:30:00-24:00:00', 'Tue': '09:30:00-24:00:00', 'Wed': '09:30:00-24:00:00', 'Thur': '09:30:00-24:00:00', 'Fri': '09:30:00-24:00:00', 'Sat': '09:30:00-24:00:00'}}",06-6627-1131,545-0023,99406,,https://store.lifecorp.jp/
大阪府大阪市浪速区湊町1-2-3,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.66660718000000000000,135.49609790000000000000,セントラルスクエアナンバテン,"{'opening_hour': {'Sun': '09:00:00-24:00:00', 'Mon': '09:00:00-24:00:00', 'Tue': '09:00:00-24:00:00', 'Wed': '09:00:00-24:00:00', 'Thur': '09:00:00-24:00:00', 'Fri': '09:00:00-24:00:00', 'Sat': '09:00:00-24:00:00'}}",06-6634-0300,556-0017,99394,,https://store.lifecorp.jp/
京都府京都市下京区西七条掛越町61,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.99313765000000000000,135.73262350000000000000,セントラルスクエアニシオオジハナヤチョウテン,"{'opening_hour': {'Sun': '09:30:00-24:00:00', 'Mon': '09:30:00-24:00:00', 'Tue': '09:30:00-24:00:00', 'Wed': '09:30:00-24:00:00', 'Thur': '09:30:00-24:00:00', 'Fri': '09:30:00-24:00:00', 'Sat': '09:30:00-24:00:00'}}",075-315-2221,600-8881,99337,,https://store.lifecorp.jp/
大阪府大阪市淀川区西宮原2-2-22,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.73539203000000000000,135.49314990000000000000,セントラルスクエアニシミヤハラテン,"{'opening_hour': {'Sun': '09:30:00-24:00:00', 'Mon': '09:30:00-24:00:00', 'Tue': '09:30:00-24:00:00', 'Wed': '09:30:00-24:00:00', 'Thur': '09:30:00-24:00:00', 'Fri': '09:30:00-24:00:00', 'Sat': '09:30:00-24:00:00'}}",06-6350-1161,532-0004,99331,,https://store.lifecorp.jp/
大阪府大阪市中央区森ノ宮中央2-1-30,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.68017505000000000000,135.53039470000000000000,セントラルスクエアモリノミヤテン,"{'opening_hour': {'Sun': '09:30:00-24:00:00', 'Mon': '09:30:00-24:00:00', 'Tue': '09:30:00-24:00:00', 'Wed': '09:30:00-24:00:00', 'Thur': '09:30:00-24:00:00', 'Fri': '09:30:00-24:00:00', 'Sat': '09:30:00-24:00:00'}}",06-6910-7071,540-0003,99320,,https://store.lifecorp.jp/
大阪府門真市松生町1-11 ららぽーと門真 1階,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.73323787000000000000,135.58443500000000000000,セントラルスクエアララポートカドマテン,"{'opening_hour': {'Mon': '10:00:00-21:00:00', 'Tue': '10:00:00-21:00:00', 'Wed': '10:00:00-21:00:00', 'Thur': '10:00:00-21:00:00', 'Fri': '10:00:00-21:00:00', 'Sat': '10:00:00-21:00:00', 'Sun': '10:00:00-21:00:00'}}",06-6900-1130,571-8620,99411,,https://store.lifecorp.jp/
東京都江東区有明2丁目1-8,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",35.63850946000000000000,139.79299820000000000000,ビオラルアリアケガーデンテン,"{'opening_hour': {'Sun': '10:00:00-21:00:00', 'Mon': '10:00:00-21:00:00', 'Tue': '10:00:00-21:00:00', 'Wed': '10:00:00-21:00:00', 'Thur': '10:00:00-21:00:00', 'Fri': '10:00:00-21:00:00', 'Sat': '10:00:00-21:00:00'}}",03-6380-7351,135-0063,99463,,https://store.lifecorp.jp/
大阪府大阪市西区靱本町3-5-18,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.68333061000000000000,135.48770780000000000000,ビオラルウツボテン,"{'opening_hour': {'Sun': '10:00:00-22:00:00', 'Mon': '10:00:00-22:00:00', 'Tue': '10:00:00-22:00:00', 'Wed': '10:00:00-22:00:00', 'Thur': '10:00:00-22:00:00', 'Fri': '10:00:00-22:00:00', 'Sat': '10:00:00-22:00:00'}}",06-6447-5511,550-0004,99421,,https://store.lifecorp.jp/
大阪府大阪市北区大深町5-54 グラングリーン大阪南館地下1階,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.70236650000000000000,135.49255850000000000000,ビオラルウメキタテン,"{'opening_hour': {'Mon': '10:00:00-22:00:00', 'Tue': '10:00:00-22:00:00', 'Wed': '10:00:00-22:00:00', 'Thur': '10:00:00-22:00:00', 'Fri': '10:00:00-22:00:00', 'Sat': '10:00:00-22:00:00', 'Sun': '10:00:00-22:00:00'}}",06-6376-6661,530-0011,110967,,https://store.lifecorp.jp/
大阪府大阪市北区梅田3-1-1 エキマルシェ大阪 1階,Lifecorp,,Japan,"{'brand': 'Lifecorp', 'fascia': 'Lifecorp', 'category': 'Store', 'edit_date': '2025-04-21', 'lat_lon_source': 'website'}",34.70190790000000000000,135.49525680000000000000,ビオラルエキマルシェオオサカテン,"{'opening_hour': {'Sun': '09:00:00-22:00:00', 'Mon': '09:00:00-22:00:00', 'Tue': '09:00:00-22:00:00', 'Wed': '09:00:00-22:00:00', 'Thur': '09:00:00-22:00:00', 'Fri': '09:00:00-22:00:00', 'Sat': '09:00:00-22:00:00'}}",06-6342-0171,530-0001,99354,,https://store.lifecorp.jp/
