addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
〒390-0803　長野県松本市元町1-2-1,Seiyu,長野県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",36.23875247422547,137.98071205615997,西友元町店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",0263-41-5912,〒390-0803,36.23875247422547-137.98071205615997,中部,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e5%85%83%e7%94%ba%e5%ba%97/
〒384-2204　長野県佐久市協和字下田119-1,Seiyu,長野県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",36.26215657107827,138.3579272031784,西友望月店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",0267-54-2300,〒384-2204,36.26215657107827-138.3579272031784,中部,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e6%9c%9b%e6%9c%88%e5%ba%97/
〒372-0033　群馬県伊勢崎市南千木町5202-3,Seiyu,茨城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",36.29696854336405,139.21514511108398,西友伊勢崎茂呂店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",0270-25-1378,〒372-0033,36.29696854336405-139.21514511108398,関東,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e4%bc%8a%e5%8b%a2%e5%b4%8e%e8%8c%82%e5%91%82%e5%ba%97/
〒302-0128　茨城県守谷市けやき台4-1-5,Seiyu,茨城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",35.93524976862182,139.99732779206545,西友守谷店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",0297-21-1821,〒302-0128,35.93524976862182-139.99732779206545,関東,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e5%ae%88%e8%b0%b7%e5%ba%97/
〒300-1207　茨城県牛久市ひたち野東1-23-1,Seiyu,茨城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",36.00899565778003,140.16002297401428,西友ひたち野うしく店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",029-830-8910,〒300-1207,36.00899565778003-140.16002297401428,関東,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e3%81%b2%e3%81%9f%e3%81%a1%e9%87%8e%e3%81%86%e3%81%97%e3%81%8f%e5%ba%97/
〒146-0095　東京都大田区多摩川1-33-20,Seiyu,茨城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",35.56049224460441,139.70037013292313,西友矢口ノ渡店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",03-3757-1951,〒146-0095,35.56049224460441-139.70037013292313,関東,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e7%9f%a2%e5%8f%a3%e3%83%8e%e6%b8%a1%e5%ba%97/
〒274-0077　千葉県船橋市薬円台6-6-7,Seiyu,茨城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",35.7129721307448,140.03738701343536,西友薬円台店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",047-466-2433,〒274-0077,35.7129721307448-140.03738701343536,関東,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e8%96%ac%e5%86%86%e5%8f%b0%e5%ba%97/
〒134-0085　東京都江戸川区南葛西5-6-2,Seiyu,茨城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",35.6458876586946,139.8722916841507,西友南葛西店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",03-5676-1851,〒134-0085,35.6458876586946-139.8722916841507,関東,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e5%8d%97%e8%91%9b%e8%a5%bf%e5%ba%97/
〒984-0042　宮城県仙台市若林区大和町5-2-19,Seiyu,宮城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",38.250591893758035,140.9211426973343,西友大和町店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",022-782-3010,〒984-0042,38.250591893758035-140.9211426973343,東北,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e5%a4%a7%e5%92%8c%e7%94%ba%e5%ba%97/
〒981-3621　宮城県黒川郡大和町吉岡字館下103,Seiyu,宮城県,Japan,"{'brand': 'Seiyu', 'fascia': 'Seiyu', 'category': 'Food and Beverage', 'edit_date': '2025-04-21', 'lat_lon_source': 'Website'}",38.447938222103005,140.88274955749512,西友吉岡店,"{'Mon': '00:00-24:00', 'Tue': '00:00-24:00', 'Wed': '00:00-24:00', 'Thu': '00:00-24:00', 'Fri': '00:00-24:00', 'Sat': '00:00-24:00', 'Sun': '00:00-24:00'}",022-344-1070,〒981-3621,38.447938222103005-140.88274955749512,東北,https://www.seiyu.co.jp/shop/%e8%a5%bf%e5%8f%8b%e5%90%89%e5%b2%a1%e5%ba%97/
