addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"BLVD. ZACATECAS NORTE, 849, TROJES DE ALONSO, NDF, AGUASCALIENTES",AGUASCALIENTES,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",21.922078,-102.291628,"{'opening_hours': {'Mon': '07:30-22:00', 'Tue': '07:30-22:00', 'Wed': '07:30-22:00', 'Thu': '07:30-22:00', 'Fri': '07:30-22:00', 'Sat': '07:30-22:00', 'Sun': '07:30-22:00'}}",01 800 3777 333,430,20116,LA COMER ALTARIA AGUASCALIENTES,AGUASCALIENTES,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"BOSQUE DE ARRAYAN MZ 5 LT 1,  , FRACC. CONJUNTO URBANO BOSQUE ESMERALDA, ATIZAPAN DE ZARAGOZA, ESTADO DE MEXICO",ZONA ESMERALDA,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",19.549235,-99.287138,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",01 800 3777 333,375,52973,LA COMER BOSQUE ESMERALDA,ESTADO DE MEXICO,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"BOULEVARD BOSQUE REAL, MZA III-A, BOSQUE REAL, NAUCALPAN DE JUAREZ, ESTADO DE MEXICO",NAUCALPAN,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",19.422514,-99.297063,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",01 800 3777 333,444,52774,LA COMER BOSQUE REAL,ESTADO DE MEXICO,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"AV. HIDALGO, 1055, LOMAS DEL FARO, CABO SAN LUCAS, BAJA CALIFORNIA SUR",CABO SAN LUCAS,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",22.893606,-109.932783,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",01 800 3777 333,398,23472,LA COMER CABO SAN LUCAS,BAJA CALIFORNIA SUR,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"BLVD MAURICIO CASTRO , 4650, ZONA HOTELERA, SAN JOSE DEL CABO, BAJA CALIFORNIA SUR",SAN JOSE DEL CABO,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",23.044261,-109.705423,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",01 800 3777 333,153,23400,LA COMER CASCADA LOS CABOS,BAJA CALIFORNIA SUR,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"MIGUEL ANGEL DE QUEVEDO , 443, ROMERO DE TERREROS, COYOACAN, CIUDAD DE MÉXICO",MEXICO,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",19.345059,-99.171953,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",01 800 3777 333,5001,4310,LA COMER CDMX SUR,CIUDAD DE MÉXICO,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"MIGUEL ANGEL DE QUEVEDO , 443, ROMERO DE TERREROS, COYOACAN, CIUDAD DE MÉXICO",MEXICO,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",19.345059,-99.171953,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",01 800 3777 333,287,4310,LA COMER COYOACÁN,CIUDAD DE MÉXICO,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"C. GABRIEL MANCERA, 1311, DEL VALLE SUR, BENITO JUAREZ, CIUDAD DE MEXICO",MEXICO,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",19.375138,-99.16712,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",01 800 3777 333,431,03100,LA COMER DEL VALLE,CIUDAD DE MEXICO,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"CARRETERA MEXICO-ACAPULCO KM 87.5 ,  , FLORES MAGON , CUERNAVACA, MORELOS",CUERNAVACA,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",18.934263,-99.195277,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",01 800 3777 333,163,62370,LA COMER DIANA CUERNAVACA,MORELOS,https://www.lacomer.com.mx/lacomer/#!/conocenos/
"PROL. CORREGIDORA NORTE, 1116, BLVD. BERNARDO QUINTANA ESQUINA, EL REFUGIO, QUERETARO",MEXICO,Mexico,La Comer,"{'brand': 'La Comer', 'fascia': 'La Comer', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'Website'}",20.642985,-100.348107,"{'opening_hours': {'Mon': '07:30-22:00', 'Tue': '07:30-22:00', 'Wed': '07:30-22:00', 'Thu': '07:30-22:00', 'Fri': '07:30-22:00', 'Sat': '07:30-22:00', 'Sun': '07:30-22:00'}}",,429,76146,LA COMER EL REFUGIO QRO,QUERETARO,https://www.lacomer.com.mx/lacomer/#!/conocenos/
