state,storeType,city,address,name,postalCode
Chihuahua,Bodega Aurrera,Juárez,Blvd. Independencia No.2990 Colonia Parajes del Sur CP32575 Ciudad Juarez Chihuahua,Independencia Sur,
Chihuahua,Bodega Aurrera,Camargo,Ave. Lic. Benito Juarez  No.1401 Colonia Centro CP33700 Camargo Chihuahua,Sta Rosalia De Camargo,
Chihuahua,Bodega Aurrera,Jiménez,Ave Juarez No.800 Colonia Centro CP33980 Jimenez Chihuahua,Jose Mariano Jimenez,
Chihuahua,Bodega Aurrera,Nuevo Casas Grandes,Ave 5 de Mayo No.1209 Colonia Centro CP31700 Nvo Casas Grandes Chihuahua,Nvo. Casas Grandes,
Chihuahua,Bodega Aurrera,Chihuahua,Boulevard Juan Pablo II No.10110 Colonia Parque Industrial Aerpuerto CP31384 Chihuahua Chihuahua,Aeropuerto,
Chihuahua,Bodega Aurrera,Chihuahua,Av Instituto Tecnologico de Chihuahua No.8501 Colonia Tierra y Libertad CP31126 Chihuahua Chihuahua,Torres Del Rey,
Chihuahua,Bodega Aurrera,Juárez,Puerto de Palos No.1850 Colonia Los Bravos CP32575 Ciudad Juarez Chihuahua,Puerto De Palos,
Chihuahua,Bodega Aurrera,Delicias,Av. Rio San Pedro Sur No.1701 Colonia Sector Sur CP33000 Delicias Chihuahua,Delicias Sur,
Chihuahua,Bodega Aurrera,Juárez,Ave Jilotepec No.10110 Colonia Infonativ Ampliacion Aeropuerto CP32696 Ciudad Juarez Chihuahua,Jilotepec,
Chihuahua,Bodega Aurrera,Juárez,Boulevard Funadores No.3551 Colonia Fraccionamiento Urbivilla Del Cedro Tercera Etapa CP32575 Ciudad Juarez Chihuahua,Talamas Camandari,
Chihuahua,Bodega Aurrera,Chihuahua,Ave de las Industrias No.17101 Colonia Villa del Real CP31137 Chihuahua Chihuahua,Industrias Norte,
Chihuahua,Bodega Aurrera,Juárez,Permietral Carlos Amaya No.4304 Colonia Industrial CP32270 Ciudad Juarez Chihuahua,Chavenas,
Chihuahua,Bodega Aurrera,Chihuahua,Melchor Guaspe No.4002 Colonia Dale CP31050 Chihuahua Chihuahua,Melchor Guaspe ,
Chihuahua,Bodega Aurrera,Chihuahua,Av Desarrollo No.1801 Colonia Parque Industrial Impulso II Etapa CP31183 Chihuahua Chihuahua,Panamericana,
Chihuahua,Mi Bodega Aurrera,Meoqui,Juan Aldama No.102 Colonia Centro CP33120 Meoqui Chihuahua,Meoqui,
Chihuahua,Mi Bodega Aurrera,Saucillo,Avenida ejido No.78 Colonia Benito Juarez CP33620 Saucillo Chihuahua,Saucillo ,
Chihuahua,Mi Bodega Aurrera,Madera,Carretera a Chihuahua No.405 Colonia Barrio Americano CP31943 Madera Chihuahua Chihuahua,Madera,
Chihuahua,Mi Bodega Aurrera,Ojinaga,Blvd Libre Comercio  No.204 Colonia Ayuntamiento CP32881 Ojinaga Chihuahua,Ojinaga,
Chihuahua,Mi Bodega Aurrera,Guerrero,Galeana No.101 Colonia Centro CP31680 Guerrero Chihuahua,Vicente,
Chihuahua,Mi Bodega Aurrera,Aldama,Camilo Torres No.2702 Colonia Bosques de San Jerónimo CP32918 Juan Aldama Chihuahua  Chihuahua,Bosques De Aldama,
Chihuahua,Mi Bodega Aurrera,Guachochi,Av. Las Garzas No.64 Colonia La Hacienda CP33180 Guachochi Chihuahua,Guachochi,
Chihuahua,Mi Bodega Aurrera,Bocoyna,Tepocara No.5 Colonia Centro CP33210 Bocoyna Chihuahua,San Juanito,
Chihuahua,Mi Bodega Aurrera,Ascensión,Morelos No.1181 Colonia Centro CP31820 Ascensión Chihuahua,Ascensión,
Chihuahua,Sam´s Club,Chihuahua,Av. Homero  200 Colonia Real Universidad CP 31125 Chihuahua,Homero,
Chihuahua,Sam´s Club,Cd. Cuauhtémoc,Av. 16 De Septiembre 3600 Colonia Los Manzanos  CP 31600 Cuauhtemoc,Cuauhtemoc,
Chihuahua,Sam´s Club,Delicias,Ave. Ferrocarril Ote 105 Colonia Col. Terrazas CP 33106 Delicias,Delicias,
Chihuahua,Sam´s Club,Hidalgo Del Parral,Ave. Tecnologico Esq. Acacias S/N Colonia Col. Guayin CP 33855 Hidalgo Del Parral,H. Del Parral,
Chihuahua,Sam´s Club,Juárez,Av. De las Torres 2140 Colonia Ramon Rayon CP 32575 Chihuahua,Los Bravos,
Chihuahua,Sam´s Club,Juárez,Av. Ejército Nacional  7445 Colonia Partido Iglesias CP 32618 Cd. Juárez,Cd. Juarez,
Chihuahua,Sam´s Club,Chihuahua,Periferico De La Juventud 2200 Colonia Haciendas Del Valle CP 31238 Chihuahua,Chihuahua,
Chihuahua,Walmart Supercenter,Delicias,Av. Tecnologico 2 Col. Nuevo Terrazas C.P. 33020 Delicias Chihuahua,Delicias,
