addr_full,city,brand,country,extras,lat,lon,opening_hours,name,phone,ref,postcode,state,website
Camino del Esfuerzo 19 Camino SurCamino de la liga  Campestre de Aragón  CP 7530 Gustavo A Madero CDMX,Gustavo A Madero,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Esfuerzo,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Ejido Xoco  No.206 Int. Mz B Lt. 15 Sector III Avenida Santa Ana  Exejido  de San Francisco Culhuacan  CP 4420 Coyoacan CDMX,Coyoacan,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Avante,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
-,-,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Plutarco Elías Calles,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Nezahualpilli  56 NezahualcoyotlTizoc  Arenal 1ra Sección  CP 15600 Venustuano Carranza CDMX,Venustuano Carranza,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Arenal 1a sección.,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Av. León de los Aldama No.227 Colonia San Felipe de Jesús CP07510 Gustavo A Madero CDMX,Gustavo A. Madero,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},San Felipe De Jesus,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Av. Vergel No.224 Colonia Presidentes de México CP9740 Iztapalapa CDMX,Iztapalapa,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Vergel,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Av. Central No.129 Colonia Pro-Hogar CP2600 Azcapotzalco CDMX,Azcapotzalco,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Prohogar,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Ahuacatitla No.11 Colonia Azcapotzalco CP2000 Azcapotzalco CDMX,Azcapotzalco,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Ahuacatitla,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Cabo Buena Esperanza No.340 Colonia Ampliacion Gabriel Hernandez CP7080 Gustavo A Madero CDMX,Gustavo A. Madero,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Gabriel Hernandez,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Dario Fernandez No.74 Colonia Palmatitla CP7100 Gustavo A Madero CDMX,Gustavo A. Madero,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Roberto Esquerra,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Calle 22 No.107 Colonia Olivar del Conde CP1400 Alvaro Obregón CDMX,Álvaro Obregón,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Olivar Del Conde,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Alarcón No.72 Colonia Morelos CP15290 Venustiano Carranza CDMX,Venustiano Carranza,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Congreso De La Union,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Calzada San Juan de Aragon No.259 Colonia Granjas Modernas CP7460 Gustavo A Madero CDMX,Gustavo A. Madero,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Plaza San Juan,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Calzada Ermita Iztapalapa No.2771 Colonia Santa Cruz Meyehualco CP9700 Iztapalapa CDMX,Iztapalapa,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},La Ermita,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Ferrocarril de Cintura No.159 Colonia Morelos CP1527 Venustiano Carranza CDMX,Venustiano Carranza,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Ferrocarril De Cintura,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
Santa Maria La Redonda No.250 Colonia Guerrero CP6300 Cuauhtémoc CDMX,Cuauhtémoc,walmart,Mexico,"{'brand': 'walmart', 'fascia': 'Bodega Aurrera Express', 'category': 'Food & Beverage', 'edit_date': '20250518', 'lat_lon_source': 'Google'}",,,{'opening_hours': {}},Eje Central,,,,Ciudad de México,https://www.walmartmexico.com/conocenos/directorio-de-tiendas
