addr_full,city,country,brand,extra,lat,lng,opening_hours,phone,ref,postcode,name,state,website
Carretera Panamericana,Aguadulce,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.24906800,-80.55050760,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,55,-,Aguadulce,Coclé,doitcenter.com.pa
Albrook Mall,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.97757385,-79.55261720,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-19:00'}",830-5050,56,-,Albrook,Panamá,doitcenter.com.pa
Signature Plaza,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.06942610,-79.46088560,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': '09:00-18:00'}",830-5050,57,-,Brisas Del Golf,Panamá,doitcenter.com.pa
Centennial Mall,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.03057590,-79.53156620,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': '09:00-18:00'}",830-5050,58,-,Centennial Mall,Panamá,doitcenter.com.pa
Avenida Francisco Clark,David,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.44623440,-82.42039080,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,59,-,David,Chiriquí,doitcenter.com.pa
Avenida Carmelo Spadafora,Chitré,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",7.95364610,-80.42645570,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,60,-,Chitré,Herrera,doitcenter.com.pa
Avenida Boyd Roosevelt,Colón,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.34092110,-79.87132990,"{'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-18:00', 'Fri': '09:00-18:00', 'Sat': '09:00-18:00'}",830-5050,61,-,Colón,Colón,doitcenter.com.pa
Terrazas de Coronado,Coronado,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.55274770,-79.90884390,"{'Mon': '08:00-19:00', 'Tue': '08:00-19:00', 'Wed': '08:00-19:00', 'Thu': '08:00-19:00', 'Fri': '08:00-19:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,62,-,Coronado,Panamá Oeste,doitcenter.com.pa
Boulevard Costa Verde,Chorrera,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.89492320,-79.75165550,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,63,-,Costa Verde,Panamá Oeste,doitcenter.com.pa
Avenida Miguel A. Brostella,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.00696000,-79.53793650,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,64,-,El Dorado,Panamá,doitcenter.com.pa
24 De Diciembre,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.10526660,-79.36986650,"{'Mon': '08:00-19:00', 'Tue': '08:00-19:00', 'Wed': '08:00-19:00', 'Thu': '08:00-19:00', 'Fri': '08:00-19:00', 'Sat': '08:00-19:00', 'Sun': '09:00-18:00'}",830-5050,65,-,La Doña,Panamá,doitcenter.com.pa
Centro Comercial Los Andes,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.05039570,-79.50768740,"{'Mon': '09:00-20:30', 'Tue': '09:00-20:30', 'Wed': '09:00-20:30', 'Thu': '09:00-20:30', 'Fri': '09:00-20:30', 'Sat': '09:00-20:30', 'Sun': '09:00-19:00'}",830-5050,66,-,Los Andes,Panamá,doitcenter.com.pa
Plaza Comercial Las Pirámides,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.04721340,-79.44973330,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': '09:00-18:00'}",830-5050,67,-,Los Pueblos,Panamá,doitcenter.com.pa
Mall Multiplaza Pacific,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.98553710,-79.51004390,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': '09:00-18:00'}",830-5050,68,-,Multiplaza,Panamá,doitcenter.com.pa
Carretera Panamericana,Penonomé,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.50358020,-80.36417410,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,69,-,Penonomé,Coclé,doitcenter.com.pa
Centro Comercial Altos del Río,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.02126370,-79.49092000,"{'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-18:00', 'Fri': '09:00-18:00', 'Sat': '09:00-18:00'}",830-5050,70,-,Río Abajo,Panamá,doitcenter.com.pa
Terrazas de Sabanitas,Colón,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.35015620,-79.81032930,"{'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '09:00-19:00', 'Sun': '09:00-18:00'}",830-5050,71,-,Sabanitas,Colón,doitcenter.com.pa
Santa Maria Business District,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.02721530,-79.46816220,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,72,-,Santa María,Panamá,doitcenter.com.pa
Carretera Panamericana,Santiago,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.10621190,-80.96860530,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,73,-,Santiago,Veraguas,doitcenter.com.pa
Carretera Panamericana,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.07841370,-79.39951300,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,74,-,Tocumen,Panamá,doitcenter.com.pa
Vía Transistmica,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.00092520,-79.52448320,"{'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-18:00', 'Fri': '09:00-18:00', 'Sat': '09:00-18:00'}",830-5050,75,-,Transístmica,Panamá,doitcenter.com.pa
Centro Comercial Villa Lucre,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.03988510,-79.48045840,"{'Mon': '08:00-19:00', 'Tue': '08:00-19:00', 'Wed': '08:00-19:00', 'Thu': '08:00-19:00', 'Fri': '08:00-19:00', 'Sat': '08:00-19:00', 'Sun': '09:00-18:00'}",830-5050,76,-,Villa Lucre,Panamá,doitcenter.com.pa
Vía Boyd Roosevelt,Panamá,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",9.07433690,-79.52329450,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,77,-,Villa Zaita,Panamá,doitcenter.com.pa
Westland Premium Outlet,Arraijan,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.92129120,-79.70682770,"{'Mon': '09:00-20:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00', 'Sun': '09:00-18:00'}",830-5050,78,-,Westland,Panamá Oeste,doitcenter.com.pa
Avenida Doctor Belisario Porras,Las Tablas,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",7.77179330,-80.27660270,"{'Mon': '08:00-17:00', 'Tue': '08:00-17:00', 'Wed': '08:00-17:00', 'Thu': '08:00-17:00', 'Fri': '08:00-17:00', 'Sat': '08:00-17:00'}",830-5050,79,-,Las Tablas,Los Santos,doitcenter.com.pa
Los Senderos Mall,Boquete,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.77383350,-82.43277710,"{'Mon': '08:00-18:00', 'Tue': '08:00-18:00', 'Wed': '08:00-18:00', 'Thu': '08:00-18:00', 'Fri': '08:00-18:00', 'Sat': '08:00-18:00'}",830-5050,80,-,Boquete,Chiriquí,doitcenter.com.pa
Terrazas de David,David,PA,Doitcenter,"{'brand': 'Doitcenter', 'fascia': 'Doitcenter', 'category': 'Retail', 'edit_date': '20250406', 'lat_lon_source': 'Third Party'}",8.43552950,-82.43863120,"{'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': '09:00-18:00'}",830-5050,81,-,San Mateo,Chiriquí,doitcenter.com.pa
