addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"Av Central, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",8.954575795473763,-79.53900463796411,Santa Ana,"{'Mon': '06:00-21:00', 'Tue': '06:00-21:00', 'Wed': '06:00-21:00', 'Thu': '06:00-21:00', 'Fri': '06:00-21:00', 'Sat': '06:00-21:00', 'Sun': '07:00-20:00'}",,,8.954575795473763--79.53900463796411,,https://www.elmachetazo.com/mapa-tiendas
"Calle 28 y 29, Av. Perú, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",8.967171383777597,-79.53922110256023,Calidonia,"{'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-23:00'}",,,8.967171383777597--79.53922110256023,,https://www.elmachetazo.com/mapa-tiendas
"Transismica, Vía Ricardo J. Alfaro, San Miguelito, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",9.029685589403497,-79.5077960031377,San Miguelito,"{'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-23:00'}",,,9.029685589403497--79.5077960031377,,https://www.elmachetazo.com/mapa-tiendas
"Vía España, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",8.989073090622565,-79.5228582319743,Via España,"{'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '07:00-21:00'}",,,8.989073090622565--79.5228582319743,,https://www.elmachetazo.com/mapa-tiendas
"Urbanización Costa Sur, Centro Comercial Costa Sur, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",9.036087680585824,-79.41883423197407,Costa Sur,"{'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '07:00-22:00'}",,,9.036087680585824--79.41883423197407,,https://www.elmachetazo.com/mapa-tiendas
"Signature Plaza, Urbanización, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",9.069367677621106,-79.46154323197395,Brisas del Golf,"{'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '07:00-22:00'}",,,9.069367677621106--79.46154323197395,,https://www.elmachetazo.com/mapa-tiendas
"Metromall, Av. Domingo Díaz, San Miguelito, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",9.051526488745662,-79.45111300313762,Metromall,"{'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '07:00-22:00'}",,,9.051526488745662--79.45111300313762,,https://www.elmachetazo.com/mapa-tiendas
"Vía Panamericana, Urbanización 24 de diciembre, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",9.098446281174526,-79.38906200313733,Tocumen,"{'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-23:00'}",,,9.098446281174526--79.38906200313733,,https://www.elmachetazo.com/mapa-tiendas
"Plaza Nuevo Tocumen, 24 de Diciembre, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",9.100906081027087,-79.35552957430095,Nuevo Tocumen,"{'Mon': '06:00-23:00', 'Tue': '06:00-23:00', 'Wed': '06:00-23:00', 'Thu': '06:00-23:00', 'Fri': '06:00-23:00', 'Sat': '06:00-23:00', 'Sun': '07:00-22:00'}",,,9.100906081027087--79.35552957430095,,https://www.elmachetazo.com/mapa-tiendas
"Juan Demostenes Arosemena, Carr. Panamericana, Nuevo Arraiján, Panamá",Elmachetazo,Panama,Panama,"{'brand': 'Elmachetazo', 'fascia': 'Elmachetazo', 'category': 'Filling Station', 'edit_date': '2025-04-06', 'lat_lon_source': 'Extracted from site'}",8.916696242247983,-79.74287810364518,Arraiján,"{'Mon': '06:00-22:00', 'Tue': '06:00-22:00', 'Wed': '06:00-22:00', 'Thu': '06:00-22:00', 'Fri': '06:00-22:00', 'Sat': '06:00-22:00', 'Sun': '06:00-23:00'}",,,8.916696242247983--79.74287810364518,,https://www.elmachetazo.com/mapa-tiendas
